W,CalCOFI1108NH,7/27/2011,7:04,7/27/2011 7:04,8:00:00,7/27/2011 15:04,,,32.70650,-117.23550,KW,DC,G,6,OV,100,,,,160,6,2,3,,,,,,,,,,,,,,,,,,,,,ON,,OFF,3,,,,,,,,,,,,,Leaving San Diego port transiting to CC station 93/26.7.
W,CalCOFI1108NH,7/27/2011,8:47,7/27/2011 8:47,8:00:00,7/27/2011 16:47,,,32.79150,-117.33917,KW,DC,G,7,OV,100,,,,130,9,2,3,,,,,,,,,,,,,,,,,,,,,ON,,OFF,3,,,,,,,,,,,,,
W,CalCOFI1108NH,7/27/2011,11:50,7/27/2011 11:50,8:00:00,7/27/2011 19:50,,,32.93545,-117.29642,KW,DC,G,7,PC,40,,,,130,5,3,3,,,,60,,,,,,,,,,,,,,,,,ON,,OFF,3,,,,,,,,,,,,,Short transit to SCCOOS 93/26.4.
W,CalCOFI1108NH,7/27/2011,13:15,7/27/2011 13:15,8:00:00,7/27/2011 21:15,,,32.94497,-117.29847,KW,DC,G,7,CL,5,180,260,SL,223,13,3,3,,,,247,,,,,,,,,,,,,,,,,ON,,OFF,3,,,,,,,,,,,,,Heading to CC line station 93/28.
W,CalCOFI1108NH,7/27/2011,16:32,7/27/2011 16:32,8:00:00,7/28/2011 0:32,,,32.87117,-117.41233,KW,DC,G,7,CL,18,230,280,SE,220,8,3,3,,,,257,,,,,,,,,,,,,,,,,ON,,ON,3,,,,,,,,,,,,,
W,CalCOFI1108NH,7/28/2011,5:28,7/28/2011 5:28,8:00:00,7/28/2011 13:28,,,32.47400,-118.20017,DC,DC,F,5,MI,100,,,,193,3,0,2,,,,245,,,,,,,,,,,,,,,,,OFF,6,ON,,,,,,,,,,,,,,
W,CalCOFI1108NH,7/28/2011,6:10,7/28/2011 6:10,8:00:00,7/28/2011 14:10,,,32.43100,-118.30817,DC,DC,G,7,OV,100,,,,193,3,0,2,,,,245,,,,,,,,,,,,,,,,,OFF,6,ON,,,,,,,,,,,,,,
W,CalCOFI1108NH,7/28/2011,6:39,7/28/2011 6:39,8:00:00,7/28/2011 14:39,,,32.40234,-118.39233,DC,KW,G,7,OV,100,,,,180,11,2,2,16,DC,3,251,193,1.6,,,,,,,9,7,13,ND,DSP,,,,ON,,ON,,1,,,,,,,,,,,,
W,CalCOFI1108NH,7/28/2011,7:20,7/28/2011 7:20,8:00:00,7/28/2011 15:20,,,32.36267,-118.51733,DC,DC,G,7,OV,100,,,,247,12,2,2,,,,247,,,,,,,,,,,,,,,,,OFF,6,ON,,,,,,,,,,,,,,
W,CalCOFI1108NH,7/28/2011,9:35,7/28/2011 9:35,8:00:00,7/28/2011 17:35,,,32.34183,-118.55800,,,G,7,OV,100,,,,248,9.7,2,2,17,KW,3,249,233,10,,,2,14,180,320,62,50,80,0,DSP,,,,OFF,1,ON,,1,5,,,,,,,,,,,"On st.93/45, off effort sighting."
W,CalCOFI1108NH,7/28/2011,10:29,7/28/2011 10:29,8:00:00,7/28/2011 18:29,,,32.33200,-118.57883,DC,DC,G,7,OV,100,,,,271,11,3,2,,,,245,,,,,,,,,,,,,,,,,OFF,6,ON,,,,,,,,,,,,,,"Departed st.93/45, array deployed."
W,CalCOFI1108NH,7/28/2011,11:36,7/28/2011 11:36,8:00:00,7/28/2011 19:36,,,32.24700,-118.75350,KW,DC,G,7,OV,100,,,,286,10,3,3,,,,243,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,DC back on obs.
W,CalCOFI1108NH,7/28/2011,14:44,7/28/2011 14:44,8:00:00,7/28/2011 22:44,,,32.17267,-118.91283,DC,DC,G,7,OV,95,253,271,SL,272,9,2,2,,,,237,,,,,,,,,,,,,,,,,OFF,6,ON,,,,,,,,,,,,,,"Departed st.93/50, array deployed."
W,CalCOFI1108NH,7/28/2011,15:44,7/28/2011 15:44,8:00:00,7/28/2011 23:44,,,32.09600,-119.06867,KW,DC,G,7,OV,95,251,263,SL,272,10,3,3,,,,243,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI1108NH,7/28/2011,16:32,7/28/2011 16:32,8:00:00,7/29/2011 0:32,,,32.03517,-119.19467,DC,DC,G,7,OV,100,,,,280,13,3,3,,,,238,,,,,,,,,,,,,,,,,OFF,6,ON,,,,,,,,,,,,,,
W,CalCOFI1108NH,7/29/2011,5:09,7/29/2011 5:09,8:00:00,7/29/2011 13:09,,,31.46200,-120.30950,KW,KW,G,7,OV,100,,,,257,9,3,3,,,,247,,,,,,,,,,,,,,,,,OFF,6,ON,,,,,,,,,,,,,,"Beginning transit to st.93/80, DC down for array deployment."
W,CalCOFI1108NH,7/29/2011,6:08,7/29/2011 6:08,8:00:00,7/29/2011 14:08,,,31.37983,-120.48517,KW,DC,G,7,OV,100,,,,247,10,3,3,25,KW,3,247,247,3,,,0.75,3,220,275,78,55,90,0,DSP,,,,ON,,ON,,1,8,,,,,,,,,,,
W,CalCOFI1108NH,7/29/2011,7:01,7/29/2011 7:01,8:00:00,7/29/2011 15:01,,,31.31100,-120.64567,KW,DC,G,7,OV,100,,,,241,5,2,3,,,,241,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI1108NH,7/29/2011,7:30,7/29/2011 7:30,8:00:00,7/29/2011 15:30,,,31.27417,-120.72167,KW,DC,G,7,OV,100,,,,250,13,3,4,,,,243,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI1108NH,7/29/2011,13:18,7/29/2011 13:18,8:00:00,7/29/2011 21:18,,,31.21200,-121.06183,DC,KW,G,7,PC,60,,,,255,8,2,5,,,,233,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,"Transiting to st.93/90, Oozeki net trawl added 2 additional hours to station time."
W,CalCOFI1108NH,7/29/2011,14:06,7/29/2011 14:06,8:00:00,7/29/2011 22:06,,,31.12400,-121.18450,DC,KW,G,7,CL,15,240,270,SL,255,7,2,5,,,,234,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI1108NH,7/29/2011,15:00,7/29/2011 15:00,8:00:00,7/29/2011 23:00,,,31.03633,-121.31083,DC,KW,G,7,PC,65,243,275,SE,255,8,2,5,,,,234,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI1108NH,7/29/2011,15:22,7/29/2011 15:22,8:00:00,7/29/2011 23:22,,,30.98650,-121.38600,DC,KW,G,7,OV,95,260,270,SL,252,8,2,5,,,,234,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI1108NH,7/29/2011,16:13,7/29/2011 16:13,8:00:00,7/30/2011 0:13,,,30.91017,-121.49950,DC,KW,G,7,CL,7,260,280,SE,260,7,2,5,,,,235,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI1108NH,7/30/2011,7:56,7/30/2011 7:56,8:00:00,7/30/2011 15:56,,,30.17800,-122.91500,KW,KW,G,7,OV,100,,,,265,6,2,2,,,,238,,,,,,,,,,,,,,,,,OFF,6,ON,,,,,,,,,,,,,,"Departed st.93/110, heading to st.93/120, DC down to deploy array."
W,CalCOFI1108NH,7/30/2011,8:54,7/30/2011 8:54,8:00:00,7/30/2011 16:54,,,30.10500,-123.05717,DC,KW,G,7,OV,100,,,,265,6,2,3,,,,238,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI1108NH,7/30/2011,9:44,7/30/2011 9:44,8:00:00,7/30/2011 17:44,,,30.03633,-123.20117,DC,KW,G,7,PC,42,,,,265,6,2,3,,,,242,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI1108NH,7/30/2011,10:55,7/30/2011 10:55,8:00:00,7/30/2011 18:55,,,29.93917,-123.39483,DC,KW,G,7,PC,60,,,,256,11,3,4,,,,242,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI1108NH,7/30/2011,15:11,7/30/2011 15:11,8:00:00,7/30/2011 23:11,,,29.95485,-123.68587,DC,KW,G,7,CL,0,,,,300,5,2,5,,,,330,,,,,,,,,,,,,,,,,ON,,OFF,2,,,,,,,,,,,,,
W,CalCOFI1108NH,7/30/2011,15:34,7/30/2011 15:34,8:00:00,7/30/2011 23:34,,,30.01050,-123.72317,DC,KW,G,7,CL,0,241,285,M,300,4,2,5,,,,330,,,,,,,,,,,,,,,,,ON,,OFF,2,,,,,,,,,,,,,
