W,CC1207OS,7/2/2012,18:43,7/2/2012 18:43,7:00:00,7/3/2012 1:43,,,32.62033,-117.24783,KW,AB,G,7,OV,100,0,0,,340,11,2,4,,,,243,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,"begin cruise, transit from SD port to station 93-30.  No array."
W,CC1207OS,7/3/2012,6:22,7/3/2012 6:22,7:00:00,7/3/2012 13:22,,,32.83650,-117.55183,KW,AB,G,6,OV,100,0,0,,256,1,2,4,,,,66,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,"begin day-no array, leaving station 93-30, going to station 93-28."
W,CC1207OS,7/3/2012,6:47,7/3/2012 6:47,7:00:00,7/3/2012 13:47,,,32.86200,-117.49533,KW,AB,G,6,OV,100,0,0,,256,1,2,4,5,AB,3,59,55,5.7,,,,,,,8,7,10,0,Tt,,,,ON,,ON,,1,,,,,,,,,,,,
W,CC1207OS,7/3/2012,13:50,7/3/2012 13:50,7:00:00,7/3/2012 20:50,,,32.93333,-117.37733,KW,KW,G,7,OV,80,0,0,,260,5,3,4,,,,180,,,,,,,,,,,,,,,,,OFF,7,OFF,7,,,,,,,,,,,,,"transit back to San Diego port for winch and wire replacement, 1 observer on"
W,CC1207OS,7/3/2012,14:30,7/3/2012 14:30,7:00:00,7/3/2012 21:30,,,32.85800,-117.35583,KW,KW,G,7,OV,76,0,0,,260,5,3,4,6,KW,1,166,182,5.2,,,,,,,5,4,6,0,Tt,,,,OFF,7,OFF,7,2,5,,,,,,,,,,,"1 observer on, transiting to port SD"
W,CC1207OS,7/3/2012,14:56,7/3/2012 14:56,7:00:00,7/3/2012 21:56,,,32.80633,-117.34250,AB,KW,G,7,OV,100,0,0,,260,6,3,4,,,,175,,,,,,,,,,,,,,,,,ON,,OFF,7,,,,,,,,,,,,,transiting to port SD
W,CC1207OS,7/3/2012,15:57,7/3/2012 15:57,7:00:00,7/3/2012 22:57,,,32.67467,-117.30650,AB,KW,G,7,OV,100,0,0,,260,4,2,3,,,,175,,,,,,,,,,,,,,,,,ON,,OFF,7,,,,,,,,,,,,,transiting to port SD
W,CC1207OS,7/10/2012,6:00,7/10/2012 6:00,7:00:00,7/10/2012 13:00,,,33.16067,-117.52133,AB,KW,F,5,MI,100,0,0,,221,4,2,4,,,,218,,,,,,,,,,,,,,,,,ON,,OFF,7,,,,,,,,,,,,,"start day, transiting from SCCOOS 92-27, going to station 93-35.  Off transect line.  No array."
W,CC1207OS,7/10/2012,7:16,7/10/2012 7:16,7:00:00,7/10/2012 14:16,,,33.01000,-117.63000,KW,AB,F,6,OV,100,0,0,,226,5,2,5,,,,216,,,,,,,,,,,,,,,,,ON,,OFF,7,,,,,,,,,,,,,
W,CC1207OS,7/10/2012,7:46,7/10/2012 7:46,7:00:00,7/10/2012 14:46,,,32.94450,-117.67400,KW,AB,F,6,OV,100,0,0,,226,5,2,5,10,KW,1,218,218,3,,,,,,,10,7,12,1,DSP,,,,ON,,OFF,7,1,5,,,,,,,,,,,
W,CC1207OS,7/10/2012,8:05,7/10/2012 8:05,7:00:00,7/10/2012 15:05,,,32.90367,-117.70517,AB,KW,F,6,OV,98,0,0,,226,7,3,5,,,,218,,,,,,,,,,,,,,,,,ON,,OFF,7,,,,,,,,,,,,,observer change--switch sides
W,CC1207OS,7/10/2012,9:03,7/10/2012 9:03,7:00:00,7/10/2012 16:03,,,32.78150,-117.79900,AB,KW,F,6,PC,70,110,140,SL,296,7,3,5,11,KW,2,221,266,0.6,,,,,,,1,1,1,0,Bm,,,,ON,,OFF,7,1,34,,,,,,,,,,,
W,CC1207OS,7/10/2012,12:38,7/10/2012 12:38,7:00:00,7/10/2012 19:38,,,32.68083,-117.87700,AB,KW,G,6,PC,65,,,,295,11,3,5,,,,240,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,"leaving station 93-35, going to 93-40, array deployed"
W,CC1207OS,7/10/2012,13:02,7/10/2012 13:02,7:00:00,7/10/2012 20:02,,,32.64883,-117.93217,AB,KW,F,6,PC,48,,,,295,13,4,5,,,,240,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CC1207OS,7/10/2012,13:19,7/10/2012 13:19,7:00:00,7/10/2012 20:19,,,32.62883,-117.97117,AB,KW,F,6,PC,48,0,0,,295,13,4,5,13,AB,2,240,275,1,,,,,,,2,1,2,ND,Bm,,,,ON,,ON,,1,,,,,,,,,,,,
