W,CalCOFI0911NH,,,11/6/2009 14:47,8:00:00,11/6/2009 22:47,,,33.11775,-117.38177,JK,KW,G,5,PC,45,,,SL,,,3,3,,,,170,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,Port side is now a beaufort 3
W,CalCOFI0911NH,,,11/7/2009 13:56,8:00:00,11/7/2009 21:56,,,32.26070,-118.73341,JK,KW,P,5,PC,95,,,M,,,5,6,,,,240,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,Wind at 22 knots
W,CalCOFI0911NH,,,11/10/2009 15:44,8:00:00,11/10/2009 23:44,,,31.19810,-122.46413,JK,KW,F,1,PC,90,,,NG,,,4,6,,,,60,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0911NH,,,11/10/2009 16:40,8:00:00,11/11/2009 0:40,,,31.25699,-122.30434,JK,KW,F,1,OV,90,,,NG,,,3,6,,,,60,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0911NH,,,11/12/2009 12:15,8:00:00,11/12/2009 20:15,,,33.28248,-118.19226,JK,KW,F,1,OV,98,,,NG,,,3,3,,,,60,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0911NH,,,11/13/2009 7:44,8:00:00,11/13/2009 15:44,,,33.89694,-118.71582,JK,KW,F,1,PC,30,,,M,,,2,3,,,,,,,,,,,,,,,,,,,,,OFF,1,OFF,,,,,,,,,,,,,,
W,CalCOFI0911NH,,,11/13/2009 12:19,8:00:00,11/13/2009 20:19,,,33.69275,-118.89449,JK,KW,F,1,PC,10,,,SE,,,5,6,,,,,,,,,,,,,,,,,,,,,OFF,7,ON,,,,,,,,,,,,,,Fire drill off effort for 15 mins
W,CalCOFI0911NH,,,11/14/2009 12:04,8:00:00,11/14/2009 20:04,,,33.07000,-120.23000,JK,KW,UX,,,,,,,,,7,10,,,,,,,,,,,,,,,,,,,,,OFF,2A,ON,,,,,,,,,,,,,,Wind has been 15-20 kts and sweest upwards of 10 + feet
W,CalCOFI0911NH,,,11/14/2009 16:50,8:00:00,11/15/2009 0:50,,,32.84000,-120.64000,JK,KW,UX,,,,,,,,,7,10,,,,,,,,,,,,,,,,,,,,,OFF,2A,ON,,,,,,,,,,,,,,Still blowing 17-25 and 10 ft swell
W,CalCOFI0911NH,,,11/15/2009 12:27,8:00:00,11/15/2009 20:27,,,31.83896,-122.71036,JK,KW,P,1,PC,50,,,SE,,,5,10,,,,236,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,5 ashy storm petrels.  Weather update.
W,CalCOFI0911NH,,,11/15/2009 13:57,8:00:00,11/15/2009 21:57,,,31.70264,-122.94378,JK,KW,P,1,PC,42,,,SE,,,5,8,,,,244,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,More than 40 ashy storm petrels on this transit
W,CalCOFI0911NH,,,11/16/2009 13:22,8:00:00,11/16/2009 21:22,,,32.43177,-123.10315,KW,JK,F,1,HZ,0,,,M,,,3,5,,,,,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0911NH,,,11/17/2009 7:10,8:00:00,11/17/2009 15:10,,,33.41542,-121.09869,KW,KW,F,1,CL,0,,,SE,,,3,6,,,,,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,"Weather update.  Observers switching for meal, 15 min"
W,CalCOFI0911NH,,,11/17/2009 9:13,8:00:00,11/17/2009 17:13,,,33.57770,-120.75249,KW,JK,F,1,CL,0,,,SE,,,4,6,,,,60,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,On station 60 line 83.  2 sonobuoys deployed
W,CalCOFI0911NH,,,11/18/2009 9:12,8:00:00,11/18/2009 17:12,,,34.27775,-120.01176,JK,KW,P,1,CL,0,,,SL,,,5,8,,,,,,,,,,,,,,,,,,,,,OFF,,OFF,,,,,,,,,,,,,,"Pt conception  very windy, 21 kts"
