W,CalCOFI0907M2,7/14/2009 18:43:00,,7/14/2009 18:43,8:00:00,7/15/2009 2:43,,,32.75374603,-117.2992859,AMH,AMH,G,5,CL,20,,,SL,,,1.0,1,,,,346,,,,,,,,,,,,,,,,,OFF,,OFF,,,,,,,,,,,,,,
W,CalCOFI0907M2,7/15/2009 13:12:00,,7/15/2009 13:12,8:00:00,7/15/2009 21:12,,,32.61112976,-117.9825363,KPM,AMH,G,5,PC,30,,,SL,,,3.0,2,,,,240,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0907M2,7/15/2009 13:46:00,,7/15/2009 13:46,8:00:00,7/15/2009 21:46,,,32.57172012,-118.0755386,KPM,AMH,G,5,PC,50,,,SL,,,2.0,2,,,,245,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0907M2,7/15/2009 13:58:00,,7/15/2009 13:58,8:00:00,7/15/2009 21:58,,,32.55809021,-118.1074371,KPM,AMH,G,5,PC,50,,,M,,,2.0,2,,,,241,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0907M2,7/15/2009 14:00:00,,7/15/2009 14:00,8:00:00,7/15/2009 22:00,,,32.55570602,-118.1128616,KPM,AMH,G,5,PC,50,,,M,,,3.0,2,,,,242,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0907M2,7/16/2009 10:43:00,,7/16/2009 10:43,8:00:00,7/16/2009 18:43,,,31.78238487,-119.6972961,AMH,KPM,G,5,OV,90,,,NG,,,1.0,3,,,,251,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,
W,CalCOFI0907M2,7/16/2009 11:07:00,,7/16/2009 11:07,8:00:00,7/16/2009 19:07,,,31.75216484,-119.7592087,AMH,KPM,G,5,OV,90,,,NG,,,2.0,3,,,,251,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0907M2,7/16/2009 12:46:00,,7/16/2009 12:46,8:00:00,7/16/2009 20:46,,,31.62666512,-120.0135574,AMH,KPM,G,5,OV,80,,,SL,,,3.0,3,,,,251,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0907M2,7/16/2009 13:32:00,,7/16/2009 13:32,8:00:00,7/16/2009 21:32,,,31.56782722,-120.1375809,AMH,KPM,G,5,CL,30,,,SL,,,2.0,4,,,,251,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0907M2,7/16/2009 16:51:00,,7/16/2009 16:51,8:00:00,7/17/2009 0:51,,,31.47912216,-120.3487625,AMH,KPM,G,5,PC,60,,,M,,,3.0,6,,,,239,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0907M2,7/16/2009 17:14:00,,7/16/2009 17:14,8:00:00,7/17/2009 1:14,,,31.44472694,-120.4114075,AMH,KPM,G,5,PC,60,,,M,,,2.0,6,,,,232,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0907M2,7/16/2009 17:44:00,,7/16/2009 17:44,8:00:00,7/17/2009 1:44,,,31.4005909,-120.4908676,AMH,KPM,G,5,OV,80,,,SE,,,3.0,6,,,,241,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0907M2,7/17/2009 12:02:00,,7/17/2009 12:02,8:00:00,7/17/2009 20:02,,,30.41372108,-122.4748688,KPM,AMH,G,5,OV,80,,,NG,,,2.0,8,,,,235,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0907M2,7/17/2009 12:31:00,,7/17/2009 12:31,8:00:00,7/17/2009 20:31,,,30.37185478,-122.5542679,AMH,AMH,G,5,LR,80,,,NG,,,2.0,8,,,,239,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,
W,CalCOFI0907M2,7/17/2009 13:22:00,,7/17/2009 13:22,8:00:00,7/17/2009 21:22,,,30.29520988,-122.7019348,KPM,AMH,G,5,LR,70,,,SL,,,2.0,8,,,,235,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0907M2,7/17/2009 18:00:00,,7/17/2009 18:00,8:00:00,7/18/2009 2:00,,,30.06282234,-123.1669083,KPM,AMH,G,5,OV,80,,,SL,,,3.0,6,,,,240,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0907M2,7/17/2009 18:25:00,,7/17/2009 18:25,8:00:00,7/18/2009 2:25,,,30.02471542,-123.2365036,KPM,AMH,G,5,OV,80,,,SE,,,3.0,6,,,,237,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0907M2,7/17/2009 18:47:00,,7/17/2009 18:47,8:00:00,7/18/2009 2:47,,,29.99230576,-123.2975082,KPM,AMH,F,5,OV,80,,,M,,,3.0,6,,,,237,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0907M2,7/19/2009 15:34:00,,7/19/2009 15:34,8:00:00,7/19/2009 23:34,,,32.20135117,-120.4191437,AMH,KPM,F,5,OV,100,,,NG,,,4.0,6,,,,71,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,
W,CalCOFI0907M2,7/19/2009 16:53:00,,7/19/2009 16:53,8:00:00,7/20/2009 0:53,,,32.29172134,-120.2154465,AMH,KPM,P,5,OV,100,,,NG,,,5.0,6,,,,60,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
