W,CC1604SH,4/1/2016,9:26,4/1/2016 9:26,7:00:00,4/1/2016 16:26,32 41.39,117 13.96,32.68983333,-117.2326667,KW,AS,F,5,OV,90,0,0,0,210,6,2,2,,,,240,,,,,,,,,,,,,,,,,on,,off,1,,,,,,,,,,,,,Leave port SD to station 26.7. No array. 
W,CC1604SH,4/1/2016,9:54,4/1/2016 9:54,7:00:00,4/1/2016 16:54,32 38.01,117 13.85,32.6335,-117.2308333,KW,AS,G,5,OV,100,0,0,0,210,5,2,2,1,AS,2,240,224,1,,,,,,,1,1,1,ND,ER,,,,on,,off,1,1,,,,,,,,,,,,
W,CC1604SH,4/1/2016,9:58,4/1/2016 9:58,7:00:00,4/1/2016 16:58,32 37.79,117 14.30,32.62983333,-117.2383333,KW,AS,G,5,OV,100,0,0,0,210,5,2,2,2,AS,1,213,220,1.5,,,,,,,12,8,15,ND,DSP,,,,on,,off,1,1,,,,,,,,,,,,
W,CC1604SH,4/1/2016,10:51,4/1/2016 10:51,7:00:00,4/1/2016 17:51,32 38.64,117 16.32,32.644,-117.272,KW,AS,G,6,OV,100,0,0,0,240,5,2,3,,,,310,,,,,,,,,,,,,,,,,on,,off,1,,,,,,,,,,,,,center board fixed. Back on non-standard coastal transect.
W,CC1604SH,4/1/2016,11:13,4/1/2016 11:13,7:00:00,4/1/2016 18:13,32 42.54,117 18.30,32.709,-117.305,kw,AS,G ,6,PC,60,0,0,0,240,6,2,3,,,,350,,,,,,,,,,,,,,,,,ON,,OFF,1,,,,,,,,,,,,,
W,CC1604SH,4/1/2016,14:12,4/1/2016 14:12,7:00:00,4/1/2016 21:12,32 56.62,117 19.48,32.94366667,-117.3246667,KW,AS ,g,7,CL,10,0,0,0,280,4,2,2,3,KW,1,70,30,,150,,,,,,35,48,30,ND,DSP,,,,OFF,5,OFF,1,4,5,1,,,,,,,,,,Sightings 3 and 4 were observed on station. 
W,CC1604SH,4/1/2016,15:11,4/1/2016 15:11,7:00:00,4/1/2016 22:11,32 57.33,117 17.76,32.9555,-117.296,KW,as,g,7,CL,0,240,320,SL,275,6,3,3,,,,330,,,,,,,,,,,,,,,,,ON,,OFF,1,,,,,,,,,,,,,Leave SCOOS 93.4/26.4 Going to 91.7/26.4 SCOOS. No array.
W,CC1604SH,4/1/2016,15:17,4/1/2016 15:17,7:00:00,4/1/2016 22:17,32 58.03,117 18.19,32.96716667,-117.3031667,KW,as,g,7,cl,0,240,320,SL,275,6,3,3,5,kw,3,330,280,0.3,,,,,,,1,1,1,0,ULW,,,,On,,OFF,1,1,,,,,,,,,,,,
W,CC1604SH,4/1/2016,15:32,4/1/2016 15:32,7:00:00,4/1/2016 22:32,33 00.45,117 19.13,33.0075,-117.3188333,KW,AS,G,7,CL,0,240,320,M,275,6,3,3,6,kw,3,335,300,1,,,,,,,1,1,1,0,Bp,,,,On,,Off,1,1,4,,,,,,,,,,,
W,CC1604SH,4/1/2016,15:59,4/1/2016 15:59,7:00:00,4/1/2016 22:59,33 04.45,117 21.99,33.07416667,-117.3665,KW,AS,G,7,cl,0,345,320,M,275,6,3,5,7,KW,1,330,310,6,,,,,,,31,27,40,ND,DC,,,,ON,,OFF,1,1,5,8,,,,,,,,,,
W,CC1604SH,4/1/2016,16:32,4/1/2016 16:32,7:00:00,4/1/2016 23:32,33 09.66,117 24.97,33.161,-117.4161667,KW,AS,G,7,CL,0,245,320,SE,275,6,3,5,8,AS,3,330,340,4,,,0.7,14,250,340,285,268,345,ND,DC,,,,ON,,OFF,1,1,5,"4,8",YES,AS,40D,2,8,,,,,20 minutes of dolphins
W,CC1604SH,4/1/2016,17:41,4/1/2016 17:41,7:00:00,4/2/2016 0:41,33 13.74,117 28.33,33.229,-117.4721667,Kw,as,g,7,cl,0,250,290,SE,280,6,3,3,,,,330,,,,,,,,,,,,,,,,,on,,off,1,,,,,,,,,,,,,Leave SCOOS 93.4/26.4 to station 93/28. No array. 
W,CC1604SH,4/1/2016,18:06,4/1/2016 18:06,7:00:00,4/2/2016 1:06,33 09.48,117 28.70,33.158,-117.4783333,kw,as,g,7,cl,0,255,300,m,280,6,3,3,9,as,3,160,212,2.2,,,,,,,1,1,1,0,Bp,,,,On,,off,1,1,,,,,,,,,,,,
W,CC1604SH,4/1/2016,18:44,4/1/2016 18:44,7:00:00,4/2/2016 1:44,33 03.18,117 26.72,33.053,-117.4453333,kw,as,g,7,cl,0,0,0,0,280,6,3,3,10,KW,3,160,160,,100,,,,,,1,1,1,0,Ba,,,,On,,off,1,1,,,,,,,,,,,,
W,CC1604SH,4/1/2016,18:59,4/1/2016 18:59,7:00:00,4/2/2016 1:59,33 00.53,117 25.73,33.00883333,-117.4288333,kw,as,f,6,hz,10,0,0,0,280,6,3,3,11,kw,3,160,140,,1600,,,,,,120,115,130,ND,DSp,,,,On,,off,1,4,1,,,,,,,,,,,
W,CC1604SH,4/2/2016,8:04,4/2/2016 8:04,7:00:00,4/2/2016 15:04,32 30.87,118 12.79,32.5145,-118.2131667,KW,AS,G,7,PC,70,0,0,0,320,4,2,5,,,,240,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,began day. Leaving station 93/40. Going to station 93/45. Array deployed.
W,CC1604SH,4/2/2016,9:31,4/2/2016 9:31,7:00:00,4/2/2016 16:31,32 23.03,118 28.51,32.38383333,-118.4751667,KW,AS,G,7,OV,90,0,0,0,320,5,2,5,12,AS,3,243,270,,10,,,,,,9,7,11,ND,LO,,,,ON,,ON,,1,5,,,,,,,,,,,
W,CC1604SH,4/2/2016,9:38,4/2/2016 9:38,7:00:00,4/2/2016 16:38,32 22.51,118 29.60,32.37516667,-118.4933333,KW,KW,G,7,OV,90,0,0,0,320,5,2,5,,,,240,,,,,,,,,,,,,,,,,OFF,6,ON,,,,,,,,,,,,,,One observer on. Array retrieval. 
