Event Code,Cruise,Date         (Local),Time     (Local),Date/Time         (Local),GMT Diff,Date/Time          (GMT),Lat,Long,DecLat,DecLong,Port     Obs,Stbd     Obs,Quality,Visibility,Precipitation,Cloud %,Glare Bearing,Glare Bearing,Glare Quality (SL/M/SE),Wind dir (T),Wind spd (T),Bft,Swell (ft),Sighting No,Init Observer,Cue,Ship Heading Tru,Sighting Bearing Tru,Bino    Reticle,Distance (m),Sighting Method,Envelope Depth,Envelope Depth 2,Envelope Width,Envelope Width 2,Best,Min,Max,Calf,Species       1,Species       2,sp1 percent,sp2 percent,Effort (ON/OFF),Off Effort Code,Transect (ON/OFF),Off Transect Code,Primary Behaviour,Other Behaviour 1,Other Behaviour 2,Photos?,Photographer (Cam 1),Camera             1,First Frame 1,Last Frame 1,Photographer (Cam 2),Camera    2,First Frame 2,Last Frame 2,Comments
C,CalCOFI1402SH,1/28/2014,17:30,1/28/2014 17:30,8:00:00,1/29/2014 1:30,,,32.71500,-117.16250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,off,,off,,,,,,,,,,,,,,"Begin cruise.  Left port in San Diego on 1/28/2014, after 5:30pm.  No observations because of darkness."
B,CalCOFI1402SH,1/29/2014,9:15,1/29/2014 9:15,8:00:00,1/29/2014 17:15,,,32.88033,-117.40367,KW,AD,F,3,LF,40,140,165,M,280,4,2,3,,,,230,,,,,,,,,,,,,,,,,on,,on,,,,,,,,,,,,,,"Begin day.  Leaving station 93/28, going to station 93/30.  No array because of short transet."
ST,CalCOFI1402SH,1/29/2014,9:15,1/29/2014 9:15,8:00:00,1/29/2014 17:15,,,32.88033,-117.40367,KW,AD,F,3,LF,40,140,165,M,280,4,2,3,,,,230,,,,,,,,,,,,,,,,,on,,on,,,,,,,,,,,,,,"Begin day.  Leaving station 93/28, going to station 93/30.  No array because of short transet."
W,CalCOFI1402SH,1/29/2014,9:15,1/29/2014 9:15,8:00:00,1/29/2014 17:15,,,32.88033,-117.40367,KW,AD,F,3,LF,40,140,165,M,280,4,2,3,,,,230,,,,,,,,,,,,,,,,,on,,on,,,,,,,,,,,,,,"Begin day.  Leaving station 93/28, going to station 93/30.  No array because of short transet."
W,CalCOFI1402SH,1/29/2014,9:20,1/29/2014 9:20,8:00:00,1/29/2014 17:20,,,32.87383,-117.42667,KW,AD,F,3,LF,40,140,165,M,280,4,2,3,1,KW,3,254,210,,1.6,,,,,,31,22,40,ND,Dsp,,,,on,,on,,1,8,,,,,,,,,,,
SB,CalCOFI1402SH,1/29/2014,9:20,1/29/2014 9:20,8:00:00,1/29/2014 17:20,,,32.87383,-117.42667,KW,AD,F,3,LF,40,140,165,M,280,4,2,3,1,KW,3,254,210,,2500,,,,,,31,22,40,ND,Dsp,,,,on,,on,,1,8,,,,,,,,,,,
SE,CalCOFI1402SH,1/29/2014,9:20,1/29/2014 9:20,8:00:00,1/29/2014 17:20,,,32.87383,-117.42667,KW,AD,F,3,LF,40,140,165,M,280,4,2,3,1,KW,3,254,210,,2500,,,,,,31,22,40,ND,Dsp,,,,on,,on,,1,8,,,,,,,,,,,
W,CalCOFI1402SH,1/29/2014,9:30,1/29/2014 9:30,8:00:00,1/29/2014 17:30,,,32.86100,-117.47567,KW,AD,P,1,HF,58,145,160,M,280,4,2,4,,,,254,,,,,,,,,,,,,,,,,on,,on,,,,,,,,,,,,,,
OO,CalCOFI1402SH,1/29/2014,9:41,1/29/2014 9:41,8:00:00,1/29/2014 17:41,,,32.85817,-117.48450,KW,KW,P,1,HF,58,145,180,M,280,4,2,4,,,,254,,,,,,,,,,,,,,,,,off,6,on,,,,,,,,,,,,,,One observer on.  Deploying sonobuoys.
W,CalCOFI1402SH,1/29/2014,9:41,1/29/2014 9:41,8:00:00,1/29/2014 17:41,,,32.85817,-117.48450,KW,KW,P,1,HF,58,145,180,M,280,4,2,4,,,,254,,,,,,,,,,,,,,,,,off,6,on,,,,,,,,,,,,,,One observer on.  Deploying sonobuoys.
