Event Code,Cruise,Date         (Local),Time     (Local),Date/Time         (Local),GMT Diff,Date/Time          (GMT),Lat,Long,DecLat,DecLong,Port     Obs,Stbd     Obs,Quality,Visibility,Precipitation,Cloud %,Glare Bearing,Glare Bearing,Glare Quality (SL/M/SE),Wind dir (T),Wind spd (T),Bft,Swell (ft),Sighting No,Init Observer,Cue,Ship Heading Tru,Sighting Bearing Tru,Bino    Reticle,Distance (m),Sighting Method,Envelope Depth,Envelope Depth 2,Envelope Width,Envelope Width 2,Best,Min,Max,Calf,Species       1,Species       2,sp1 percent,sp2 percent,Effort (ON/OFF),Off Effort Code,Transect (ON/OFF),Off Transect Code,Primary Behaviour,Other Behaviour 1,Other Behaviour 2,Photos?,Photographer (Cam 1),Camera             1,First Frame 1,Last Frame 1,Photographer (Cam 2),Camera    2,First Frame 2,Last Frame 2,Comments
B,CalCOFI0604NH,4/1/2006,13:09,4/1/2006 13:09,8:00:00,4/1/2006 21:09,,,32.30417,-117.30417,ABD,DLC,G,10,CL,25,,,,,,3,3,,,,70,,,,,,,,,,,,,,,,,On,,Off,,,,,,,,,,,,,,"STOPPING AT SOME INSHORE STATIONS, SO OFF EFFORT FOR WHOLE DAY"
ST,CalCOFI0604NH,4/1/2006,13:09,4/1/2006 13:09,8:00:00,4/1/2006 21:09,,,32.30417,-117.30417,ABD,DLC,G,10,CL,25,,,,,,3,3,,,,70,,,,,,,,,,,,,,,,,On,,Off,,,,,,,,,,,,,,"STOPPING AT SOME INSHORE STATIONS, SO OFF EFFORT FOR WHOLE DAY"
W,CalCOFI0604NH,4/1/2006,13:09,4/1/2006 13:09,8:00:00,4/1/2006 21:09,,,32.30417,-117.30417,ABD,DLC,G,10,CL,25,,,,,,3,3,,,,70,,,,,,,,,,,,,,,,,On,,Off,,,,,,,,,,,,,,"STOPPING AT SOME INSHORE STATIONS, SO OFF EFFORT FOR WHOLE DAY"
ET,CalCOFI0604NH,4/1/2006,13:18,4/1/2006 13:18,8:00:00,4/1/2006 21:18,,,32.95467,-117.28200,ABD,DLC,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,Off,,Off,,,,,,,,,,,,,,AT STATION 93 26.4
ST,CalCOFI0604NH,4/1/2006,14:00,4/1/2006 14:00,8:00:00,4/1/2006 22:00,,,32.96533,-117.29017,ABD,DLC,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,On,,Off,,,,,,,,,,,,,,LEAVE STATION
SB,CalCOFI0604NH,4/1/2006,14:44,4/1/2006 14:44,8:00:00,4/1/2006 22:44,,,33.05817,-117.34767,ABD,DLC,,,,,,,,,,,,1,ABD,,323,278,1,,,,,,,1,,,0,Unid_Cetac,,,,On,,Off,,UNK,,,,,,,,,,,,"BLOW SEEN, unid whale"
P,CalCOFI0604NH,4/1/2006,15:00,4/1/2006 15:00,8:00:00,4/1/2006 23:00,,,33.09767,-117.36983,ABD,DLC,G,10,PC,50,,,,,,3,3,,,,320,,,,,,,,,,,,,,,,,On,,Off,,,,,,,,,,,,,,
W,CalCOFI0604NH,4/1/2006,15:00,4/1/2006 15:00,8:00:00,4/1/2006 23:00,,,33.09767,-117.36983,ABD,DLC,G,10,PC,50,,,,,,3,3,,,,320,,,,,,,,,,,,,,,,,On,,Off,,,,,,,,,,,,,,
SB,CalCOFI0604NH,4/1/2006,15:08,4/1/2006 15:08,8:00:00,4/1/2006 23:08,,,33.12167,-117.38417,ABD,DLC,,,,,,,,,,,,2,DLC,,320,19,2,,,,,,,35,30,45,1,Dd,,,,On,,Off,,2,,,,,,,,,,,,GROUPS TRAVELING
P,CalCOFI0604NH,4/1/2006,15:38,4/1/2006 15:38,8:00:00,4/1/2006 23:38,,,33.19767,-117.43267,ABD,DLC,G,10,CL,30,,,,,,2,3,,,,319,,,,,,,,,,,,,,,,,On,,Off,,,,,,,,,,,,,,
