Event Code,Cruise,Date         (Local),Time     (Local),Date/Time         (Local),GMT Diff,Date/Time          (GMT),Lat,Long,DecLat,DecLong,Port     Obs,Stbd     Obs,Quality,Visibility,Precipitation,Cloud %,Glare Bearing,Glare Bearing,Glare Quality (SL/M/SE),Wind dir (T),Wind spd (T),Bft,Swell (ft),Sighting No,Init Observer,Cue,Ship Heading Tru,Sighting Bearing Tru,Bino    Reticle,Distance (m),Sighting Method,Envelope Depth,Envelope Depth 2,Envelope Width,Envelope Width 2,Best,Min,Max,Calf,Species       1,Species       2,sp1 percent,sp2 percent,Effort (ON/OFF),Off Effort Code,Transect (ON/OFF),Off Transect Code,Primary Behaviour,Other Behaviour 1,Other Behaviour 2,Photos?,Photographer (Cam 1),Camera             1,First Frame 1,Last Frame 1,Photographer (Cam 2),Camera    2,First Frame 2,Last Frame 2,Comments
B,CalCOFI1504NH,4/4/2015,6:42,4/4/2015 6:42,8:00:00,4/4/2015 14:42,,,32.69733,-117.15633,KW,KT,G,7,CL,15,0,0,0,230,2,1,1,,,,,,,,,,,,,,,,,,,,,OFF,7,OFF,7,,,,,,,,,,,,,"begin cruise, leave port san diego, still waiting at dock.  Visual Observers = Katherine Whitaker & KT"
C,CalCOFI1504NH,4/4/2015,6:42,4/4/2015 6:42,8:00:00,4/4/2015 14:42,,,32.69733,-117.15633,KW,KT,G,7,CL,15,0,0,0,230,2,1,1,,,,,,,,,,,,,,,,,,,,,OFF,7,OFF,7,,,,,,,,,,,,,"begin cruise, leave port san diego, still waiting at dock"
W,CalCOFI1504NH,4/4/2015,6:42,4/4/2015 6:42,8:00:00,4/4/2015 14:42,,,32.69733,-117.15633,KW,KT,G,7,CL,15,0,0,0,230,2,1,1,,,,,,,,,,,,,,,,,,,,,OFF,7,OFF,7,,,,,,,,,,,,,"begin cruise, leave port san diego, still waiting at dock"
W,CalCOFI1504NH,4/4/2015,8:11,4/4/2015 8:11,8:00:00,4/4/2015 16:11,,,32.63433,-117.24100,KW,KT,G,6,HZ,10,0,0,0,230,5,1,3,,,,20,,,,,,,,,,,,,,,,,ON,,OFF,1,,,,,,,,,,,,,"start observtions near shore, non standard transect, going to line 93 station 27"
ST,CalCOFI1504NH,4/4/2015,8:11,4/4/2015 8:11,8:00:00,4/4/2015 16:11,,,32.63433,-117.24100,KW,KT,G,6,HZ,10,0,0,0,230,5,1,3,,,,20,,,,,,,,,,,,,,,,,ON,,OFF,1,,,,,,,,,,,,,"start observtions near shore, non standard transect, going to line 93 station 27"
W,CalCOFI1504NH,4/4/2015,8:20,4/4/2015 8:20,8:00:00,4/4/2015 16:20,,,32.64417,-117.25933,KW,KT,G,6,PC,60,0,0,0,320,3,2,3,,,,20,,,,,,,,,,,,,,,,,ON,,OFF,1,,,,,,,,,,,,,"resume effort after ship drills, going to line 93 station 26.7"
XT,CalCOFI1504NH,4/4/2015,8:20,4/4/2015 8:20,8:00:00,4/4/2015 16:20,,,32.64417,-117.25933,KW,KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFF,7,OFF,1,,,,,,,,,,,,,off effort for ship drills
C,CalCOFI1504NH,4/4/2015,8:20,4/4/2015 8:20,8:00:00,4/4/2015 16:20,,,32.64417,-117.25933,KW,KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFF,7,OFF,1,,,,,,,,,,,,,off effort for ship drills
RT,CalCOFI1504NH,4/4/2015,9:14,4/4/2015 9:14,8:00:00,4/4/2015 17:14,,,32.76533,-117.34150,KW,KT,G,6,PC,60,0,0,0,320,3,2,3,,,,20,,,,,,,,,,,,,,,,,ON,,OFF,1,,,,,,,,,,,,,"resume effort after ship drills, going to line 93 station 26.7"
SB,CalCOFI1504NH,4/4/2015,9:55,4/4/2015 9:55,8:00:00,4/4/2015 17:55,,,32.87400,-117.34000,KW,KT,G,6,PC,50,0,0,0,340,3,2,3,1,KW,1,20,340,0.4,,,,,,,15,12,19,ND,Dsp,,,,On,,OFF,1,2,8,,,,,,,,,,,
SE,CalCOFI1504NH,4/4/2015,9:55,4/4/2015 9:55,8:00:00,4/4/2015 17:55,,,32.87400,-117.34000,KW,KT,G,6,PC,50,0,0,0,340,3,2,3,1,KW,1,20,340,0.4,,,,,,,15,12,19,ND,Dsp,,,,On,,OFF,1,2,8,,,,,,,,,,,
W,CalCOFI1504NH,4/4/2015,9:55,4/4/2015 9:55,8:00:00,4/4/2015 17:55,,,32.87400,-117.34000,KW,KT,G,6,PC,50,0,0,0,340,3,2,3,1,KW,1,20,340,0.4,,,,,,,1,1,1,0,Mn,,,,On,,OFF,1,1,34,,,,,,,,,,,
SB,CalCOFI1504NH,4/4/2015,9:59,4/4/2015 9:59,8:00:00,4/4/2015 17:59,,,32.89267,-117.33200,KW,KT,G,6,PC,60,0,0,0,310,3,2,3,2,KT,2,20,20,,1200,,,,,,1,1,1,0,Mn,,,,ON,,OFF,1,1,34,,,,,,,,,,,
SE,CalCOFI1504NH,4/4/2015,9:59,4/4/2015 9:59,8:00:00,4/4/2015 17:59,,,32.89267,-117.33200,KW,KT,G,6,PC,60,0,0,0,310,3,2,3,2,KT,2,20,20,,1200,,,,,,1,1,1,0,Mn,,,,ON,,OFF,1,1,34,,,,,,,,,,,
W,CalCOFI1504NH,4/4/2015,9:59,4/4/2015 9:59,8:00:00,4/4/2015 17:59,,,32.89267,-117.33200,KW,KT,G,6,PC,60,0,0,0,310,3,2,3,2,KT,2,20,20,,1200,,,,,,1,1,1,0,Mn,,,,ON,,OFF,1,1,34,,,,,,,,,,,
SB,CalCOFI1504NH,4/4/2015,10:09,4/4/2015 10:09,8:00:00,4/4/2015 18:09,,,32.90650,-117.32617,KW,KT,G,6,PC,50,0,0,0,310,3,2,3,3,KW,2,20,315,0.7,,,,,,,1,1,1,0,Mn,,,,ON,,OFF,1,1,,,,,,,,,,,,
SE,CalCOFI1504NH,4/4/2015,10:09,4/4/2015 10:09,8:00:00,4/4/2015 18:09,,,32.90650,-117.32617,KW,KT,G,6,PC,50,0,0,0,310,3,2,3,3,KW,2,20,315,0.7,,,,,,,1,1,1,0,Mn,,,,ON,,OFF,1,1,,,,,,,,,,,,
W,CalCOFI1504NH,4/4/2015,10:09,4/4/2015 10:09,8:00:00,4/4/2015 18:09,,,32.90650,-117.32617,KW,KT,G,6,PC,50,0,0,0,310,3,2,3,3,KW,2,20,315,0.7,,,,,,,1,1,1,0,Mn,,,,ON,,OFF,1,1,,,,,,,,,,,,
SB,CalCOFI1504NH,4/4/2015,10:16,4/4/2015 10:16,8:00:00,4/4/2015 18:16,,,32.92391,-117.31949,KW,KT,G,6,PC,60,0,0,0,80,4,2,3,4,KW,1,20,340,3,,,,,,,94,80,110,ND,Dc,,,,ON,,OFF,1,4,8,1,yes,KT,40D,1,6,,,,,
W,CalCOFI1504NH,4/4/2015,10:16,4/4/2015 10:16,8:00:00,4/4/2015 18:16,,,32.92391,-117.31949,KW,KT,G,6,PC,60,0,0,0,80,4,2,3,4,KW,1,20,340,3,,,,,,,94,80,110,ND,Dc,,,,On,,OFF,1,4,8,1,,,,,,,,,,
SE,CalCOFI1504NH,4/4/2015,10:23,4/4/2015 10:23,8:00:00,4/4/2015 18:23,,,32.94153,-117.31206,KW,KT,G,6,PC,60,0,0,0,80,4,2,3,4,KW,1,20,330,3,,,,,,,94,80,110,ND,Dc,,,,ON,,OFF,1,4,8,1,yes,KT,40D,1,6,,,,,
ET,CalCOFI1504NH,4/4/2015,10:28,4/4/2015 10:28,8:00:00,4/4/2015 18:28,,,32.95388,-117.30625,KW,KT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFF,1,OFF,1,,,,,,,,,,,,,on station 93 26.7 no bouys
ST,CalCOFI1504NH,4/4/2015,12:32,4/4/2015 12:32,8:00:00,4/4/2015 20:32,,,32.96150,-117.30733,KW,KT,G,6,PC,65,0,0,0,190,3,2,2,,,,125,,,,,,,,,,,,,,,,,ON,,OFF,1,,,,,,,,,,,,,leave station 93 26.7 going to SCCOOS 93 26.4
W,CalCOFI1504NH,4/4/2015,12:32,4/4/2015 12:32,8:00:00,4/4/2015 20:32,,,32.96150,-117.30733,KW,KT,G,6,PC,65,0,0,0,190,3,2,2,,,,125,,,,,,,,,,,,,,,,,ON,,OFF,1,,,,,,,,,,,,,leave station 93 26.7 going to SCCOOS 93 26.4
ET,CalCOFI1504NH,4/4/2015,12:50,4/4/2015 12:50,8:00:00,4/4/2015 20:50,,,32.95117,-117.28350,KW,KT,G,6,PC,65,0,0,0,190,3,2,2,PINN1,,,125,,,,,,,,,7,7,7,0,ZaCa,,,,OFF,1,OFF,1,,,,,,,,,,,,,"cumulative zaca count near shore within 50 miles of land, on SCCOOS 93 26.4"
PINN,CalCOFI1504NH,4/4/2015,12:50,4/4/2015 12:50,8:00:00,4/4/2015 20:50,,,32.95117,-117.28350,KW,KT,G,6,PC,65,0,0,0,190,3,2,2,PINN1,,,125,,,,,,,,,7,7,7,0,ZaCa,,,,ON,,OFF,1,,,,,,,,,,,,,"cumulative zaca count near shore within 50 miles of land, on SCCOOS 93 26.4"
W,CalCOFI1504NH,4/4/2015,12:50,4/4/2015 12:50,8:00:00,4/4/2015 20:50,,,32.95117,-117.28350,KW,KT,G,6,PC,65,0,0,0,190,3,2,2,PINN1,,,125,,,,,,,,,7,7,7,0,ZaCa,,,,ON,,OFF,1,,,,,,,,,,,,,"cumulative zaca count near shore within 50 miles of land, on SCCOOS 93 26.4"
ST,CalCOFI1504NH,4/4/2015,13:29,4/4/2015 13:29,8:00:00,4/4/2015 21:29,,,32.95683,-117.29300,KW,KT,G,6,PC,30,230,270,Sl,255,12,3,3,,,,320,,,,,,,,,,,,,,,,,ON,,OFF,1,,,,,,,,,,,,,"leaving SCCOOS 93 26.4, going to SCCOOS 91.7 & 26.4"
W,CalCOFI1504NH,4/4/2015,13:29,4/4/2015 13:29,8:00:00,4/4/2015 21:29,,,32.95683,-117.29300,KW,KT,G,6,PC,30,230,270,Sl,255,12,3,3,,,,320,,,,,,,,,,,,,,,,,ON,,OFF,1,,,,,,,,,,,,,"leaving SCCOOS 93 26.4, going to SCCOOS 91.7 & 26.4"
SB,CalCOFI1504NH,4/4/2015,13:38,4/4/2015 13:38,8:00:00,4/4/2015 21:38,,,32.97133,-117.28633,KW,KT,G,6,PC,30,230,270,SL,255,12,3,3,5,KW,2,230,215,0.5,,,,,,,1,1,1,0,ULW,,,,ON,,OFF,1,1,,,,,,,,,,,,most like hump or fin
SE,CalCOFI1504NH,4/4/2015,13:38,4/4/2015 13:38,8:00:00,4/4/2015 21:38,,,32.97133,-117.28633,KW,KT,G,6,PC,30,230,270,SL,255,12,3,3,5,KW,2,230,215,0.5,,,,,,,1,1,1,0,ULW,,,,ON,,OFF,1,1,,,,,,,,,,,,most like hump or fin
W,CalCOFI1504NH,4/4/2015,13:38,4/4/2015 13:38,8:00:00,4/4/2015 21:38,,,32.97133,-117.28633,KW,KT,G,6,PC,30,230,270,SL,255,12,3,3,5,KW,2,230,215,0.5,,,,,,,1,1,1,0,ULW,,,,ON,,OFF,1,1,,,,,,,,,,,,most like hump or fin
SB,CalCOFI1504NH,4/4/2015,13:41,4/4/2015 13:41,8:00:00,4/4/2015 21:41,,,32.97917,-117.30967,KW,KT,G,6,PC,30,230,270,SL,255,12,3,3,7,KW,1,330,325,1.5,,,,,,,160,130,180,ND,Dsp,,,,ON,,OFF,1,2,4,,,,,,,,,,,
SE,CalCOFI1504NH,4/4/2015,13:41,4/4/2015 13:41,8:00:00,4/4/2015 21:41,,,32.97917,-117.30967,KW,KT,G,6,PC,30,230,270,SL,255,12,3,3,7,KW,1,330,325,1.5,,,,,,,160,130,180,ND,Dsp,,,,ON,,OFF,1,2,4,,,,,,,,,,,
W,CalCOFI1504NH,4/4/2015,13:41,4/4/2015 13:41,8:00:00,4/4/2015 21:41,,,32.97917,-117.30967,KW,KT,G,6,PC,30,230,270,SL,255,12,3,3,7,KW,1,330,325,1.5,,,,,,,160,130,180,ND,Dsp,,,,ON,,OFF,1,2,4,,,,,,,,,,,
SB,CalCOFI1504NH,4/4/2015,13:41,4/4/2015 13:41,8:00:00,4/4/2015 21:41,,,32.97917,-117.30967,KW,KT,G,6,PC,30,230,270,SL,255,12,3,3,6,KW,2,330,310,0.7,,,,,,,2,2,3,ND,Mn,,,,ON,,OFF,1,1,,,,,,,,,,,,
SE,CalCOFI1504NH,4/4/2015,13:41,4/4/2015 13:41,8:00:00,4/4/2015 21:41,,,32.97917,-117.30967,KW,KT,G,6,PC,30,230,270,SL,255,12,3,3,6,KW,2,330,310,0.7,,,,,,,2,2,3,ND,Mn,,,,ON,,OFF,1,1,,,,,,,,,,,,
W,CalCOFI1504NH,4/4/2015,13:41,4/4/2015 13:41,8:00:00,4/4/2015 21:41,,,32.97917,-117.30967,KW,KT,G,6,PC,30,230,270,SL,255,12,3,3,6,KW,2,330,310,0.7,,,,,,,2,2,3,ND,Mn,,,,ON,,OFF,1,1,,,,,,,,,,,,
SB,CalCOFI1504NH,4/4/2015,13:48,4/4/2015 13:48,8:00:00,4/4/2015 21:48,,,32.99550,-117.31950,KW,KT,G,7,CL,15,220,280,SL,260,11,3,3,8,KW,2,335,310,0.3,,,,,,,2,1,2,ND,ULW,,,,ON,,OFF,1,1,,,,,,,,,,,,small blow more like ER
