Event Code,Cruise,Date         (Local),Time     (Local),Date/Time         (Local),GMT Diff,Date/Time          (GMT),Lat,Long,DecLat,DecLong,Port     Obs,Stbd     Obs,Quality,Visibility,Precipitation,Cloud %,Glare Bearing,Glare Bearing,Glare Quality (SL/M/SE),Wind dir (T),Wind spd (T),Bft,Swell (ft),Sighting No,Init Observer,Cue,Ship Heading Tru,Sighting Bearing Tru,Bino    Reticle,Distance (m),Sighting Method,Envelope Depth,Envelope Depth 2,Envelope Width,Envelope Width 2,Best,Min,Max,Calf,Species       1,Species       2,sp1 percent,sp2 percent,Effort (ON/OFF),Off Effort Code,Transect (ON/OFF),Off Transect Code,Primary Behaviour,Other Behaviour 1,Other Behaviour 2,Photos?,Photographer (Cam 1),Camera             1,First Frame 1,Last Frame 1,Photographer (Cam 2),Camera    2,First Frame 2,Last Frame 2,Comments
B,CalCOFI0801DSJ,1/7/2008,13:23,1/7/2008 13:23,8:00:00,1/7/2008 21:23,,,32.95510,-117.30550,DLC,GC,G,7,PC,70,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,Off,,On,,,,,,,,,,,,,,
ST,CalCOFI0801DSJ,1/7/2008,13:23,1/7/2008 13:23,8:00:00,1/7/2008 21:23,,,32.95510,-117.30550,DLC,GC,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,,Off,,On,,,,,,,,,,,,,,"Departing station 93/26.7, heading to SCCOOOS.  Off effort due to speed=5.5kts"
W,CalCOFI0801DSJ,1/7/2008,13:23,1/7/2008 13:23,8:00:00,1/7/2008 21:23,,,32.95510,-117.30550,DLC,GC,G,7,PC,70,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,Off,,On,,,,,,,,,,,,,,
ET,CalCOFI0801DSJ,1/7/2008,13:36,1/7/2008 13:36,8:00:00,1/7/2008 21:36,,,32.94950,-117.29900,DLC,GC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Off,,On,,,,,,,,,,,,,,SCCOOS station.
PINN,CalCOFI0801DSJ,1/7/2008,13:38,1/7/2008 13:38,8:00:00,1/7/2008 21:38,,,32.95017,-117.29683,DLC,GC,,,,,,,,,,,,1,DLC,,86,55,,350,,,,,,5,4,7,0,Zaca,,,,Off,,On,,2,,,,,,,,,,,,"Associated with birds (gulls, cormorants, pelicans) and LO. Possible feeding."
SB,CalCOFI0801DSJ,1/7/2008,13:39,1/7/2008 13:39,8:00:00,1/7/2008 21:39,,,32.95017,-117.29683,DLC,GC,,,,,,,,,,,,1,GC,,86,102,,275,,,,,,5,3,7,0,Lo,,,,Off,,On,,2,,,,,,,,,,,,Associated with pinn S#1. Possible feeding
C,CalCOFI0801DSJ,1/7/2008,14:30,1/7/2008 14:30,8:00:00,1/7/2008 22:30,,,32.95110,-117.30130,DLC,GC,,,,,,,,,,,,,,,271,,,,,,,,,,,,,,,,,Off,,On,,,,,,,,,,,,,,"Engine problems, staying under 7kts averaging 5.5kts."
W,CalCOFI0801DSJ,1/7/2008,15:13,1/7/2008 15:13,8:00:00,1/7/2008 23:13,,,32.95300,-117.37510,DLC,GC,G,7,OV,90,,,,,,3,4,,,,,,,,,,,,,,,,,,,,,Off,,On,,,,,,,,,,,,,,
E,CalCOFI0801DSJ,1/7/2008,15:38,1/7/2008 15:38,8:00:00,1/7/2008 23:38,,,32.95300,-117.41960,DLC,GC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Off,,On,,,,,,,,,,,,,,"Stopped dead in the water, engine being worked on.  Ending obs."
B,CalCOFI0801DSJ,1/8/2008,8:49,1/8/2008 8:49,8:00:00,1/8/2008 16:49,,,32.64280,-117.91630,DLC,DLC,E,8,PC,65,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,Off,,On,,,,,,,,,,,,,,
ST,CalCOFI0801DSJ,1/8/2008,8:49,1/8/2008 8:49,8:00:00,1/8/2008 16:49,,,32.64280,-117.91630,DLC,DLC,,,,,,,,,,,,,,,243,,,,,,,,,,,,,,,,,Off,,On,,,,,,,,,,,,,,"Array deployed, departing st.93/35. Greg working on acoustics."
W,CalCOFI0801DSJ,1/8/2008,8:49,1/8/2008 8:49,8:00:00,1/8/2008 16:49,,,32.64280,-117.91630,DLC,DLC,E,8,PC,65,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,Off,,On,,,,,,,,,,,,,,
PINN,CalCOFI0801DSJ,1/8/2008,8:55,1/8/2008 8:55,8:00:00,1/8/2008 16:55,,,32.63617,-117.93217,DLC,DLC,,,,,,,,,,,,2,DLC,,243,281,1.6,,,,,,,4,3,5,0,Zaca,,,,Off,,On,,1,,,,,,,,,,,,with birds
SB,CalCOFI0801DSJ,1/8/2008,8:55,1/8/2008 8:55,8:00:00,1/8/2008 16:55,,,32.63617,-117.93217,DLC,DLC,,,,,,,,,,,,2,DLC,,243,281,1.6,,,,,,,15,9,20,0,Dsp,,,,Off,,On,,1,,,,,,,,,,,,with birds
SB,CalCOFI0801DSJ,1/8/2008,9:02,1/8/2008 9:02,8:00:00,1/8/2008 17:02,,,32.62883,-117.95050,DLC,DLC,,,,,,,,,,,,3,DLC,,243,273,1.7,,,,,,,5,3,6,0,Lo,,,,Off,,On,,1,,,,,,,,,,,,with birds. Associated with Pinn S#2 and S#2.
SP,CalCOFI0801DSJ,1/8/2008,9:02,1/8/2008 9:02,8:00:00,1/8/2008 17:02,,,32.62883,-117.95050,DLC,DLC,,,,,,,,,,,,2,DLC,,243,273,1.7,,,,,,,15,9,20,0,Dd,,,,Off,,On,,1,,,,,,,,,,,,"w/birds, confirmed sighting w/ big eyes. Pinn S#2 and S#3 associated"
PINN,CalCOFI0801DSJ,1/8/2008,9:19,1/8/2008 9:19,8:00:00,1/8/2008 17:19,,,32.61150,-117.99167,DLC,DLC,,,,,,,,,,,,3,DLC,,243,224,,120,,,,,,2,2,2,0,Cu,,,,Off,,On,,3,,,,,,,,,,,,
C,CalCOFI0801DSJ,1/8/2008,9:36,1/8/2008 9:36,8:00:00,1/8/2008 17:36,,,32.59310,-118.03700,DLC,GC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,On,,On,,,,,,,,,,,,,,
SB,CalCOFI0801DSJ,1/8/2008,9:44,1/8/2008 9:44,8:00:00,1/8/2008 17:44,,,32.58417,-118.05900,DLC,GC,,,,,,,,,,,,4,GC,,243,313,,100,,,,,,13,10,15,0,Dd,,,,On,,On,,2,,,,,,,,,,,,subgroup of larger group coming in
