Event Code,Cruise,Date (Standard),Time (Standard),Date/Time (Standard),GMT Diff,Date/Time (GMT),Lat,Long,DecLat,DecLong,Port Obs,Stbd Obs,Quality,Visibility,Precipitation,Cloud %,Glare Bearing,Glare Bearing,Glare Quality (SL/M/SE),Wind dir T,Wind spd T,Bft,Swell (ft),Sighting No,Init Observer,Cue,Ship Heading Tru,Sighting Bearing Tru,Bino Reticle,Distance (m),Sighting Method,Envelope Depth,Envelope Depth 2,Envelope Width,Envelope Width 2,Best,Min,Max,Calf,Species 1,Species 2,sp1 Percent,sp2 Percent,Effort (on/off),Off effort code,Transect (on/off),Off Transect Code,Primary Behaviour,Other Behaviour 1,Other Behaviour 2,Photos?,Photographer (Cam 1),Camera 1,First frame 1,Last Frame 1,Photographer (Cam 2),Camera 2,First frame 2,Last Frame 2,Comments
SB,CalCOFI0907M2,7/22/2009 17:06:00,,7/22/2009 17:06,8:00:00,7/23/2009 1:06,,,33.42375565,-120.2019196,KPM,AMH,,,,,,,,,,,,58,AMH,2,,119,2.1,,,,,,,1,,,0,ULW,,,,OFF,2A,OFF,,0,,,,,,,,,,,,C IN LOGGER. OFF EFFORT BECAUSE UX CONDITIONS.
SE,CalCOFI0907M2,7/22/2009 17:10:00,,7/22/2009 17:10,8:00:00,7/23/2009 1:10,,,33.41399384,-120.1949844,KPM,AMH,,,,,,,,,,,,58,AMH,2,,52,0.8,,,,,,,1,,,0,ULW,,,,OFF,2A,OFF,,0,,,,,,,,,,,,
OO,CalCOFI0907M2,7/22/2009 17:17:00,,7/22/2009 17:17,8:00:00,7/23/2009 1:17,,,33.39689255,-120.1834946,KPM,AMH,UX,5,OV,100,,,NG,,,6.0,5,,,,145,,,,,,,,,,,,,,,,,OFF,,OFF,,,,,,,,,,,,,,OBSERVERS ON BREAK. C IN LOGGER
OB,CalCOFI0907M2,7/22/2009 17:45:00,,7/22/2009 17:45,8:00:00,7/23/2009 1:45,,,33.32731628,-120.1323395,AMH,KPM,UX,5,OV,100,,,NG,,,6.0,5,,,,145,,,,,,,,,,,,,,,,,OFF,,OFF,,,,,,,,,,,,,,RESUME OFF EFFORT OBSERVATIONS
SB,CalCOFI0907M2,7/22/2009 17:52:00,,7/22/2009 17:52,8:00:00,7/23/2009 1:52,,,33.30982971,-120.1189804,AMH,KPM,,,,,,,,,,,,59,KPM,2,,175,0.5,,,,,,,1,,,0,ULW,,,,OFF,2A,OFF,,0,,,,,,,,,,,,OFF EFFORT BECAUSE UX CONDITIONS. DID NOT RESIGHT ANIMAL
SE,CalCOFI0907M2,7/22/2009 17:52:00,,7/22/2009 17:52,8:00:00,7/23/2009 1:52,,,33.30982971,-120.1189804,AMH,KPM,,,,,,,,,,,,59,KPM,2,,175,0.5,,,,,,,1,,,0,ULW,,,,OFF,2A,OFF,,0,,,,,,,,,,,,OFF EFFORT BECAUSE UX CONDITIONS. DID NOT RESIGHT ANIMAL
SB,CalCOFI0907M2,7/22/2009 18:04:00,,7/22/2009 18:04,8:00:00,7/23/2009 2:04,,,33.28020096,-120.096405,AMH,KPM,,,,,,,,,,,,60,KPM,2,,190,0.75,,,,,,,1,,,0,ULW,,,,OFF,2A,OFF,,0,,,,,,,,,,,,OFF EFFORT BECAUSE UX CONDITIONS
SE,CalCOFI0907M2,7/22/2009 18:04:00,,7/22/2009 18:04,8:00:00,7/23/2009 2:04,,,33.28020096,-120.096405,AMH,KPM,,,,,,,,,,,,60,KPM,2,,190,0.75,,,,,,,1,,,0,ULW,,,,OFF,2A,OFF,,0,,,,,,,,,,,,OFF EFFORT BECAUSE UX CONDITIONS
SB,CalCOFI0907M2,7/22/2009 18:13:00,,7/22/2009 18:13,8:00:00,7/23/2009 2:13,,,33.25797272,-120.0799484,AMH,KPM,,,,,,,,,,,,61,KPM,2,,170,3.5,,,,,,,1,,,0,ULW,,,,OFF,2A,OFF,,0,,,,,,,,,,,,OFF EFFORT BECAUSE UX CONDITIONS
SE,CalCOFI0907M2,7/22/2009 18:13:00,,7/22/2009 18:13,8:00:00,7/23/2009 2:13,,,33.25797272,-120.0799484,AMH,KPM,,,,,,,,,,,,61,KPM,2,,170,3.5,,,,,,,1,,,0,ULW,,,,OFF,2A,OFF,,0,,,,,,,,,,,,OFF EFFORT BECAUSE UX CONDITIONS
E,CalCOFI0907M2,7/22/2009 18:46:00,,7/22/2009 18:46,8:00:00,7/23/2009 2:46,,,33.17757416,-120.0197754,AMH,KPM,UX,5,OV,100,,,NG,,,6.0,5,,,,156,,,,,,,,,,,,,,,,,OFF,,OFF,,,,,,,,,,,,,,ARRIVING STATION 87/55
ET,CalCOFI0907M2,7/22/2009 18:46:00,,7/22/2009 18:46,8:00:00,7/23/2009 2:46,,,33.17757416,-120.0197754,AMH,KPM,UX,5,OV,100,,,NG,,,6.0,5,,,,156,,,,,,,,,,,,,,,,,OFF,,OFF,,,,,,,,,,,,,,ARRIVING STATION 87/55
B,CalCOFI0907M2,7/23/2009 9:36:00,,7/23/2009 9:36,8:00:00,7/23/2009 17:36,,,32.67191315,-121.0815582,AMH,KPM,P,3.5,OV,100,,,NG,,,5.0,8,,,,234,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,DEPARTED STATION 87/70.ARRAY
ST,CalCOFI0907M2,7/23/2009 9:36:00,,7/23/2009 9:36,8:00:00,7/23/2009 17:36,,,32.67191315,-121.0815582,AMH,KPM,P,3.5,OV,100,,,NG,,,5.0,8,,,,234,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,DEPARTED STATION 87/70.ARRAY
SB,CalCOFI0907M2,7/23/2009 9:43:00,,7/23/2009 9:43,8:00:00,7/23/2009 17:43,,,32.66197205,-121.1002121,AMH,KPM,,,,,,,,,,,,62,AMH,2,,216,0.3,,,,,,,1,,,0,ULW,,,,ON,,ON,,0,,,,,,,,,,,,ONE BLOW ONLY. NO SPP ID IN LOGGER
SE,CalCOFI0907M2,7/23/2009 9:43:00,,7/23/2009 9:43,8:00:00,7/23/2009 17:43,,,32.66197205,-121.1002121,AMH,KPM,,,,,,,,,,,,62,AMH,2,,216,0.3,,,,,,,1,,,0,ULW,,,,ON,,ON,,0,,,,,,,,,,,,ONE BLOW ONLY. NO SPP ID IN LOGGER
SB,CalCOFI0907M2,7/23/2009 10:03:00,,7/23/2009 10:03,8:00:00,7/23/2009 18:03,,,32.63242722,-121.1542664,AMH,KPM,,,,,,,,,,,,63,AMH,2,,223,0.8,,,,,,,1,,,0,Bp,,,,ON,,ON,,2,,,,,,,,,,,,BM IN LOGGER. SB/SE IN LOGGER.
SP,CalCOFI0907M2,7/23/2009 10:07:00,,7/23/2009 10:07,8:00:00,7/23/2009 18:07,,,32.62656021,-121.165123,AMH,KPM,,,,,,,,,,,,63,AMH,2,,222,1.7,,,,,,,1,,,0,Bp,,,,ON,,ON,,2,,,,,,,,,,,,
SP,CalCOFI0907M2,7/23/2009 10:12:00,,7/23/2009 10:12,8:00:00,7/23/2009 18:12,,,32.61935043,-121.178421,AMH,KPM,,,,,,,,,,,,63,AMH,2,,237,6.7,,,,,,,1,,,0,Bp,,,,ON,,ON,,2,,,,,,,,,,,,
SE,CalCOFI0907M2,7/23/2009 10:13:00,,7/23/2009 10:13,8:00:00,7/23/2009 18:13,,,32.61764908,-121.1815948,AMH,KPM,,,,,,,,,,,,63,AMH,2,,326,7.8,,,,,,,1,,,0,Bp,,,,ON,,ON,,2,,,,,,,,,,,,SP IN LOGGER
OO,CalCOFI0907M2,7/23/2009 10:37:00,,7/23/2009 10:37,8:00:00,7/23/2009 18:37,,,32.58227158,-121.2467957,AMH,KPM,P,3.5,OV,100,,,NG,,,5.0,8,,,,234,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,LUNCH ROTATION
OB,CalCOFI0907M2,7/23/2009 10:53:00,,7/23/2009 10:53,8:00:00,7/23/2009 18:53,,,32.55822372,-121.2911606,AMH,KPM,P,3.5,OV,100,,,NG,,,5.0,8,,,,234,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,BOTH OBSERVERS ON WATCH
SB,CalCOFI0907M2,7/23/2009 10:53:00,,7/23/2009 10:53,8:00:00,7/23/2009 18:53,,,32.55822372,-121.2911606,AMH,KPM,,,,,,,,,,,,64,KPM,2,,232,1,,,,,,,1,,,0,ULW,,,,ON,,ON,,0,,,,,,,,,,,,UNKNOWN BALEEN WHALE.
SE,CalCOFI0907M2,7/23/2009 10:53:00,,7/23/2009 10:53,8:00:00,7/23/2009 18:53,,,32.55822372,-121.2911606,AMH,KPM,,,,,,,,,,,,64,KPM,2,,232,1,,,,,,,1,,,0,ULW,,,,ON,,ON,,0,,,,,,,,,,,,UNKNOWN BALEEN WHALE.
SB,CalCOFI0907M2,7/23/2009 11:30:00,,7/23/2009 11:30,8:00:00,7/23/2009 19:30,,,32.50104141,-121.3947906,AMH,KPM,,,,,,,,,,,,65,KPM,1,,250,1,,,,,,,200,150,300,1,Dd,,,,ON,,ON,,2,,5,,,,,,,,,,SB IN LOGGER
SE,CalCOFI0907M2,7/23/2009 11:30:00,,7/23/2009 11:30,8:00:00,7/23/2009 19:30,,,32.50104141,-121.3947906,AMH,KPM,,,,,,,,,,,,65,KPM,1,,250,1,,,,,,,200,150,300,1,Dd,,,,ON,,ON,,2,,5,,,,,,,,,,SB IN LOGGER
SB,CalCOFI0907M2,7/23/2009 11:42:00,,7/23/2009 11:42,8:00:00,7/23/2009 19:42,,,32.48165512,-121.4293442,AMH,KPM,,,,,,,,,,,,66,AMH,2,,159,3.6,,,,,,,1,,,0,ULW,,,,ON,,ON,,0,,,,,,,,,,,,NO SPP ID IN LOGGER
SE,CalCOFI0907M2,7/23/2009 11:42:00,,7/23/2009 11:42,8:00:00,7/23/2009 19:42,,,32.48165512,-121.4293442,AMH,KPM,,,,,,,,,,,,66,AMH,2,,159,3.6,,,,,,,1,,,0,ULW,,,,ON,,ON,,0,,,,,,,,,,,,NO SPP ID IN LOGGER
SB,CalCOFI0907M2,7/23/2009 12:16:00,,7/23/2009 12:16,8:00:00,7/23/2009 20:16,,,32.42698288,-121.5286789,AMH,KPM,,,,,,,,,,,,67,KPM,1,,280,7,,,,,,,10,6,20,1,Dd,,,,ON,,ON,,5,,,,,,,,,,,,
SE,CalCOFI0907M2,7/23/2009 12:16:00,,7/23/2009 12:16,8:00:00,7/23/2009 20:16,,,32.42698288,-121.5286789,AMH,KPM,,,,,,,,,,,,67,KPM,1,,280,7,,,,,,,10,6,20,1,Dd,,,,ON,,ON,,5,,,,,,,,,,,,
SB,CalCOFI0907M2,7/23/2009 12:19:00,,7/23/2009 12:19,8:00:00,7/23/2009 20:19,,,32.42206955,-121.537323,AMH,KPM,,,,,,,,,,,,68,KPM,1,,310,1.5,,,,,,,75,60,90,1,Dd,,,,ON,,ON,,1,,,,,,,,,,,,
SE,CalCOFI0907M2,7/23/2009 12:19:00,,7/23/2009 12:19,8:00:00,7/23/2009 20:19,,,32.42206955,-121.537323,AMH,KPM,,,,,,,,,,,,68,KPM,1,,310,1.5,,,,,,,75,60,90,1,Dd,,,,ON,,ON,,1,,,,,,,,,,,,
SB,CalCOFI0907M2,7/23/2009 12:27:00,,7/23/2009 12:27,8:00:00,7/23/2009 20:27,,,32.40910721,-121.5602722,AMH,KPM,,,,,,,,,,,,69,KPM,2,,265,8,,,,,,,1,,,0,Bp,,,,ON,,ON,,1,,,,,,,,,,,,
SE,CalCOFI0907M2,7/23/2009 12:27:00,,7/23/2009 12:27,8:00:00,7/23/2009 20:27,,,32.40910721,-121.5602722,AMH,KPM,,,,,,,,,,,,69,KPM,2,,265,8,,,,,,,1,,,0,Bp,,,,ON,,ON,,1,,,,,,,,,,,,
SB,CalCOFI0907M2,7/23/2009 12:30:00,,7/23/2009 12:30,8:00:00,7/23/2009 20:30,,,32.40433502,-121.568779,AMH,KPM,,,,,,,,,,,,70A,AMH,3,,249,,150,,,,,,23,17,34,0,Dd,,,,ON,,ON,,2,,,,,,,,,,,,
SE,CalCOFI0907M2,7/23/2009 12:32:00,,7/23/2009 12:32,8:00:00,7/23/2009 20:32,,,32.40144348,-121.5740891,AMH,KPM,,,,,,,,,,,,70B,AMH,3,,202,12,,,12.0,5.2,185,216,47,33,61,ND,Dd,,,,ON,,ON,,2,,,,,,,,,,,,SUBGROUP. #S REFLECT 70b ONLY
SP,CalCOFI0907M2,7/23/2009 12:32:00,,7/23/2009 12:32,8:00:00,7/23/2009 20:32,,,32.40144348,-121.5740891,AMH,KPM,,,,,,,,,,,,70B,AMH,3,,202,12,,,12.0,5.2,185,216,47,33,61,ND,Dd,,,,ON,,ON,,2,,,,,,,,,,,,SUBGROUP. #S REFLECT 70b ONLY
SB,CalCOFI0907M2,7/23/2009 12:43:00,,7/23/2009 12:43,8:00:00,7/23/2009 20:43,,,32.38326263,-121.6056824,AMH,KPM,,,,,,,,,,,,71,AMH,3,,182,2.4,,,,,,,32,25,41,ND,Dd,,,,ON,,ON,,2,,,,,,,,,,,,
SE,CalCOFI0907M2,7/23/2009 12:46:00,,7/23/2009 12:46,8:00:00,7/23/2009 20:46,,,32.37812424,-121.6141281,AMH,KPM,,,,,,,,,,,,71,AMH,3,,154,5.2,,,,,,,32,25,41,ND,Dd,,,,ON,,ON,,2,,,,,,,,,,,,SP IN LOGGER
OO,CalCOFI0907M2,7/23/2009 13:11:00,,7/23/2009 13:11,8:00:00,7/23/2009 21:11,,,32.33719635,-121.6851883,AMH,AMH,P,3.5,OV,100,,,NG,,,5.0,8,,,,231,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,KM DOWN TO DEPLOY SONOBUOY
ET,CalCOFI0907M2,7/23/2009 13:19:00,,7/23/2009 13:19,8:00:00,7/23/2009 21:19,,,32.32402039,-121.707962,AMH,AMH,P,3.5,OV,100,,,NG,,,5.0,8,,,,248,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,ARRIVING STATION 87/80
ST,CalCOFI0907M2,7/23/2009 15:28:00,,7/23/2009 15:28,8:00:00,7/23/2009 23:28,,,32.32341003,-121.7568817,KPM,AMH,P,3.5,OV,100,,,NG,,,5.0,8,,,,233,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,DINNER ROTATION. DEPARTED STATION 87/80
SB,CalCOFI0907M2,7/23/2009 16:01:00,,7/23/2009 16:01,8:00:00,7/24/2009 0:01,,,32.2716,-121.8523,KPM,AMH,,,,,,,,,,,,72,AMH,3,,192,,100,,,,,,12,9,18,1,Dd,,,,ON,,ON,,1,,,,,,,,,,,,
SE,CalCOFI0907M2,7/23/2009 16:01:00,,7/23/2009 16:01,8:00:00,7/24/2009 0:01,,,32.2716,-121.8523,KPM,AMH,,,,,,,,,,,,72,AMH,3,,192,,100,,,,,,12,9,18,1,Dd,,,,ON,,ON,,1,,,,,,,,,,,,
C,CalCOFI0907M2,7/23/2009 16:06:00,,7/23/2009 16:06,8:00:00,7/24/2009 0:06,,,32.2636,-121.8664,KPM,AMH,P,3.5,OV,100,,,NG,,,5.0,8,,,,233,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,BOTH OBSERVERS ON WATCH
P,CalCOFI0907M2,7/23/2009 17:00:00,,7/23/2009 17:00,8:00:00,7/24/2009 1:00,,,32.17504501,-122.0233917,KPM,AMH,P,3.5,OV,100,,,NG,,,5.0,8,,,,230,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
P,CalCOFI0907M2,7/23/2009 17:57:00,,7/23/2009 17:57,8:00:00,7/24/2009 1:57,,,32.08812714,-122.1905746,KPM,AMH,P,3.5,OV,100,,,NG,,,5.0,8,,,,241,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
E,CalCOFI0907M2,7/23/2009 18:59:00,,7/23/2009 18:59,8:00:00,7/24/2009 2:59,,,31.99879074,-122.3732758,KPM,AMH,P,3.5,OV,100,,,NG,,,5.0,8,,,,240,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,ARRIVING STATION 87/90
ET,CalCOFI0907M2,7/23/2009 18:59:00,,7/23/2009 18:59,8:00:00,7/24/2009 2:59,,,31.99879074,-122.3732758,KPM,AMH,P,3.5,OV,100,,,NG,,,5.0,8,,,,240,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,ARRIVING STATION 87/90
B,CalCOFI0907M2,7/24/2009 5:48:00,,7/24/2009 5:48,8:00:00,7/24/2009 13:48,,,31.42380333,-123.5452805,AMH,KPM,P,4,LR,100,,,NG,,,5.0,6,,,,237,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,STARTED MID TRANSECT TO STATION 87/110. SECOND LOGGER INFO INCORRECT
ST,CalCOFI0907M2,7/24/2009 5:48:00,,7/24/2009 5:48,8:00:00,7/24/2009 13:48,,,31.42380333,-123.5452805,AMH,KPM,P,4,LR,100,,,NG,,,5.0,6,,,,237,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,STARTED MID TRANSECT TO STATION 87/110. SECOND LOGGER INFO INCORRECT
W,CalCOFI0907M2,7/24/2009 6:04:00,,7/24/2009 6:04,8:00:00,7/24/2009 14:04,,,31.40037918,-123.589386,AMH,KPM,P,3.5,OV,100,,,NG,,,5.0,6,,,,237,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
ET,CalCOFI0907M2,7/24/2009 6:25:00,,7/24/2009 6:25,8:00:00,7/24/2009 14:25,,,31.37045097,-123.6462097,AMH,KPM,P,3.5,OV,100,,,NG,,,5.0,6,,,,239,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,ARRIVING STATION 87/110
OO,CalCOFI0907M2,7/24/2009 10:25:00,,7/24/2009 10:25,8:00:00,7/24/2009 18:25,,,31.34479523,-123.7970047,AMH,KPM,P,3.5,OV,100,,,NG,,,5.0,6,,,,332,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,LUNCH ROTATION. DEPARTED STATION 87/110
ST,CalCOFI0907M2,7/24/2009 10:25:00,,7/24/2009 10:25,8:00:00,7/24/2009 18:25,,,31.34479523,-123.7970047,AMH,KPM,P,3.5,OV,100,,,NG,,,5.0,6,,,,332,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,LUNCH ROTATION. DEPARTED STATION 87/110
OB,CalCOFI0907M2,7/24/2009 11:13:00,,7/24/2009 11:13,8:00:00,7/24/2009 19:13,,,31.44096756,-123.8577957,AMH,KPM,P,3.5,OV,100,,,NG,,,5.0,6,,,,324,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,BOTH OBSERVERS ON WATCH
P,CalCOFI0907M2,7/24/2009 12:15:00,,7/24/2009 12:15,8:00:00,7/24/2009 20:15,,,31.44458389,-123.860321,AMH,KPM,P,3.5,OV,100,,,NG,,,5.0,6,,,,327,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
P,CalCOFI0907M2,7/24/2009 13:19:00,,7/24/2009 13:19,8:00:00,7/24/2009 21:19,,,31.45266533,-123.8654938,AMH,KPM,P,3.5,OV,100,,,NG,,,5.0,6,,,,327,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
P,CalCOFI0907M2,7/24/2009 14:34:00,,7/24/2009 14:34,8:00:00,7/24/2009 22:34,,,31.84152412,-124.1219101,AMH,KPM,P,3.5,OV,100,,,NG,,,5.0,6,,,,328,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
OO,CalCOFI0907M2,7/24/2009 14:58:00,,7/24/2009 14:58,8:00:00,7/24/2009 22:58,,,31.88940048,-124.155159,AMH,AMH,P,3.5,OV,100,,,NG,,,5.0,6,,,,320,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,KM DOWN TO DEPLOY SONOBUOY
ET,CalCOFI0907M2,7/24/2009 15:07:00,,7/24/2009 15:07,8:00:00,7/24/2009 23:07,,,31.90654755,-124.167366,AMH,AMH,P,3.5,OV,100,,,NG,,,5.0,6,,,,339,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,ARRIVING STATION 83/110
ST,CalCOFI0907M2,7/24/2009 17:17:00,,7/24/2009 17:17,8:00:00,7/25/2009 1:17,,,31.92979813,-124.2024765,AMH,KPM,P,3.5,OV,100,,,NG,,,5.0,6,,,,61,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,DEPARTED STATION 83/110
E,CalCOFI0907M2,7/24/2009 19:09:00,,7/24/2009 19:09,8:00:00,7/25/2009 3:09,,,32.05630112,-123.9140625,AMH,KPM,P,3.5,OV,100,,,NG,,,5.0,6,,,,65,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,ENDING MID TRANSECT. SUNSET
ET,CalCOFI0907M2,7/24/2009 19:09:00,,7/24/2009 19:09,8:00:00,7/25/2009 3:09,,,32.05630112,-123.9140625,AMH,KPM,P,3.5,OV,100,,,NG,,,5.0,6,,,,65,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,ENDING MID TRANSECT. SUNSET
B,CalCOFI0907M2,7/25/2009 6:03:00,,7/25/2009 6:03,8:00:00,7/25/2009 14:03,,,32.58486557,-122.8376923,KPM,AMH,P,5,OV,95,,,NG,,,5.0,8,,,,56,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,DEPARTED STATION 83/90. DATE/TIME IN LOGGER IN WRONG
ST,CalCOFI0907M2,7/25/2009 6:03:00,,7/25/2009 6:03,8:00:00,7/25/2009 14:03,,,32.58486557,-122.8376923,KPM,AMH,P,5,OV,95,,,NG,,,5.0,8,,,,56,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,DEPARTED STATION 83/90. DATE/TIME IN LOGGER IN WRONG
P,CalCOFI0907M2,7/25/2009 7:28:00,,7/25/2009 7:28,8:00:00,7/25/2009 15:28,,,32.68064117,-122.6335297,KPM,AMH,P,5,OV,95,,,NG,,,5.0,8,,,,56,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
SB,CalCOFI0907M2,7/25/2009 7:36:00,,7/25/2009 7:36,8:00:00,7/25/2009 15:36,,,32.69036102,-122.6116562,KPM,AMH,,,,,,,,,,,,73,KPM,2,,33,0.2,,,,,,,1,,,0,ULW,,,,ON,,ON,,0,,,,,,,,,,,,
SE,CalCOFI0907M2,7/25/2009 7:36:00,,7/25/2009 7:36,8:00:00,7/25/2009 15:36,,,32.69036102,-122.6116562,KPM,AMH,,,,,,,,,,,,73,KPM,2,,33,0.2,,,,,,,1,,,0,ULW,,,,ON,,ON,,0,,,,,,,,,,,,
W,CalCOFI0907M2,7/25/2009 8:47:00,,7/25/2009 8:47,8:00:00,7/25/2009 16:47,,,32.77793121,-122.4176559,KPM,AMH,P,5,OV,90,,,SL,,,5.0,8,,,,59,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0907M2,7/25/2009 8:55:00,,7/25/2009 8:55,8:00:00,7/25/2009 16:55,,,32.7880249,-122.3942413,KPM,AMH,P,5,PC,60,,,SE,,,5.0,8,,,,54,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
SB,CalCOFI0907M2,7/25/2009 9:29:00,,7/25/2009 9:29,8:00:00,7/25/2009 17:29,,,32.82878113,-122.3008652,KPM,AMH,,,,,,,,,,,,74,AMH,3,,127,6.2,,,,,,,52,45,69,0,Dd,,,,ON,,ON,,2,,5,,,,,,,,,,
SE,CalCOFI0907M2,7/25/2009 9:29:00,,7/25/2009 9:29,8:00:00,7/25/2009 17:29,,,32.82878113,-122.3008652,KPM,AMH,,,,,,,,,,,,74,AMH,3,,127,6.2,,,,,,,52,45,69,0,Dd,,,,ON,,ON,,2,,5,,,,,,,,,,
W,CalCOFI0907M2,7/25/2009 10:09:00,,7/25/2009 10:09,8:00:00,7/25/2009 18:09,,,32.88070297,-122.1936874,KPM,AMH,P,4,LF,100,,,NG,,,5.0,8,,,,48,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
ET,CalCOFI0907M2,7/25/2009 10:23:00,,7/25/2009 10:23,8:00:00,7/25/2009 18:23,,,32.89956284,-122.1558762,KPM,AMH,P,4,LF,100,,,NG,,,5.0,8,,,,54,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,ARRIVING STATION 83/80
ST,CalCOFI0907M2,7/25/2009 12:45:00,,7/25/2009 12:45,8:00:00,7/25/2009 20:45,,,32.9297905,-122.1529007,KPM,AMH,P,4,LF,100,,,NG,,,5.0,8,,,,48,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,DEPARTED STATION 83/80
XT,CalCOFI0907M2,7/25/2009 14:49:00,,7/25/2009 14:49,8:00:00,7/25/2009 22:49,,,33.07763672,-121.8148117,KPM,AMH,P,4,LF,100,,,NG,,,5.0,8,,,,56,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,"4 KNOTS, FISH ON"
RT,CalCOFI0907M2,7/25/2009 14:54:00,,7/25/2009 14:54,8:00:00,7/25/2009 22:54,,,33.08081436,-121.8078156,KPM,AMH,P,4,LF,100,,,NG,,,5.0,8,,,,64,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,BACK UP TO SPEED
SB,CalCOFI0907M2,7/25/2009 15:05:00,,7/25/2009 15:05,8:00:00,7/25/2009 23:05,,,33.09384918,-121.7777328,KPM,AMH,,,,,,,,,,,,75,AMH,1,,92,9.4,,,,,,,250,175,325,ND,Dd,,,,ON,,ON,,2,,5,,,,,,,,,,SB/SE IN LOGGER
SE,CalCOFI0907M2,7/25/2009 15:13:00,,7/25/2009 15:13,8:00:00,7/25/2009 23:13,,,33.10286713,-121.7558746,KPM,AMH,,,,,,,,,,,,75,AMH,3,,140,,100,,,,,,3,2,5,0,Dd,,,,ON,,ON,,5,,,,,,,,,,,,SMALL SUBGROUP STILL WITH SHIP
SP,CalCOFI0907M2,7/25/2009 15:13:00,,7/25/2009 15:13,8:00:00,7/25/2009 23:13,,,33.10286713,-121.7558746,KPM,AMH,,,,,,,,,,,,75,AMH,3,,140,,100,,,,,,3,2,5,0,Dd,,,,ON,,ON,,5,,,,,,,,,,,,SMALL SUBGROUP STILL WITH SHIP
OO,CalCOFI0907M2,7/25/2009 15:30:00,,7/25/2009 15:30,8:00:00,7/25/2009 23:30,,,33.12239456,-121.7088242,KPM,AMH,P,4,LF,100,,,NG,,,5.0,8,,,,70,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,DINNER ROTATION
OB,CalCOFI0907M2,7/25/2009 16:26:00,,7/25/2009 16:26,8:00:00,7/26/2009 0:26,,,33.18941879,-121.5549164,KPM,AMH,P,4,LF,100,,,NG,,,5.0,8,,,,63,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,BOTH OBSERVERS ON WATCH
ET,CalCOFI0907M2,7/25/2009 16:58:00,,7/25/2009 16:58,8:00:00,7/26/2009 0:58,,,33.22834778,-121.466568,KPM,AMH,P,4,LF,100,,,NG,,,5.0,8,,,,63,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,ARRIVING STATION 83/70
ST,CalCOFI0907M2,7/26/2009 7:07:00,,7/26/2009 7:07,8:00:00,7/26/2009 15:07,,,33.82561111,-120.1164093,AMH,KPM,F,3.5,OV,100,,,NG,,,3.0,4,,,,74,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,"MID TRANSECT TO 83/45, SKIPPING STATIONS 83/55 AND 83/51 SINCE THEY WERE PREVIOUSLY COMPLETED)"
