Event Code,Cruise,Date         (Local),Time     (Local),Date/Time         (Local),GMT Diff,Date/Time          (GMT),Lat,Long,DecLat,DecLong,Port     Obs,Stbd     Obs,Quality,Visibility,Precipitation,Cloud %,Glare Bearing,Glare Bearing,Glare Quality (SL/M/SE),Wind dir (T),Wind spd (T),Bft,Swell (ft),Sighting No,Init Observer,Cue,Ship Heading Tru,Sighting Bearing Tru,Bino    Reticle,Distance (m),Sighting Method,Envelope Depth,Envelope Depth 2,Envelope Width,Envelope Width 2,Best,Min,Max,Calf,Species       1,Species       2,sp1 percent,sp2 percent,Effort (ON/OFF),Off Effort Code,Transect (ON/OFF),Off Transect Code,Primary Behaviour,Other Behaviour 1,Other Behaviour 2,Photos?,Photographer (Cam 1),Camera             1,First Frame 1,Last Frame 1,Photographer (Cam 2),Camera    2,First Frame 2,Last Frame 2,Comments
SB,CalCOFI0602JD,2/3/2006,15:37,2/3/2006 15:37,8:00:00,2/3/2006 23:37,,,32.816,-117.3103333,SMC,SMC,,,HZ,,,,,,,,,1,SMC,,6,40,5,,,,,,,1.00,,22.00,0,Er,,,,Off,,Off,,1,,,,,,,,,,,,Diving
SB,CalCOFI0602JD,2/3/2006,15:56,2/3/2006 15:56,8:00:00,2/3/2006 23:56,,,32.86533333,-117.3065,SMC,SMC,,,HZ,,,,,,,,,2,SMC,,2,29,5,,,,,,,8.00,7.00,10.00,ND,Tt,,,,Off,,Off,,2,,,,,,,,,,,,Birds associated
B,CalCOFI0602JD,2/4/2006,7:50,2/4/2006 7:50,8:00:00,2/4/2006 15:50,,,32.82783333,-117.5356667,GSC,SMC,,,HZ,,,,,,,,,3,DLC,,175,65,6,,,,,,,220.00,17.00,240.00,ND,Dd,,,,Off,,Off,,2,,,,,,,,,,,,Birds associated. At atation 93.30
SB,CalCOFI0602JD,2/4/2006,7:50,2/4/2006 7:50,8:00:00,2/4/2006 15:50,,,32.82783333,-117.5356667,GSC,SMC,,,HZ,,,,,,,,,3,DLC,,175,65,6,,,,,,,220.00,17.00,240.00,ND,Dd,,,,Off,,Off,,2,,,,,,,,,,,,Birds associated. At atation 93.30
ST,CalCOFI0602JD,2/4/2006,9:33,2/4/2006 9:33,8:00:00,2/4/2006 17:33,,,32.79583333,-117.5708333,GSC,SMC,G,5,HZ,100,,,,,,1,3,,,,244,,,,,,,,,,,,,,,,,On,,Off,,,,,,,,,,,,,,
W,CalCOFI0602JD,2/4/2006,9:33,2/4/2006 9:33,8:00:00,2/4/2006 17:33,,,32.79583333,-117.5708333,GSC,SMC,G,5,HZ,100,,,,,,1,3,,,,244,,,,,,,,,,,,,,,,,On,,Off,,,,,,,,,,,,,,
P,CalCOFI0602JD,2/4/2006,10:01,2/4/2006 10:01,8:00:00,2/4/2006 18:01,,,32.76116667,-117.6841667,GSC,SMC,G,5,HZ,100,,,,,,1,3,,,,244,,,,,,,,,,,,,,,,,On,,Off,,,,,,,,,,,,,,
W,CalCOFI0602JD,2/4/2006,10:01,2/4/2006 10:01,8:00:00,2/4/2006 18:01,,,32.76116667,-117.6841667,GSC,SMC,G,5,HZ,100,,,,,,1,3,,,,244,,,,,,,,,,,,,,,,,On,,Off,,,,,,,,,,,,,,
P,CalCOFI0602JD,2/4/2006,10:30,2/4/2006 10:30,8:00:00,2/4/2006 18:30,,,32.7285,-117.7705,GSC,SMC,G,5,HZ,100,,,,,,1,3,,,,244,,,,,,,,,,,,,,,,,On,,Off,,,,,,,,,,,,,,
W,CalCOFI0602JD,2/4/2006,10:30,2/4/2006 10:30,8:00:00,2/4/2006 18:30,,,32.7285,-117.7705,GSC,SMC,G,5,HZ,100,,,,,,1,3,,,,244,,,,,,,,,,,,,,,,,On,,Off,,,,,,,,,,,,,,
ET,CalCOFI0602JD,2/4/2006,10:48,2/4/2006 10:48,8:00:00,2/4/2006 18:48,,,32.70483333,-117.8221667,GSC,SMC,G,5,HZ,100,,,,,,1,3,,,,244,,,,,,,,,,,,,,,,,Off,,On,,,,,,,,,,,,,,Pulling array. Arriving: 93/35
W,CalCOFI0602JD,2/4/2006,10:48,2/4/2006 10:48,8:00:00,2/4/2006 18:48,,,32.70483333,-117.8221667,GSC,SMC,G,5,HZ,100,,,,,,1,3,,,,244,,,,,,,,,,,,,,,,,Off,,On,,,,,,,,,,,,,,Pulling array. Arriving: 93/35
ST,CalCOFI0602JD,2/4/2006,13:45,2/4/2006 13:45,8:00:00,2/4/2006 21:45,,,32.66783333,-117.911,GSC,SMC,G,5,OV,100,,,,,,1,3,,,,234,,,,,,,,,,,,,,,,,On,,On,,,,,,,,,,,,,,Array deployed.
W,CalCOFI0602JD,2/4/2006,13:45,2/4/2006 13:45,8:00:00,2/4/2006 21:45,,,32.66783333,-117.911,GSC,SMC,G,5,OV,100,,,,,,1,3,,,,234,,,,,,,,,,,,,,,,,On,,On,,,,,,,,,,,,,,Array deployed.
W,CalCOFI0602JD,2/4/2006,14:00,2/4/2006 14:00,8:00:00,2/4/2006 22:00,,,32.64566667,-117.9443333,GSC,SMC,G,5,OV,100,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,On,,On,,,,,,,,,,,,,,
P,CalCOFI0602JD,2/4/2006,14:40,2/4/2006 14:40,8:00:00,2/4/2006 22:40,,,32.58833333,-118.0573333,GSC,SMC,G,5,OV,100,,,,,,1,4,,,,240,,,,,,,,,,,,,,,,,On,,On,,,,,,,,,,,,,,
W,CalCOFI0602JD,2/4/2006,14:40,2/4/2006 14:40,8:00:00,2/4/2006 22:40,,,32.58833333,-118.0573333,GSC,SMC,G,5,OV,100,,,,,,1,4,,,,240,,,,,,,,,,,,,,,,,On,,On,,,,,,,,,,,,,,
SB,CalCOFI0602JD,2/4/2006,15:01,2/4/2006 15:01,8:00:00,2/4/2006 23:01,,,32.5595,-118.1203333,GSC,SMC,,,,,,,,,,,,4,GSC,,238,188,7,,,,,,,10.00,9.00,11.00,0,Lo,,,,On,,On,,2,,,,,,,,,,,,
ET,CalCOFI0602JD,2/4/2006,15:11,2/4/2006 15:11,8:00:00,2/4/2006 23:11,,,32.546,-118.1461667,GSC,SMC,G,5,OV,100,,,,,,1,4,,,,238,,,,,,,,,,,,,,,,,Off,,On,,,,,,,,,,,,,,Pulling array. Arriving: 93/40
W,CalCOFI0602JD,2/4/2006,15:11,2/4/2006 15:11,8:00:00,2/4/2006 23:11,,,32.546,-118.1461667,GSC,SMC,G,5,OV,100,,,,,,1,4,,,,238,,,,,,,,,,,,,,,,,Off,,On,,,,,,,,,,,,,,Pulling array. Arriving: 93/40
