Event Code,Cruise,Date         (Local),Time     (Local),Date/Time         (Local),GMT Diff,Date/Time          (GMT),Lat,Long,DecLat,DecLong,Port     Obs,Stbd     Obs,Quality,Visibility,Precipitation,Cloud %,Glare Bearing,Glare Bearing,Glare Quality (SL/M/SE),Wind dir (T),Wind spd (T),Bft,Swell (ft),Sighting No,Init Observer,Cue,Ship Heading Tru,Sighting Bearing Tru,Bino    Reticle,Distance (m),Sighting Method,Envelope Depth,Envelope Depth 2,Envelope Width,Envelope Width 2,Best,Min,Max,Calf,Species       1,Species       2,sp1 percent,sp2 percent,Effort (ON/OFF),Off Effort Code,Transect (ON/OFF),Off Transect Code,Primary Behaviour,Other Behaviour 1,Other Behaviour 2,Photos?,Photographer (Cam 1),Camera             1,First Frame 1,Last Frame 1,Photographer (Cam 2),Camera    2,First Frame 2,Last Frame 2,Comments
B,CalCOFI0507NH,7/1/2005,11:47,38534.49,8:00:00,38534.82,,,32.95133,-117.29667,ABD,ABD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFF,,OFF,,,,,,,,,,,,,,Second station. Off effort from bridge
C,CalCOFI0507NH,7/1/2005,11:47,38534.49,8:00:00,38534.82,,,32.95133,-117.29667,ABD,ABD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFF,,OFF,,,,,,,,,,,,,,Second station. Off effort from bridge
W,CalCOFI0507NH,7/1/2005,11:47,38534.49,8:00:00,38534.82,,,32.95133,-117.29667,ABD,ABD,G,4,OV,100,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,OFF,,OFF,,,,,,,,,,,,,,Second station. Off effort from bridge
C,CalCOFI0507NH,7/1/2005,12:15,38534.51,8:00:00,38534.84,,,32.97500,-117.28550,DLC,VI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFF,,OFF,,,,,,,,,,,,,,
ST,CalCOFI0507NH,7/1/2005,12:36,38534.53,8:00:00,38534.86,,,32.93667,-117.28883,DLC,ABD,,,,,,,,,,,,,,,334,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,Departing station
P,CalCOFI0507NH,7/1/2005,13:06,38534.55,8:00:00,38534.88,,,33.01283,-117.33117,DLC,ABD,,,,,,,,,,,,,,,334,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,
SB,CalCOFI0507NH,7/1/2005,13:34,38534.57,8:00:00,38534.90,,,33.08050,-117.36917,DLC,ABD,,,,,,,,,,,,1,ABD,,339,29,7,,,,,,,5,3,6,0,Dsp,,,,ON,,OFF,,4,9,,,,,,,,,,,Birds associated with group
P,CalCOFI0507NH,7/1/2005,14:00,38534.58,8:00:00,38534.92,,,33.14550,-117.40717,ABD,DLC,,,,,,,,,,,,,,,334,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,
P,CalCOFI0507NH,7/1/2005,14:34,38534.61,8:00:00,38534.94,,,33.23050,-117.45717,ABD,DLC,,,,,,,,,,,,,,,334,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,
W,CalCOFI0507NH,7/1/2005,14:34,38534.61,8:00:00,38534.94,,,33.23050,-117.45717,ABD,DLC,G,5,OV,100,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,
ET,CalCOFI0507NH,7/1/2005,14:39,38534.61,8:00:00,38534.94,,,33.24167,-117.46100,ABD,DLC,,,,,,,,,,,,,,,334,,,,,,,,,,,,,,,,,OFF,,OFF,,,,,,,,,,,,,,On Station
ST,CalCOFI0507NH,7/1/2005,15:31,38534.65,8:00:00,38534.98,,,33.22933,-117.47100,ABD,VI,,,,,,,,,,,,,,,168,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,Leaving station
W,CalCOFI0507NH,7/1/2005,15:31,38534.65,8:00:00,38534.98,,,33.22933,-117.47100,ABD,VI,G,4,OV,100,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,Leaving station
C,CalCOFI0507NH,7/1/2005,15:43,38534.65,8:00:00,38534.99,,,33.19283,-117.47400,ABD,VI,,,,,,,,,,,,,,,168,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,"Bird flock feeding bearing 172, angle -84, 0.4 reticles"
SB,CalCOFI0507NH,7/1/2005,15:47,38534.66,8:00:00,38534.99,,,33.18583,-117.47500,ABD,VI,,,,,,,,,,,,2,VI,,172,185,3,,,,,,,500,300,800,ND,Lo,Dsp,10,90,ON,,OFF,,1,"9, 5",,,,,,,,,,,Dsp.possibly capensis.Approached boat. About 10% Lo.
SB,CalCOFI0507NH,7/1/2005,16:00,38534.67,8:00:00,38535.00,,,33.14083,-117.48100,ABD,VI,,,,,,,,,,,,3,ABD,,172,114,5,,,,,,,18,15,20,0,Dd,,,,ON,,OFF,,9,,,,,,,,,,,,
SB,CalCOFI0507NH,7/1/2005,16:03,38534.67,8:00:00,38535.00,,,33.13500,-117.48200,ABD,VI,,,,,,,,,,,,4,VI,,172,202,0.8,,,,,,,800,600,1000,1,Dd,,,,ON,,OFF,,1,8,,,,,,,,,,,
