Event Code,Cruise,Date         (Local),Time     (Local),Date/Time         (Local),GMT Diff,Date/Time          (GMT),Lat,Long,DecLat,DecLong,Port     Obs,Stbd     Obs,Quality,Visibility,Precipitation,Cloud %,Glare Bearing,Glare Bearing,Glare Quality (SL/M/SE),Wind dir (T),Wind spd (T),Bft,Swell (ft),Sighting No,Init Observer,Cue,Ship Heading Tru,Sighting Bearing Tru,Bino    Reticle,Distance (m),Sighting Method,Envelope Depth,Envelope Depth 2,Envelope Width,Envelope Width 2,Best,Min,Max,Calf,Species       1,Species       2,sp1 percent,sp2 percent,Effort (ON/OFF),Off Effort Code,Transect (ON/OFF),Off Transect Code,Primary Behaviour,Other Behaviour 1,Other Behaviour 2,Photos?,Photographer (Cam 1),Camera             1,First Frame 1,Last Frame 1,Photographer (Cam 2),Camera    2,First Frame 2,Last Frame 2,Comments
B,CalCOFI0701JD,1/12/2007,14:53,1/12/2007 14:53,8:00:00,1/12/2007 22:53,,,32.64800,-117.22833,GSC,ABD,F,8,CL,10,,,,,,4,5,,,,205,,,,,,,,,,,,,,,,,On,,Off,,,,,,,,,,,,,,hours off GMT -8   Off effort non transect between stations
ST,CalCOFI0701JD,1/12/2007,14:53,1/12/2007 14:53,8:00:00,1/12/2007 22:53,,,32.64800,-117.22833,GSC,ABD,F,8,CL,10,,,,,,4,5,,,,205,,,,,,,,,,,,,,,,,On,,Off,,,,,,,,,,,,,,hours off GMT -8   Off effort non transect between stations
W,CalCOFI0701JD,1/12/2007,14:53,1/12/2007 14:53,8:00:00,1/12/2007 22:53,,,32.64800,-117.22833,GSC,ABD,F,8,CL,10,,,,,,4,5,,,,,,,,,,,,,,,,,,,,,On,,Off,,,,,,,,,,,,,,hours off GMT -8   Off effort non transect between stations
SB,CalCOFI0701JD,1/12/2007,15:12,1/12/2007 15:12,8:00:00,1/12/2007 23:12,,,32.63267,-117.26500,GSC,ABD,,,,,,,,,,,,1,ABD,,285,340,0.5,2660,,,,,,2,,,0,Er,,,,On,,Off,,1,,,,,,,,,,,,
SB,CalCOFI0701JD,1/12/2007,15:17,1/12/2007 15:17,8:00:00,1/12/2007 23:17,,,32.63283,-117.27350,GSC,ABD,,,,,,,,,,,,2,ABD,,295,330,1,1642,,,,,,2,,,ND,Er,,,,On,,Off,,0,,,,,,,,,,,,
P,CalCOFI0701JD,1/12/2007,15:24,1/12/2007 15:24,8:00:00,1/12/2007 23:24,,,32.64133,-117.28350,GSC,ABD,,,,,,,,,,,,,,,347,,,,,,,,,,,,,,,,,On,,Off,,,,,,,,,,,,,,
SB,CalCOFI0701JD,1/12/2007,16:25,1/12/2007 16:25,8:00:00,1/13/2007 0:25,,,32.78583,-117.31467,GSC,ABD,,,,,,,,,,,,3,ABD,,352,32,,600,,,,,,1,,,0,Er,,,,On,,Off,,1,,,,,,,,,,,,
SB,CalCOFI0701JD,1/12/2007,16:33,1/12/2007 16:33,8:00:00,1/13/2007 0:33,,,32.80667,-117.31850,GSC,ABD,,,,,,,,,,,,4,GSC,,354,264,0.75,2027,,,,,,1,,,ND,UNID_CETAC,,,,On,,Off,,0,,,,,,,,,,,,Likely ER
SB,CalCOFI0701JD,1/12/2007,16:36,1/12/2007 16:36,8:00:00,1/13/2007 0:36,,,32.81367,-117.31967,GSC,ABD,,,,,,,,,,,,5,ABD,,354,84,,800,,,,,,1,,,0,UNID_CETAC,,,,On,,Off,,0,,,,,,,,,,,,Unid whale
E,CalCOFI0701JD,1/12/2007,17:01,1/12/2007 17:01,8:00:00,1/13/2007 1:01,,,32.87733,-117.31750,GSC,ABD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Off,,Off,,,,,,,,,,,,,,SUNSET
