Event Code,Cruise,Date         (Local),Time     (Local),Date/Time         (Local),GMT Diff,Date/Time          (GMT),Lat,Long,DecLat,DecLong,Port     Obs,Stbd     Obs,Quality,Visibility,Precipitation,Cloud %,Glare Bearing,Glare Bearing,Glare Quality (SL/M/SE),Wind dir (T),Wind spd (T),Bft,Swell (ft),Sighting No,Init Observer,Cue,Ship Heading Tru,Sighting Bearing Tru,Bino    Reticle,Distance (m),Sighting Method,Envelope Depth,Envelope Depth 2,Envelope Width,Envelope Width 2,Best,Min,Max,Calf,Species       1,Species       2,sp1 percent,sp2 percent,Effort (ON/OFF),Off Effort Code,Transect (ON/OFF),Off Transect Code,Primary Behaviour,Other Behaviour 1,Other Behaviour 2,Photos?,Photographer (Cam 1),Camera             1,First Frame 1,Last Frame 1,Photographer (Cam 2),Camera    2,First Frame 2,Last Frame 2,Comments
B,CalCOFI1108NH,7/27/2011,7:04,7/27/2011 7:04,8:00:00,7/27/2011 15:04,,,32.70650,-117.23550,KW,DC,G,6,OV,100,0,,,160,6,2,3,,,,,,,,,,,,,,,,,,,,,ON,,OFF,3,,,,,,,,,,,,,Leaving San Diego port transiting to CC station 93/26.7.
ST,CalCOFI1108NH,7/27/2011,7:04,7/27/2011 7:04,8:00:00,7/27/2011 15:04,,,32.70650,-117.23550,KW,DC,G,6,OV,100,0,,,160,6,2,3,,,,,,,,,,,,,,,,,,,,,ON,,OFF,3,,,,,,,,,,,,,Leaving San Diego port transiting to CC station 93/26.7.
W,CalCOFI1108NH,7/27/2011,7:04,7/27/2011 7:04,8:00:00,7/27/2011 15:04,,,32.70650,-117.23550,KW,DC,G,6,OV,100,,,,160,6,2,3,,,,,,,,,,,,,,,,,,,,,ON,,OFF,3,,,,,,,,,,,,,Leaving San Diego port transiting to CC station 93/26.7.
XT,CalCOFI1108NH,7/27/2011,7:44,7/27/2011 7:44,8:00:00,7/27/2011 15:44,,,32.63417,-117.25617,KW,DC,G,6,OV,100,,,,160,6,2,3,1,KW,3,260,263,0.3,,,,,,,44,37,55,ND,DSP,,,,OFF,7,OFF,3,2,4,,,,,,,,,,,Breaking for ship drills.
SB,CalCOFI1108NH,7/27/2011,7:44,7/27/2011 7:44,8:00:00,7/27/2011 15:44,,,32.63417,-117.25617,KW,DC,G,6,OV,100,,,,160,6,2,3,1,KW,3,260,263,0.3,,,,,,,44,37,55,ND,DSP,,,,ON,,OFF,3,2,4,,,,,,,,,,,
SE,CalCOFI1108NH,7/27/2011,7:44,7/27/2011 7:44,8:00:00,7/27/2011 15:44,,,32.63417,-117.25617,KW,DC,G,6,OV,100,,,,160,6,2,3,1,KW,3,260,263,0.3,,,,,,,44,37,55,ND,DSP,,,,ON,,OFF,3,2,4,,,,,,,,,,,
RT,CalCOFI1108NH,7/27/2011,8:08,7/27/2011 8:08,8:00:00,7/27/2011 16:08,,,32.68433,-117.28333,KW,DC,,,,,,,,,,,,,,,330,,,,,,,,,,,,,,,,,ON,,OFF,3,,,,,,,,,,,,,Returning from drills.
SB,CalCOFI1108NH,7/27/2011,8:08,7/27/2011 8:08,8:00:00,7/27/2011 16:08,,,32.68433,-117.28333,KW,DC,,,,,,,,,,,,2,DC,3,330,270,8,,,,,,,140,120,160,ND,DSP,,,,ON,,OFF,3,2,,,,,,,,,,,,Returning from drills.
SE,CalCOFI1108NH,7/27/2011,8:08,7/27/2011 8:08,8:00:00,7/27/2011 16:08,,,32.68433,-117.28333,KW,DC,,,,,,,,,,,,2,DC,3,330,270,8,,,,,,,140,120,160,ND,DSP,,,,ON,,OFF,3,2,,,,,,,,,,,,Returning from drills.
XT,CalCOFI1108NH,7/27/2011,8:14,7/27/2011 8:14,8:00:00,7/27/2011 16:14,,,32.70467,-117.29600,KW,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFF,7,OFF,3,,,,,,,,,,,,,Scientist meeting.
