Event Code,Cruise,Date         (Local),Time     (Local),Date/Time         (Local),GMT Diff,Date/Time          (GMT),Lat,Long,DecLat,DecLong,Port     Obs,Stbd     Obs,Quality,Visibility,Precipitation,Cloud %,Glare Bearing,Glare Bearing,Glare Quality (SL/M/SE),Wind dir (T),Wind spd (T),Bft,Swell (ft),Sighting No,Init Observer,Cue,Ship Heading Tru,Sighting Bearing Tru,Bino    Reticle,Distance (m),Sighting Method,Envelope Depth,Envelope Depth 2,Envelope Width,Envelope Width 2,Best,Min,Max,Calf,Species       1,Species       2,sp1 percent,sp2 percent,Effort (ON/OFF),Off Effort Code,Transect (ON/OFF),Off Transect Code,Primary Behaviour,Other Behaviour 1,Other Behaviour 2,Photos?,Photographer (Cam 1),Camera             1,First Frame 1,Last Frame 1,Photographer (Cam 2),Camera    2,First Frame 2,Last Frame 2,Comments
B,CalCOFI1202NH,1/27/2012,8:24,1/27/2012 8:24,8:00:00,1/27/2012 16:24,,,32.70350,-117.23000,KW,MB,E,1,HZ,24,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,off,7,off,7,,,,,,,,,,,,,moving to Bay for calibrations - no mammal observations
ST,CalCOFI1202NH,1/27/2012,8:24,1/27/2012 8:24,8:00:00,1/27/2012 16:24,,,32.70350,-117.23000,KW,MB,E,1,HZ,24,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,off,7,off,7,,,,,,,,,,,,,moving to Bay for calibrations - no mammal observations
XT,CalCOFI1202NH,1/27/2012,8:24,1/27/2012 8:24,8:00:00,1/27/2012 16:24,,,32.70350,-117.23000,KW,MB,E,1,HZ,24,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,off,7,off,7,,,,,,,,,,,,,"not on transect line, doing calibration"
XT,CalCOFI1202NH,1/27/2012,8:31,1/27/2012 8:31,8:00:00,1/27/2012 16:31,,,32.71967,-117.21183,KW,MB,E,1,HZ,24,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,off,7,off,7,,,,,,,,,,,,,on location for calibration waypoint 820
ET,CalCOFI1202NH,1/27/2012,8:31,1/27/2012 8:31,8:00:00,1/27/2012 16:31,,,32.71967,-117.21183,KW,MB,E,1,HZ,24,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,off,7,off,7,,,,,,,,,,,,,on location for calibration waypoint 820
ST,CalCOFI1202NH,1/27/2012,12:59,1/27/2012 12:59,8:00:00,1/27/2012 20:59,,,32.71967,-117.21333,KW,MB,G,1,CL,4,185,220,SE,310,8,3,2,,,,170,,,,,,,,,,,,,,,,,on,,off,1,,,,,,,,,,,,,short transit from harbor to first station 93-26.7
W,CalCOFI1202NH,1/27/2012,12:59,1/27/2012 12:59,8:00:00,1/27/2012 20:59,,,32.71967,-117.21333,,,G,1,CL,4,185,220,SE,310,8,3,2,,,,,,,,,,,,,,,,,,,,,on,,off,,,,,,,,,,,,,,
P,CalCOFI1202NH,1/27/2012,13:33,1/27/2012 13:33,8:00:00,1/27/2012 21:33,,,32.61667,-117.24017,KW,MB,F,7,CL,0,180,228,SE,305,18,4,5,,,,224,,,,,,,,,,,,,,,,,on,,off,1,,,,,,,,,,,,,
W,CalCOFI1202NH,1/27/2012,13:33,1/27/2012 13:33,8:00:00,1/27/2012 21:33,,,32.61667,-117.24017,KW,MB,F,7,CL,0,180,228,SE,305,18,4,5,,,,224,,,,,,,,,,,,,,,,,on,,off,1,,,,,,,,,,,,,
SB,CalCOFI1202NH,1/27/2012,13:46,1/27/2012 13:46,8:00:00,1/27/2012 21:46,,,32.65383,-117.26783,KW,MB,F,7,CL,0,0,0,0,305,18,4,5,1,KW,2,335,270,0.6,,,,,,,1,1,1,0,ULW,,,,on,,off,1,1,,,no,,,,,,,,,humpback or most likely ER
SE,CalCOFI1202NH,1/27/2012,13:46,1/27/2012 13:46,8:00:00,1/27/2012 21:46,,,32.65383,-117.26783,KW,MB,F,7,CL,0,0,0,0,305,18,4,5,1,KW,2,335,270,0.6,,,,,,,1,1,1,0,ULW,,,,on,,off,1,1,,,no,,,,,,,,,humpback or most likely ER
W,CalCOFI1202NH,1/27/2012,13:46,1/27/2012 13:46,8:00:00,1/27/2012 21:46,,,32.65383,-117.26783,,,F,7,CL,0,0,0,0,305,18,4,5,,,,335,,,,,,,,,,,,,,,,,on,,off,,,,,,,,,,,,,,
SB,CalCOFI1202NH,1/27/2012,13:49,1/27/2012 13:49,8:00:00,1/27/2012 21:49,,,32.66067,-117.27567,KW,MB,,,,,,,,,,,,2,KW,2,335,285,1,,,,,,,1,1,1,0,ULW,,,,on,,off,1,1,,,no,,,,,,,,,most likely ER
SE,CalCOFI1202NH,1/27/2012,13:49,1/27/2012 13:49,8:00:00,1/27/2012 21:49,,,32.66067,-117.27567,KW,MB,,,,,,,,,,,,2,KW,2,335,285,1,,,,,,,1,1,1,0,ULW,,,,on,,off,1,1,,,no,,,,,,,,,most likely ER
W,CalCOFI1202NH,1/27/2012,13:49,1/27/2012 13:49,8:00:00,1/27/2012 21:49,,,32.66067,-117.27567,,,F,7,CL,0,0,,,305,18,4,5,2,KW,2,335,285,1,,,,,,,1,1,1,0,ULW,,,,on,,off,1,1,,,no,,,,,,,,,most likely ER
SB,CalCOFI1202NH,1/27/2012,13:52,1/27/2012 13:52,8:00:00,1/27/2012 21:52,,,32.66833,-117.27233,KW,MB,F,7,CL,0,0,0,0,305,18,4,5,3,MB,2,335,280,1,,,,,,,1,1,1,0,ULW,,,,on,,off,1,1,,,no,,,,,,,,,most likely ER
SE,CalCOFI1202NH,1/27/2012,13:52,1/27/2012 13:52,8:00:00,1/27/2012 21:52,,,32.66833,-117.27233,KW,MB,F,7,CL,0,0,0,0,305,18,4,5,3,MB,2,335,280,1,,,,,,,1,1,1,0,ULW,,,,on,,off,1,1,,,no,,,,,,,,,most likely ER
W,CalCOFI1202NH,1/27/2012,13:52,1/27/2012 13:52,8:00:00,1/27/2012 21:52,,,32.66833,-117.27233,KW,MB,F,7,CL,0,0,0,0,305,18,4,5,3,MB,2,335,280,1,,,,,,,1,1,1,0,ULW,,,,on,,off,1,1,,,no,,,,,,,,,most likely ER
SB,CalCOFI1202NH,1/27/2012,14:00,1/27/2012 14:00,8:00:00,1/27/2012 22:00,,,32.68783,-117.29667,KW,MB,F,7,CL,0,0,0,0,305,12,3,4,4,MB,2,342,25,0.75,,,,,,,1,1,1,0,Er,,,,on,,off,1,1,,,yes,,,,,MB,,7938,7940,
SE,CalCOFI1202NH,1/27/2012,14:00,1/27/2012 14:00,8:00:00,1/27/2012 22:00,,,32.68783,-117.29667,KW,MB,F,7,CL,0,0,0,0,305,12,3,4,4,MB,2,342,25,0.75,,,,,,,1,1,1,0,Er,,,,on,,off,1,1,,,yes,,,,,MB,,7938,7940,
W,CalCOFI1202NH,1/27/2012,14:00,1/27/2012 14:00,8:00:00,1/27/2012 22:00,,,32.68783,-117.29667,KW,MB,F,7,CL,0,0,0,0,305,12,3,4,4,MB,2,342,25,0.75,,,,,,,1,1,1,0,Er,,,,on,,off,1,1,,,yes,,,,,MB,,7938,7940,
SB,CalCOFI1202NH,1/27/2012,14:12,1/27/2012 14:12,8:00:00,1/27/2012 22:12,,,32.72033,-117.29283,KW,MB,G,7,CL,0,0,0,0,308,12,3,4,5,MB,1,345,0,2.2,,,2.2,14,260,70,210,150,237,nd,Dc,,,,on,,off,1,2,4,5,yes,,,,,MB,,7941,7944,
SE,CalCOFI1202NH,1/27/2012,14:12,1/27/2012 14:12,8:00:00,1/27/2012 22:12,,,32.72033,-117.29283,KW,MB,G,7,CL,0,0,0,0,308,12,3,4,5,MB,1,345,0,2.2,,,2.2,14,260,70,210,150,237,nd,Dc,,,,on,,off,1,2,4,5,yes,,,,,MB,,7941,7944,
W,CalCOFI1202NH,1/27/2012,14:12,1/27/2012 14:12,8:00:00,1/27/2012 22:12,,,32.72033,-117.29283,KW,MB,G,7,CL,0,0,0,0,308,12,3,4,5,MB,1,345,0,2.2,,,2.2,14,260,70,210,150,237,nd,Dc,,,,on,,off,1,2,4,5,yes,,,,,MB,,7941,7944,
