Event Code,Cruise,Date         (Local),Time     (Local),Date/Time         (Local),GMT Diff,Date/Time          (GMT),Lat,Long,DecLat,DecLong,Port     Obs,Stbd     Obs,Quality,Visibility,Precipitation,Cloud %,Glare Bearing,Glare Bearing,Glare Quality (SL/M/SE),Wind dir (T),Wind spd (T),Bft,Swell (ft),Sighting No,Init Observer,Cue,Ship Heading Tru,Sighting Bearing Tru,Bino    Reticle,Distance (m),Sighting Method,Envelope Depth,Envelope Depth 2,Envelope Width,Envelope Width 2,Best,Min,Max,Calf,Species       1,Species       2,sp1 percent,sp2 percent,Effort (ON/OFF),Off Effort Code,Transect (ON/OFF),Off Transect Code,Primary Behaviour,Other Behaviour 1,Other Behaviour 2,Photos?,Photographer (Cam 1),Camera             1,First Frame 1,Last Frame 1,Photographer (Cam 2),Camera    2,First Frame 2,Last Frame 2,Comments
B,CalCOFI1008NH,,,7/30/2010 9:48,7:00:00,7/30/2010 16:48,,,32.63840,-117.23300,KW,DC,G,6,OV,100,,,NG,,,,,,,,,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,"begin cruise, comment added by AJD from 1008 events log from CalCOFI website"
ST,CalCOFI1008NH,,,7/30/2010 10:55,7:00:00,7/30/2010 17:55,,,32.75607,-117.25944,KW,DC,G,6,OV,100,,,NG,,,2,3,1,KW,3,9,251,0.6,,,,,,,1,,,0,Bm    ,,,,ON,3,OFF,1,1,,,,,,,,,,,,
SB,CalCOFI1008NH,,,7/30/2010 10:55,7:00:00,7/30/2010 17:55,,,32.75607,-117.25944,KW,DC,G,6,OV,100,,,NG,,,2,3,1,KW,3,9,251,0.6,,,,,,,1,,,0,Bm    ,,,,ON,3,OFF,1,1,,,,,,,,,,,,
ET,CalCOFI1008NH,,,7/30/2010 11:06,7:00:00,7/30/2010 18:06,,,32.78598,-117.26616,KW,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFF,,OFF,,,,,,,,,,,,,,"station arrival 93.3/26.7, comment added by AJD from 1008 events log from CalCOFI website"
ST,CalCOFI1008NH,,,7/30/2010 12:47,7:00:00,7/30/2010 19:47,,,32.95550,-117.30425,KW,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,"station departure, leaving 93.3/26.7, going to 93.3/26.4, comment added by AJD from 1008 events log from CalCOFI website"
SB,CalCOFI1008NH,,,7/30/2010 13:00,7:00:00,7/30/2010 20:00,,,32.95529,-117.30392,KW,DC,G,6,OV,100,,,NG,,,2,3,2,KW,2,270,250,1,,,,,,,1,,,0,Bm    ,,,,OFF,1;3,OFF,1,1,,,,,,,,,,,,crew told us                                                                    
ET,CalCOFI1008NH,,,7/30/2010 13:12,7:00:00,7/30/2010 20:12,,,32.95535,-117.30422,KW,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFF,,OFF,,,,,,,,,,,,,,"station arrival at 93.3/26.4, comment added by AJD from 1008 events log from CalCOFI website"
SB,CalCOFI1008NH,,,7/30/2010 14:21,7:00:00,7/30/2010 21:21,,,32.95243,-117.31576,KW,DC,G,6,OV,100,,,NG,,,2,3,3,DC,3,335,231,0.75,,,,,,,2,,,0,Bm    ,,,,OFF,3;4,ON,,1,,,,,,,,,,,,bridge let us know                                                              
C,CalCOFI1008NH,,,7/30/2010 14:54,7:00:00,7/30/2010 21:54,,,32.95106,-117.29971,KW,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ON,,,,,,,,,,,,,,"station departure, leaving 93.3/26.4, going to 91.7/26.4, comment added by AJD from 1008 events log from CalCOFI website"
ST,CalCOFI1008NH,,,7/30/2010 16:03,7:00:00,7/30/2010 23:03,,,32.95460,-117.29049,KW,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
ET,CalCOFI1008NH,,,7/30/2010 16:39,7:00:00,7/30/2010 23:39,,,33.03427,-117.33662,KW,DC,,,,,,,,,,,,,,,335,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,down helping lauren
C,CalCOFI1008NH,,,7/30/2010 19:43,7:00:00,7/31/2010 2:43,,,33.09260,-117.43023,KW,DC,,,,,,,,,,,,,,,172,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,lauren needed both observers for buoy strip down and to add oil to the hydrophone case.
E,CalCOFI1008NH,,,7/30/2010 19:52,7:00:00,7/31/2010 2:52,,,33.06599,-117.42548,KW,DC,,,,,,,,,,,,,,,171,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,end day and begin regular survey on sat.
B,CalCOFI1008NH,,,7/31/2010 0:00,7:00:00,7/31/2010 7:00,,,32.86672,-117.49452,DC,KW,G,1,OV,100,,,NG,,6,2,3,,,,,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,still preparing and gettingpwe for the computer; Begin CC 1008.
SB,CalCOFI1008NH,,,7/31/2010 7:03,7:00:00,7/31/2010 14:03,,,32.61790,-117.99778,DC,KW,G,1,OV,100,,,NG,,,2,3,4,DC,3,216,232,1.2,,,,,,,85,,,ND,Dd,,,,OFF,,ON,,,,,,,,,,,,,,
ST,CalCOFI1008NH,,,7/31/2010 7:45,7:00:00,7/31/2010 14:45,,,32.55789,-118.11635,DC,KW,G,1,OV,100,,,NG,,6,2,3,,,,235,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,port observer is domanique. star obsrver id katherine
ET,CalCOFI1008NH,,,7/31/2010 8:10,7:00:00,7/31/2010 15:10,,,32.51825,-118.18014,DC,KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,
SB,CalCOFI1008NH,,,7/31/2010 10:12,7:00:00,7/31/2010 17:12,,,32.52140,-118.20739,DC,KW,G,1,OV,100,,,NG,,,2,5,5,KW,3,235,300,0.5,,,,,,,2,,,0,ULW   ,,,,OFF,,ON,,,,,,,,,,,,,,kw sighted possible BP                                                          
ST,CalCOFI1008NH,,,7/31/2010 10:54,7:00:00,7/31/2010 17:54,,,32.51524,-118.22074,DC,KW,G,1,OV,100,,,NG,,6,2,5,,,,234,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,to station 93-45 hydraphone deployed. dc observer port kw observer starboard.
SB,CalCOFI1008NH,,,7/31/2010 11:35,7:00:00,7/31/2010 18:35,,,32.45780,-118.32781,DC,KW,G,1,OV,100,,,NG,,,2,5,6,DC,3,235,202,0.3,,,,,,,1,,,0,Bm,,,,ON,,ON,,,,,,,,,,,,,,dc on port                                                                      
SB,CalCOFI1008NH,,,7/31/2010 11:35,7:00:00,7/31/2010 18:35,,,32.45780,-118.32781,DC,KW,G,1,OV,100,,,NG,,,2,5,7,KW,3,235,260,2.8,,,,,,,12,,,ND,Dsp,,,,ON,,ON,,,,,,,,,,,,,,dc on port                                                                      
SB,CalCOFI1008NH,,,7/31/2010 11:49,7:00:00,7/31/2010 18:49,,,32.43942,-118.36743,DC,KW,G,1,OV,100,,,NG,,,2,5,8,DC,2,235,172,1,,,,,,,25,,,ND,Dsp,,,,ON,,ON,,,,,,,,,,,,,,dolphines on both sides of the ship.                                            
ET,CalCOFI1008NH,,,7/31/2010 12:13,7:00:00,7/31/2010 19:13,,,32.40470,-118.43541,DC,KW,,,,,,,,,,,,,,,241,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,both observers down .off observatons pulling hydraphone in buoys deplyed
SB,CalCOFI1008NH,,,7/31/2010 14:16,7:00:00,7/31/2010 21:16,,,32.35400,-118.56084,DC,KW,F,5,OV,100,,,NG,,,3,5.5,9,DC,3,239,291,1.6,,,,,,,12,,,ND,Dsp,,,,OFF,,ON,,,,,,,,,,,,,,DLC sighted                                                                     
SB,CalCOFI1008NH,,,7/31/2010 14:25,7:00:00,7/31/2010 21:25,,,32.35368,-118.55924,DC,KW,F,5,OV,100,,,NG,,,3,5.5,10,KW,3,240,210,1,,,,,,,15,,,ND,UD    ,,,,OFF,,ON,,,,,,,,,,,,,,"KW sighted. Large, risso like.                                                  "
ST,CalCOFI1008NH,,,7/31/2010 15:30,7:00:00,7/31/2010 22:30,,,32.33482,-118.57156,DC,KW,F,5,OV,100,,,NG,,6,3,5.5,,,,244,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,DLC on port and KW on star
OO,CalCOFI1008NH,,,7/31/2010 16:53,7:00:00,7/31/2010 23:53,,,32.22035,-118.80293,DC,KW,,,,,,,,,,,,,,,241,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,observers  down to pull in array. Deploying  2 sonobuoys.
ET,CalCOFI1008NH,,,7/31/2010 17:14,7:00:00,8/1/2010 0:14,,,32.19312,-118.86137,DC,KW,,,,,,,,,,,,,,,241,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,on station 93-50 2 buoys deployed array in
E,CalCOFI1008NH,,,7/31/2010 19:33,7:00:00,8/1/2010 2:33,,,32.17468,-118.92452,DC,KW,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,end of day
B,CalCOFI1008NH,,,8/1/2010 6:32,7:00:00,8/1/2010 13:32,,,31.68704,-119.88820,DC,KW,F,1,OV,100,,,NG,,15,4,6,,,,237,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,begin day  sransit to staton 93 -70
ST,CalCOFI1008NH,,,8/1/2010 6:32,7:00:00,8/1/2010 13:32,,,31.68730,-119.88764,DC,KW,F,1,OV,100,,,NG,,15,4,6,,,,237,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,begin day  sransit to staton 93 -70
OO,CalCOFI1008NH,,,8/1/2010 8:10,7:00:00,8/1/2010 15:10,,,31.54248,-120.16074,KW,KW,,,,,,,,,,,,,,,237,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,starboard observer on-kw. dc pot down for breakfast
ET,CalCOFI1008NH,,,8/1/2010 8:32,7:00:00,8/1/2010 15:32,,,31.51392,-120.22201,KW,KW,,,,,,,,,,,,,,,275,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,on station 93-70 1 amni bouy deployed
ST,CalCOFI1008NH,,,8/1/2010 11:04,7:00:00,8/1/2010 18:04,,,31.50653,-120.25769,DC,KW,G,1,PC,100,,,NG,,9,3,6,,,,238,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,start transect to station 93-80. Array in water
OO,CalCOFI1008NH,,,8/1/2010 12:21,7:00:00,8/1/2010 19:21,,,31.38921,-120.46391,DC,DC,,,,,,,,,,,,,,,233,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,Rotating thru lunch. KW down. DLC on port observing 180.
C,CalCOFI1008NH,,,8/1/2010 12:44,7:00:00,8/1/2010 19:44,,,31.35233,-120.52464,KW,KW,,,,,,,,,,,,,,,235,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,kw back from lunh- domanique down
OB,CalCOFI1008NH,,,8/1/2010 13:08,7:00:00,8/1/2010 20:08,,,31.31549,-120.58485,DC,KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,both observers back on observations
ET,CalCOFI1008NH,,,8/1/2010 14:22,7:00:00,8/1/2010 21:22,,,31.18608,-120.78097,DC,KW,,,,,,,,,,,,,,,233,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,takin in rray
SB,CalCOFI1008NH,,,8/1/2010 17:45,7:00:00,8/2/2010 0:45,,,31.18266,-120.93665,DC,KW,G,1,PC,100,,,NG,,,3,4,11,DC,2,240,300,,80,,,,,,15,,,0,Dd,,,,OFF,,ON,,,,,,,,,,,,,,
SB,CalCOFI1008NH,,,8/1/2010 18:13,7:00:00,8/2/2010 1:13,,,31.18103,-120.94174,DC,KW,G,1,PC,100,,,NG,,,3,4,12,KW,3,240,200,3,,,,,,,120,,,0,Dd,,,,OFF,,ON,,,,,,,,,,,,,,
ST,CalCOFI1008NH,,,8/1/2010 18:58,7:00:00,8/2/2010 1:58,,,31.18200,-120.95710,DC,KW,G,1,PC,100,,,NG,,11,3,4,,,,234,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,transit to staton 93-90. no array.
ET,CalCOFI1008NH,,,8/1/2010 20:02,7:00:00,8/2/2010 3:02,,,31.08229,-121.13491,DC,KW,,,,,,,,,,,,,,,238,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,
E,CalCOFI1008NH,,,8/1/2010 20:02,7:00:00,8/2/2010 3:02,,,31.08229,-121.13491,DC,KW,,,,,,,,,,,,,,,238,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,
B,CalCOFI1008NH,,,8/2/2010 6:57,7:00:00,8/2/2010 13:57,,,30.49996,-122.31020,KW,DC,F,2,OV,98,,,NG,,11,4,4.5,,,,237,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,"departed station 93/100. array deployed. KW port, DLC starbrd."
ST,CalCOFI1008NH,,,8/2/2010 6:57,7:00:00,8/2/2010 13:57,,,30.49996,-122.31020,KW,DC,F,2,OV,98,,,NG,,11,4,4.5,,,,237,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,"departed station 93/100. array deployed. KW port, DLC starbrd."
OO,CalCOFI1008NH,,,8/2/2010 8:10,7:00:00,8/2/2010 15:10,,,30.38924,-122.51110,KW,KW,,,,,,,,,,,,,,,237,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,"beakfast rotation. DLC down, KW on port observing 180."
C,CalCOFI1008NH,,,8/2/2010 8:45,7:00:00,8/2/2010 15:45,,,30.34039,-122.60760,DC,DC,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,"Breakfast roation. KW down, DLC on starbrd observing 180."
OB,CalCOFI1008NH,,,8/2/2010 9:06,7:00:00,8/2/2010 16:06,,,30.30957,-122.66420,KW,DC,,,,,,,,,,,,,,,237,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,Both observers on effort.
ET,CalCOFI1008NH,,,8/2/2010 10:18,7:00:00,8/2/2010 17:18,,,30.21041,-122.86530,KW,DC,F,2,OV,100,,,NG,,11,3,4,,,,242,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,Both down to help bring in array.1 amni buoy deployed.
ST,CalCOFI1008NH,,,8/2/2010 13:17,7:00:00,8/2/2010 20:17,,,30.17262,-122.98570,KW,DC,G,2,OV,100,,,NG,,13,3,4,,,,237,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,"Departed station 93/110. KW on port and DLC on strbrd,"
OO,CalCOFI1008NH,,,8/2/2010 16:27,7:00:00,8/2/2010 23:27,,,29.89084,-123.49900,,,,,,,,,,,,,,,,,241,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,Both observes down to help retrieve array.
ET,CalCOFI1008NH,,,8/2/2010 16:27,7:00:00,8/2/2010 23:27,,,29.89084,-123.49900,KW,DC,,,,,,,,,,,,,,,241,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,Array retrieved. On staion 93/120.
ST,CalCOFI1008NH,,,8/2/2010 19:01,7:00:00,8/3/2010 2:01,,,29.86353,-123.61120,DC,KW,F,2,OV,95,,,NG,,17,4,5,,,,326,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,transit to location 90 -120. no array
ET,CalCOFI1008NH,,,8/2/2010 19:56,7:00:00,8/3/2010 2:56,,,29.98589,-123.70120,DC,KW,,,,,,,,,,,,,,,328,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,end obsrvations
E,CalCOFI1008NH,,,8/2/2010 19:56,7:00:00,8/3/2010 2:56,,,29.98589,-123.70120,DC,KW,,,,,,,,,,,,,,,328,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,end obsrvations
B,CalCOFI1008NH,,,8/3/2010 9:04,7:00:00,8/3/2010 16:04,,,30.77510,-123.29960,DC,KW,F,2,OV,100,,,NG,,15,4,4,,,,64,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,"Departed station 90/110. Array deployed. DLC on port, KW on strbrd."
ST,CalCOFI1008NH,,,8/3/2010 9:04,7:00:00,8/3/2010 16:04,,,30.77510,-123.29960,DC,KW,F,2,OV,100,,,NG,,15,4,4,,,,64,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,"Departed station 90/110. Array deployed. DLC on port, KW on strbrd."
C,CalCOFI1008NH,,,8/3/2010 11:57,7:00:00,8/3/2010 18:57,,,30.99426,-122.85030,DC,KW,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,observers moved inside bridge so crew could paint.
OO,CalCOFI1008NH,,,8/3/2010 12:17,7:00:00,8/3/2010 19:17,,,31.02073,-122.79920,KW,KW,F,1,OV,100,,,NG,,20,4,5.5,,,,59,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,port oberver down for lunch-dc off
C,CalCOFI1008NH,,,8/3/2010 13:09,7:00:00,8/3/2010 20:09,,,31.08675,-122.66840,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,Both observers off obs. Retrieving array.
ET,CalCOFI1008NH,,,8/3/2010 13:09,7:00:00,8/3/2010 20:09,,,31.08675,-122.66840,DC,KW,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,Arrived station 90/100.
ST,CalCOFI1008NH,,,8/3/2010 15:54,7:00:00,8/3/2010 22:54,,,31.12429,-122.64250,DC,KW,P,2,PC,100,,,NG,,24,4,5.5,,,,63,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,array in water 1 sona buoy deployed last station
OO,CalCOFI1008NH,,,8/3/2010 18:00,7:00:00,8/4/2010 1:00,,,31.26064,-122.30150,KW,KW,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,dc down for dinner
OB,CalCOFI1008NH,,,8/3/2010 18:46,7:00:00,8/4/2010 1:46,,,31.32107,-122.18240,DC,KW,,,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,both observers back on observations
ET,CalCOFI1008NH,,,8/3/2010 20:20,7:00:00,8/4/2010 3:20,,,31.41675,-121.98910,DC,KW,,,,,,,,,,,,,,,352,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,end of day aray pulled  in no buoy deployed
E,CalCOFI1008NH,,,8/3/2010 20:20,7:00:00,8/4/2010 3:20,,,31.41675,-121.98910,DC,KW,,,,,,,,,,,,,,,352,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,end of day aray pulled  in no buoy deployed
B,CalCOFI1008NH,,,8/4/2010 7:25,7:00:00,8/4/2010 14:25,,,31.78521,-121.25760,DC,KW,P,2,PC,100,,,NG,,24,4,6,,,,63,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,observing inside wheel house .wet outside
ST,CalCOFI1008NH,,,8/4/2010 7:25,7:00:00,8/4/2010 14:25,,,31.78521,-121.25760,DC,KW,P,2,PC,100,,,NG,,24,4,6,,,,63,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,observing inside wheel house .wet outside
OO,CalCOFI1008NH,,,8/4/2010 9:17,7:00:00,8/4/2010 16:17,,,31.93853,-120.93720,DC,DC,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,Breakfast rotation. DC on obs.
C,CalCOFI1008NH,,,8/4/2010 9:34,7:00:00,8/4/2010 16:34,,,31.96338,-120.89110,KW,KW,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,kw back and dc off to breakfast
OB,CalCOFI1008NH,,,8/4/2010 9:58,7:00:00,8/4/2010 16:58,,,31.99634,-120.82420,DC,KW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,both observers back on watch
ET,CalCOFI1008NH,,,8/4/2010 11:38,7:00:00,8/4/2010 18:38,,,32.08623,-120.64060,DC,KW,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,array back on board and sona buoy deployed
SB,CalCOFI1008NH,,,8/4/2010 12:20,7:00:00,8/4/2010 19:20,,,32.08644,-120.63835,DC,KW,P,4,LF,100,,,NG,,,4,6,14,KW,1,65,,0.5,,,,,,,3,,,ND,Bm    ,,,,OFF,1,ON,,1,2     ,,,,,,,,,,,off effort-on station                                                           
SB,CalCOFI1008NH,,,8/4/2010 13:20,7:00:00,8/4/2010 20:20,,,32.09802,-120.64955,DC,KW,P,4,LF,100,,,NG,,,4,6,15,KW,1,57,62,1,,,,,,,1,,,0,Bm,,,,OFF,,ON,,,,,,,,,,,,,,"121113 changed incorrect lat/long; 32.1723, -120.007"
ST,CalCOFI1008NH,,,8/4/2010 14:03,7:00:00,8/4/2010 21:03,,,32.12365,-120.62110,DC,KW,P,4,LF,100,,,NG,,16,4,6,,,,63,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,"DLC port, KW strbrd. Array deloyed. Departed st 90/70."
SB,CalCOFI1008NH,,,8/4/2010 14:08,7:00:00,8/4/2010 21:08,,,32.12967,-120.60677,DC,KW,P,4,LF,100,,,NG,,,4,6,16,KW,3,63,63,1,,,,,,,1,,,0,Dsp,,,,ON,,ON,,,,,,,,,,,,,,15% calves                                                                      
SB,CalCOFI1008NH,,,8/4/2010 15:01,7:00:00,8/4/2010 22:01,,,32.18478,-120.47571,DC,KW,P,4,LF,100,,,NG,,,4,6,17,DC,1,64,105,0.7,,,,,,,1,,,0,ULW   ,,,,ON,,ON,,,,,,,,,,,,,,"Split, v-shaped blow. Possibly Mn.                                              "
