Event Code,Cruise,Date         (Local),Time     (Local),Date/Time         (Local),GMT Diff,Date/Time          (GMT),Lat,Long,DecLat,DecLong,Port     Obs,Stbd     Obs,Quality,Visibility,Precipitation,Cloud %,Glare Bearing,Glare Bearing,Glare Quality (SL/M/SE),Wind dir (T),Wind spd (T),Bft,Swell (ft),Sighting No,Init Observer,Cue,Ship Heading Tru,Sighting Bearing Tru,Bino    Reticle,Distance (m),Sighting Method,Envelope Depth,Envelope Depth 2,Envelope Width,Envelope Width 2,Best,Min,Max,Calf,Species       1,Species       2,sp1 percent,sp2 percent,Effort (ON/OFF),Off Effort Code,Transect (ON/OFF),Off Transect Code,Primary Behaviour,Other Behaviour 1,Other Behaviour 2,Photos?,Photographer (Cam 1),Camera             1,First Frame 1,Last Frame 1,Photographer (Cam 2),Camera    2,First Frame 2,Last Frame 2,Comments
SB,CalCOFI0607NH,7/8/2006,10:44,7/8/2006 10:44,7:00:00,7/8/2006 17:44,,,32.95983,-117.29983,DLC,DLC,,,,,,,,,,,,2,DLC,,233,86,,700,,,,,,27,15,35,ND,Dsp,,,,OFF,,OFF,,2,,,,,,,,,,,,
B,CalCOFI0607NH,7/8/2006,10:44,7/8/2006 10:44,7:00:00,7/8/2006 17:44,,,32.95983,-117.29983,ABD,ABD,,,,,,,,,,,,1,ABD,,233,346,,300,,,,,,25,,,ND,Dc,,,,OFF,,OFF,,2,,,,,,,,,,,,"On station 93/26.7, off effort observation.  "
SB,CalCOFI0607NH,7/8/2006,10:44,7/8/2006 10:44,7:00:00,7/8/2006 17:44,,,32.95983,-117.29983,ABD,ABD,,,,,,,,,,,,1,ABD,,233,346,,300,,,,,,25,,,ND,Dc,,,,OFF,,OFF,,2,,,,,,,,,,,,"On station 93/26.7, off effort observation.  "
ST,CalCOFI0607NH,7/8/2006,13:14,7/8/2006 13:14,7:00:00,7/8/2006 20:14,,,32.97767,-117.31917,DLC,AH,E,9,CL,20,,,,,,2,2,,,,329,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,"Eye Heights: (AMS) AMH = 4' 8.75"". DLC = 4' 07"". Departing SCCOOS Station 93/26.4.  Starting on effort obs."
W,CalCOFI0607NH,7/8/2006,13:14,7/8/2006 13:14,7:00:00,7/8/2006 20:14,,,32.97767,-117.31917,DLC,AH,E,9,CL,20,,,,,,2,2,,,,329,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,"Eye Heights: (AMS) AMH = 4' 8.75"". DLC = 4' 07"". Departing SCCOOS Station 93/26.4.  Starting on effort obs."
P,CalCOFI0607NH,7/8/2006,13:52,7/8/2006 13:52,7:00:00,7/8/2006 20:52,,,33.04550,-117.36000,DLC,AH,,,,,,,,,,,,,,,329,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,
W,CalCOFI0607NH,7/8/2006,13:52,7/8/2006 13:52,7:00:00,7/8/2006 20:52,,,33.04550,-117.36000,DLC,AH,E,9,CL,20,,,,,,3,2,,,,329,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,
SB,CalCOFI0607NH,7/8/2006,14:14,7/8/2006 14:14,7:00:00,7/8/2006 21:14,,,33.09750,-117.39333,DLC,AH,,,,,,,,,,,,3,AH,,330,350,1.4,955,,,,,,18,15,20,0,Dsp,,,,ON,,OFF,,1,,,,,,,,,,,,
P,CalCOFI0607NH,7/8/2006,15:00,7/8/2006 15:00,7:00:00,7/8/2006 22:00,,,33.20900,-117.44717,DLC,AH,E,9,CL,10,,,,,,2,2,,,,329,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,
W,CalCOFI0607NH,7/8/2006,15:00,7/8/2006 15:00,7:00:00,7/8/2006 22:00,,,33.20900,-117.44717,DLC,AH,E,9,CL,10,,,,,,2,2,,,,329,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,
