Event Code,Cruise,Date         (Local),Time     (Local),Date/Time         (Local),GMT Diff,Date/Time          (GMT),Lat,Long,DecLat,DecLong,Port     Obs,Stbd     Obs,Quality,Visibility,Precipitation,Cloud %,Glare Bearing,Glare Bearing,Glare Quality (SL/M/SE),Wind dir (T),Wind spd (T),Bft,Swell (ft),Sighting No,Init Observer,Cue,Ship Heading Tru,Sighting Bearing Tru,Bino    Reticle,Distance (m),Sighting Method,Envelope Depth,Envelope Depth 2,Envelope Width,Envelope Width 2,Best,Min,Max,Calf,Species       1,Species       2,sp1 percent,sp2 percent,Effort (ON/OFF),Off Effort Code,Transect (ON/OFF),Off Transect Code,Primary Behaviour,Other Behaviour 1,Other Behaviour 2,Photos?,Photographer (Cam 1),Camera             1,First Frame 1,Last Frame 1,Photographer (Cam 2),Camera    2,First Frame 2,Last Frame 2,Comments
W,CalCOFI0511NH,11/4/2005,13:17,11/4/2005 13:17,8:00:00,11/4/2005 21:17,,,32.94383,-117.33550,DLC,SMC,E,7,CL,15,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,Observing from bridge wings. Departing st. 93/28
B,CalCOFI0511NH,11/4/2005,13:17,11/4/2005 13:17,8:00:00,11/4/2005 21:17,,,32.94383,-117.33550,DLC,SMC,,,,,,,,,,1,1,,,,75,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,Observing from bridge wings. Departing st. 93/28
ST,CalCOFI0511NH,11/4/2005,13:17,11/4/2005 13:17,8:00:00,11/4/2005 21:17,,,32.94383,-117.33550,DLC,SMC,,,,,,,,,,1,1,,,,75,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,Observing from bridge wings. Departing st. 93/28
SB,CalCOFI0511NH,11/4/2005,13:20,11/4/2005 13:20,8:00:00,11/4/2005 21:20,,,32.94433,-117.33100,DLC,SMC,,,,,,,,,,,,1,DLC,,76,353,2,706,,,,,,50,,,ND,Dd,,,,ON,,OFF,,9,,,,,,,,,,,,
C,CalCOFI0511NH,11/4/2005,13:36,11/4/2005 13:36,8:00:00,11/4/2005 21:36,,,32.95267,-117.28183,DLC,SMC,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,SCCOOS station
W,CalCOFI0511NH,11/4/2005,14:44,11/4/2005 14:44,8:00:00,11/4/2005 22:44,,,32.96367,-117.30833,DLC,SMC,E,7,CL,15,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,Departing. Heading: 335
ST,CalCOFI0511NH,11/4/2005,14:44,11/4/2005 14:44,8:00:00,11/4/2005 22:44,,,32.96367,-117.30833,DLC,SMC,,,,,,,,,,2,1,,,,335,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,Departing. Heading: 335
P,CalCOFI0511NH,11/4/2005,15:19,11/4/2005 15:19,8:00:00,11/4/2005 23:19,,,33.04867,-117.35550,DLC,SMC,,,,,,,,,,,,,,,335,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,
SB,CalCOFI0511NH,11/4/2005,15:23,11/4/2005 15:23,8:00:00,11/4/2005 23:23,,,33.06017,-117.36150,DLC,SMC,,,,,,,,,,,,2,SMC,,334,49,11,144,,,,,,1,,,0,UNID_CETAC,,,,ON,,OFF,,,,,,,,,,,,,,unid large whale
W,CalCOFI0511NH,11/4/2005,16:00,11/4/2005 16:00,8:00:00,11/5/2005 0:00,,,33.14700,-117.41050,DLC,SMC,E,7,CL,15,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,
P ,CalCOFI0511NH,11/4/2005,16:00,11/4/2005 16:00,8:00:00,11/5/2005 0:00,,,33.14700,-117.41050,DLC,SMC,,,,,,,,,,2,2,,,,335,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,
C,CalCOFI0511NH,11/4/2005,16:20,11/4/2005 16:20,8:00:00,11/5/2005 0:20,,,33.19667,-117.43983,DLC,SMC,,,,,,,,,,,,,,,317,,,,,,,,,,,,,,,,,ON,,OFF,,,,,,,,,,,,,,Course change
ET,CalCOFI0511NH,11/4/2005,16:40,11/4/2005 16:40,8:00:00,11/5/2005 0:40,,,33.24150,-117.46467,DLC,SMC,,,,,,,,,,,,,,,317,,,,,,,,,,,,,,,,,OFF,,OFF,,,,,,,,,,,,,,Sunset
E ,CalCOFI0511NH,11/4/2005,16:40,11/4/2005 16:40,8:00:00,11/5/2005 0:40,,,33.24150,-117.46467,DLC,SMC,,,,,,,,,,,,,,,317,,,,,,,,,,,,,,,,,OFF,,OFF,,,,,,,,,,,,,,Sunset
B,CalCOFI0511NH,11/5/2005,6:16,11/5/2005 6:16,8:00:00,11/5/2005 14:16,,,32.55700,-118.14200,DLC,SMC,G,6,OV,85,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,Beginning mid transit
W,CalCOFI0511NH,11/5/2005,6:16,11/5/2005 6:16,8:00:00,11/5/2005 14:16,,,32.55700,-118.14200,DLC,SMC,G,6,OV,85,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,Beginning mid transit
ST,CalCOFI0511NH,11/5/2005,6:16,11/5/2005 6:16,8:00:00,11/5/2005 14:16,,,32.55700,-118.14200,DLC,SMC,,,,,,,,,,,,,,,230,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,Beginning mid transit
ET,CalCOFI0511NH,11/5/2005,6:46,11/5/2005 6:46,8:00:00,11/5/2005 14:46,,,32.51400,-118.21100,DLC,SMC,,,,,,,,,,,,,,,230,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,Station 93/40
W,CalCOFI0511NH,11/5/2005,9:05,11/5/2005 9:05,8:00:00,11/5/2005 17:05,,,32.50767,-118.26217,DLC,SMC,E,8,CL,15,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
ST,CalCOFI0511NH,11/5/2005,9:05,11/5/2005 9:05,8:00:00,11/5/2005 17:05,,,32.50767,-118.26217,DLC,SMC,,,,,,,,,,3,3,,,,240,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
P ,CalCOFI0511NH,11/5/2005,9:30,11/5/2005 9:30,8:00:00,11/5/2005 17:30,,,32.47000,-118.33367,DLC,SMC,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
P ,CalCOFI0511NH,11/5/2005,10:00,11/5/2005 10:00,8:00:00,11/5/2005 18:00,,,32.42350,-118.41517,DLC,SMC,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
P ,CalCOFI0511NH,11/5/2005,10:30,11/5/2005 10:30,8:00:00,11/5/2005 18:30,,,32.37767,-118.49567,DLC,SMC,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
ET,CalCOFI0511NH,11/5/2005,11:36,11/5/2005 11:36,8:00:00,11/5/2005 19:36,,,32.37033,-118.50933,DLC,SMC,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,Pulling array. Station 93/45
W,CalCOFI0511NH,11/5/2005,13:18,11/5/2005 13:18,8:00:00,11/5/2005 21:18,,,32.33133,-118.57333,DLC,SMC,F,8,CL,15,,,,,,4,8,,,,,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,Glare on left
ST,CalCOFI0511NH,11/5/2005,13:18,11/5/2005 13:18,8:00:00,11/5/2005 21:18,,,32.33133,-118.57333,DLC,SMC,,,,,,,,,,4,8,,,,240,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,Glare on left
SB,CalCOFI0511NH,11/5/2005,13:44,11/5/2005 13:44,8:00:00,11/5/2005 21:44,,,32.30017,-118.63067,DLC,SMC,,,,,,,,,,,,3,UNK,,241,311,2,706,,,,,,1,,,0,UNID_CETAC,,,,OFF,,ON,,,,,,,,,,,,,,"Blow first observed by bird observer. Animal probably Pm unid large whale * changed May 2  2008 to on effort observation, rec made observation, confirmed by obs--ABD**"
W,CalCOFI0511NH,11/5/2005,14:24,11/5/2005 14:24,8:00:00,11/5/2005 22:24,,,32.24367,-118.74067,DLC,SMC,P,8,CL,40,,,,,,5,8,,,,,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
P ,CalCOFI0511NH,11/5/2005,14:24,11/5/2005 14:24,8:00:00,11/5/2005 22:24,,,32.24367,-118.74067,DLC,SMC,,,,,,,,,,5,8,,,,240,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
ET,CalCOFI0511NH,11/5/2005,15:05,11/5/2005 15:05,8:00:00,11/5/2005 23:05,,,32.20200,-118.83600,DLC,SMC,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,Observation conditions poor. On station 93/50
E,CalCOFI0511NH,11/5/2005,15:05,11/5/2005 15:05,8:00:00,11/5/2005 23:05,,,32.20200,-118.83600,DLC,SMC,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,End of day
B,CalCOFI0511NH,11/6/2005,7:15,11/6/2005 7:15,8:00:00,11/6/2005 15:15,,,31.58150,-120.09567,DLC,SMC,F,7,OV,80,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,Starting mid transect
W,CalCOFI0511NH,11/6/2005,7:15,11/6/2005 7:15,8:00:00,11/6/2005 15:15,,,31.58150,-120.09567,DLC,SMC,F,7,OV,80,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,Starting mid transect
ST,CalCOFI0511NH,11/6/2005,7:15,11/6/2005 7:15,8:00:00,11/6/2005 15:15,,,31.58150,-120.09567,DLC,SMC,,,,,,,,,,5,3,,,,240,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,Starting mid transect
ET,CalCOFI0511NH,11/6/2005,8:02,11/6/2005 8:02,8:00:00,11/6/2005 16:02,,,31.50733,-120.21783,DLC,SMC,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,Station 93/70
ST,CalCOFI0511NH,11/6/2005,10:42,11/6/2005 10:42,8:00:00,11/6/2005 18:42,,,31.50183,-120.27967,DLC,SMC,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
P ,CalCOFI0511NH,11/6/2005,11:00,11/6/2005 11:00,8:00:00,11/6/2005 19:00,,,31.47317,-120.33233,DLC,SMC,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
P ,CalCOFI0511NH,11/6/2005,11:33,11/6/2005 11:33,8:00:00,11/6/2005 19:33,,,31.42333,-120.42467,DLC,SMC,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
P ,CalCOFI0511NH,11/6/2005,12:00,11/6/2005 12:00,8:00:00,11/6/2005 20:00,,,31.38383,-120.49917,DLC,SMC,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0511NH,11/6/2005,12:33,11/6/2005 12:33,8:00:00,11/6/2005 20:33,,,31.33683,-120.58917,DLC,SMC,F,7,OV,100,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
P ,CalCOFI0511NH,11/6/2005,12:33,11/6/2005 12:33,8:00:00,11/6/2005 20:33,,,31.33683,-120.58917,DLC,SMC,,,,,,,,,,5,3,,,,240,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
P ,CalCOFI0511NH,11/6/2005,13:00,11/6/2005 13:00,8:00:00,11/6/2005 21:00,,,31.29983,-120.65967,DLC,SMC,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
W,CalCOFI0511NH,11/6/2005,13:36,11/6/2005 13:36,8:00:00,11/6/2005 21:36,,,31.25317,-120.76333,DLC,SMC,F,7,OV,80,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,
