SB,CalCOFI1304SH,4/6/2013,15:44,41370.66,7:00:00,41370.95,,,32.69867,-117.23150,KW,AD,G,6,CL,5,236,270,M,186,7,2,2,1,AD,1,185,170,,300,,,,,,5,4,6,0,Tt,,,,on,,off,7,,,,,,,,,,,,,"begin cruie, leave port San Diego, going to SCCOOSE station 93/26.4.  Off transect line."
SE,CalCOFI1304SH,4/6/2013,15:44,41370.66,7:00:00,41370.95,,,32.69867,-117.23150,KW,AD,G,6,CL,5,236,270,M,186,7,2,2,1,AD,1,185,170,,300,,,,,,5,4,6,0,Tt,,,,on,,off,7,,,,,,,,,,,,,"begin cruie, leave port San Diego, going to SCCOOSE station 93/26.4.  Off transect line."
SB,CalCOFI1304SH,4/6/2013,16:51,41370.70,7:00:00,41370.99,,,32.69500,-117.31067,KW,AD,F,6,OV,80,240,280,M,348,14,3,5,2,AD,1,0,340,2.6,,,,,,,80,70,110,0,Dd,,,,on,,off,7,2,8,5,Y,KW,40D,25,114,AD,60D,9,25," leave port San Diego, going to SCCOOSE station 93/26.4.  Off transect line"
SE,CalCOFI1304SH,4/6/2013,16:51,41370.70,7:00:00,41370.99,,,32.69500,-117.31067,KW,AD,F,6,OV,80,240,280,M,348,14,3,5,2,AD,1,0,340,2.6,,,,,,,80,70,110,0,Dd,,,,on,,off,7,2,5,5,Y,KW,40D,25,114,AD,60D,9,25,
SB,CalCOFI1304SH,4/6/2013,17:18,41370.72,7:00:00,41371.01,,,32.77433,-117.33400,KW,AD,F,6,PC,40,240,280,S,318,13,3,5,3,KW,1,0,7,,280,,,,,,18,11,21,0,Dsp,,,,on,,off,7,2,4,,,,,,,,,,," leave port San Diego, going to SCCOOSE station 93/26.4.  Off transect line"
SE,CalCOFI1304SH,4/6/2013,17:18,41370.72,7:00:00,41371.01,,,32.77433,-117.33400,KW,AD,F,6,PC,40,240,280,S,318,13,3,5,3,KW,1,0,7,,280,,,,,,18,11,21,0,Dsp,,,,on,,off,7,2,4,,,,,,,,,,,
SB,CalCOFI1304SH,4/6/2013,17:24,41370.73,7:00:00,41371.02,,,32.79000,-117.33967,KW,AD,F,6,PC,35,240,280,S,318,13,3,5,4,KW,1,0,340,1,,,,,,,78,68,95,nd,Dsp,,,,on,,off,7,2,4,,,,,,,,,,," leave port San Diego, going to SCCOOSE station 93/26.4.  Off transect line"
SE,CalCOFI1304SH,4/6/2013,17:24,41370.73,7:00:00,41371.02,,,32.79000,-117.33967,KW,AD,F,6,PC,35,240,280,S,318,13,3,5,4,KW,1,0,340,1,,,,,,,78,68,95,nd,Dsp,,,,on,,off,7,2,4,,,,,,,,,,,
SB,CalCOFI1304SH,4/6/2013,17:32,41370.73,7:00:00,41371.02,,,32.81300,-117.33867,KW,AD,F,6,PC,30,240,280,S,318,13,3,5,5,AD,1,0,20,5,,,,,,,230,181,300,4,Dd,,,,on,,off,7,2,4,5,,,,,,,,,," leave port San Diego, going to SCCOOSE station 93/26.4.  Off transect line"
SE,CalCOFI1304SH,4/6/2013,17:32,41370.73,7:00:00,41371.02,,,32.81300,-117.33867,KW,AD,F,6,PC,30,240,280,S,318,13,3,5,5,AD,1,0,20,5,,,,,,,230,181,300,4,Dd,,,,on,,off,7,2,4,5,,,,,,,,,,
SB,CalCOFI1304SH,4/6/2013,18:10,41370.76,7:00:00,41371.05,,,32.92833,-117.31983,KW,AD,F,6,PC,17,250,296,SE,320,10,3,4,6,KW,3,120,324,1.7,,,,,,,18,12,25,nd,UD,,,,on,,off,7,1,8,,,,,,,,,,," leave port San Diego, going to SCCOOSE station 93/26.4.  Off transect line"
SE,CalCOFI1304SH,4/6/2013,18:10,41370.76,7:00:00,41371.05,,,32.92833,-117.31983,KW,AD,F,6,PC,17,250,296,SE,320,10,3,4,6,KW,3,120,324,1.7,,,,,,,18,12,25,nd,UD,,,,on,,off,7,1,8,,,,,,,,,,,
SB,CalCOFI1304SH,4/7/2013,11:33,41371.48,7:00:00,41371.77,,,32.34750,-118.55233,KW,KW,P,6,HZ,10,0,0,,300,19,5,7,7,KW,2,238,280,3,,,,,,,2,2,2,1,ULW,,,,off,6,on,,1,,,,,,,,,,,,"giant red-colored scat. Large most-likely blue, humpback, or fin whale. 2 buoys deployed. On station 93/45."
SE,CalCOFI1304SH,4/7/2013,11:33,41371.48,7:00:00,41371.77,,,32.34750,-118.55233,KW,KW,P,6,HZ,10,0,0,,300,19,5,7,7,KW,2,238,280,3,,,,,,,2,2,2,1,ULW,,,,off,6,on,,1,,,,,,,,,,,,"giant red-colored scat. Large most-likely blue, humpback, or fin whale. 2 buoys deployed. On station 93/45."
