SB,CalCOFI1203SH,3/25/2012,7:23,3/25/2012 7:23,8:00:00,3/25/2012 15:23,,,32.71350,-117.85350,KW,MB,F,7,PC,68,0,0,0,120,15,4,3,1,MB,2,90,48,1.8,,,,,,,3,3,4,nd,Er,,,,off,1,on,,1,,,n,,,,,,,,,Still on station 93-35.  Two buoys deployed.
SE,CalCOFI1203SH,3/25/2012,7:23,3/25/2012 7:23,8:00:00,3/25/2012 15:23,,,32.71350,-117.85350,KW,MB,F,7,PC,68,0,0,0,120,15,4,3,1,MB,2,90,48,1.8,,,,,,,3,3,4,nd,Er,,,,off,1,on,,1,,,n,,,,,,,,,Still on station 93-35.  Two buoys deployed.
SB,CalCOFI1203SH,3/25/2012,8:40,3/25/2012 8:40,8:00:00,3/25/2012 16:40,,,32.62067,-117.99100,KW,MB,P,7,OV,80,0,0,0,115,16,5,4,2,KW,1,239,224,3.8,,,,,,,5,4,6,nd,Pd,,,,on,,on,,2,5,,n,,,,,,,,,near the bow very briefly
SE,CalCOFI1203SH,3/25/2012,8:40,3/25/2012 8:40,8:00:00,3/25/2012 16:40,,,32.62067,-117.99100,KW,MB,P,7,OV,80,0,0,0,115,16,5,4,2,KW,1,239,224,3.8,,,,,,,5,4,6,nd,Pd,,,,on,,on,,2,5,,n,,,,,,,,,near the bow very briefly
SB,CalCOFI1203SH,3/25/2012,13:51,3/25/2012 13:51,8:00:00,3/25/2012 21:51,,,32.39700,-118.44967,MB,MB,UX,3,LR,98,0,0,0,249,31,7,8,3,MB,1,240,230,,200,,,,,,12,8,16,nd,Dsp,,,,off,2A,on,,2,,,n,,,,,,,,,Common dolphins raced past bow but did not ride.
SE,CalCOFI1203SH,3/25/2012,13:51,3/25/2012 13:51,8:00:00,3/25/2012 21:51,,,32.39700,-118.44967,MB,MB,UX,3,LR,98,0,0,0,249,31,7,8,3,MB,1,240,230,,200,,,,,,12,8,16,nd,Dsp,,,,off,2A,on,,2,,,n,,,,,,,,,Common dolphins raced past bow but did not ride.
SH,CalCOFI1203SH,3/25/2012,17:07,3/25/2012 17:07,8:00:00,3/26/2012 1:07,,,32.29960,-118.62520,KW,KW,UX,6,PC,60,0,0,0,228,21,6,8,SH2,KW,,245,230,,5149.9,,,,,,,,,,,,,,off,2A,on,,,,,,,,,,,,,,MSE Bilboa Cargo ship large
SH,CalCOFI1203SH,3/25/2012,17:07,3/25/2012 17:07,8:00:00,3/26/2012 1:07,,,32.29960,-118.62520,KW,KW,UX,6,PC,60,0,0,0,228,21,6,8,SH1,KW,,245,287,,8046.72,,,,,,,,,,,,,,off,2A,on,,,,,,,,,,,,,,large cargo ship
SH,CalCOFI1203SH,3/25/2012,17:07,3/25/2012 17:07,8:00:00,3/26/2012 1:07,,,32.29960,-118.62520,KW,KW,UX,6,PC,60,0,0,0,228,21,6,8,SH3,KW,,245,321,,8207.6544,,,,,,,,,,,,,,off,2A,on,,,,,,,,,,,,,,SPT Vigilance Cargo ship
SB,CalCOFI1203SH,3/25/2012,17:59,3/25/2012 17:59,8:00:00,3/26/2012 1:59,,,32.23030,-118.79100,KW,KW,UX,5,LR,100,0,0,0,230,22,6,8,4,KW,1,241,272,,1609.344,,,,,,1,1,1,0,Mn,,,,off,2A,on,,8,,,,,,,,,,,,humpback whale breaching and lob tailing
SE,CalCOFI1203SH,3/25/2012,17:59,3/25/2012 17:59,8:00:00,3/26/2012 1:59,,,32.23030,-118.79100,KW,KW,UX,5,LR,100,0,0,0,230,22,6,8,4,KW,1,241,272,,1609.344,,,,,,1,1,1,0,Mn,,,,off,2A,on,,8,,,,,,,,,,,,humpback whale breaching and lob tailing
SB,CalCOFI1203SH,3/26/2012,7:00,3/26/2012 7:00,8:00:00,3/26/2012 15:00,,,31.62500,-120.04167,KW,MB,P,7,PC,37,0,0,0,270,17,5,8,5,MB,2,239,250,,450,,,,,,1,1,1,0,Mn,,,,off,2A,on,,1,33,,no,,,,,,,,,whale was ahead of us and dove as we approached
SE,CalCOFI1203SH,3/26/2012,7:00,3/26/2012 7:00,8:00:00,3/26/2012 15:00,,,31.62500,-120.04167,KW,MB,P,7,PC,37,0,0,0,270,17,5,8,5,MB,2,239,250,,450,,,,,,1,1,1,0,Mn,,,,off,2A,on,,1,33,,no,,,,,,,,,whale was ahead of us and dove as we approached
SB,CalCOFI1203SH,3/26/2012,11:35,3/26/2012 11:35,8:00:00,3/26/2012 19:35,,,31.41767,-120.53933,KW,MB,G,7,CL,15,145,190,SL,285,12,3,8,6,MB,1,240,180,,500,,,,,,13,9,17,nd,Dsp,,,,on,,on,,2,5,,yes,KW,,1,10,MB,,9626,9635,
SE,CalCOFI1203SH,3/26/2012,11:35,3/26/2012 11:35,8:00:00,3/26/2012 19:35,,,31.41767,-120.53933,KW,MB,G,7,CL,15,145,190,SL,285,12,3,8,6,MB,1,240,180,,500,,,,,,13,9,17,nd,Dsp,,,,on,,on,,2,5,,yes,KW,,1,10,MB,,9626,9635,
SB,CalCOFI1203SH,3/26/2012,11:59,3/26/2012 11:59,8:00:00,3/26/2012 19:59,,,31.37817,-120.63083,KW,MB,G,7,CL,12,0,0,0,50,5,2,7,7,MB,1,239,155,2,,,,,,,12,10,15,nd,Dsp,,,,on,,on,,2,8,,yes,KW,,11,31,,,,,
SE,CalCOFI1203SH,3/26/2012,11:59,3/26/2012 11:59,8:00:00,3/26/2012 19:59,,,31.37817,-120.63083,KW,MB,G,7,CL,12,0,0,0,50,5,2,7,7,MB,1,239,155,2,,,,,,,12,10,15,nd,Dsp,,,,on,,on,,2,8,,yes,KW,,11,31,,,,,
SB,CalCOFI1203SH,3/26/2012,12:42,3/26/2012 12:42,8:00:00,3/26/2012 20:42,,,31.29167,-120.75800,KW,MB,G,7,CL,14,0,0,0,50,5,2,7,8,KW,1,240,195,2.5,,,,,,,14,9,17,nd,Dsp,,,,on,,on,,2,8,,,,,,,,,,,"ran toward us for a very short period, then slowed"
SE,CalCOFI1203SH,3/26/2012,12:42,3/26/2012 12:42,8:00:00,3/26/2012 20:42,,,31.29167,-120.75800,KW,MB,G,7,CL,14,0,0,0,50,5,2,7,8,KW,1,240,195,2.5,,,,,,,14,9,17,nd,Dsp,,,,on,,on,,2,8,,,,,,,,,,,"ran toward us for a very short period, then slowed"
SB,CalCOFI1203SH,3/26/2012,12:55,3/26/2012 12:55,8:00:00,3/26/2012 20:55,,,31.28317,-120.79400,KW,MB,G,7,PC,68,0,0,0,50,5,2,7,9,UNK,3,240,237,,200,,,,,,42,36,63,5,Dsp,,,,off,3,on,,2,8,5,yes,KW,,32,38,MB,,9636,9642,crewman unknowingly pointed and yelled out as a dolphin leapt.
SE,CalCOFI1203SH,3/26/2012,12:55,3/26/2012 12:55,8:00:00,3/26/2012 20:55,,,31.28317,-120.79400,KW,MB,G,7,PC,68,0,0,0,50,5,2,7,9,UNK,3,240,237,,200,,,,,,42,36,63,5,Dsp,,,,off,3,on,,2,8,5,yes,KW,,32,38,MB,,9636,9642,crewman unknowingly pointed and yelled out as a dolphin leapt.
