SB,CalCOFI1402SH,1/29/2014,9:20,1/29/2014 9:20,8:00:00,1/29/2014 17:20,,,32.87383,-117.42667,KW,AD,F,3,LF,40,140,165,M,280,4,2,3,1,KW,3,254,210,,2500,,,,,,31,22,40,ND,Dsp,,,,on,,on,,1,8,,,,,,,,,,,
SE,CalCOFI1402SH,1/29/2014,9:20,1/29/2014 9:20,8:00:00,1/29/2014 17:20,,,32.87383,-117.42667,KW,AD,F,3,LF,40,140,165,M,280,4,2,3,1,KW,3,254,210,,2500,,,,,,31,22,40,ND,Dsp,,,,on,,on,,1,8,,,,,,,,,,,
SB,CalCOFI1402SH,1/29/2014,16:32,1/29/2014 16:32,8:00:00,1/30/2014 0:32,,,32.64283,-117.95267,KW,AD,G,6,HZ,10,210,265,SE,300,8,2,5,2,AD,3,240,286,0.9,,,,,,,24,14,40,ND,UD,,,,on,,on,,2,1,,,,,,,,,,,
SE,CalCOFI1402SH,1/29/2014,16:32,1/29/2014 16:32,8:00:00,1/30/2014 0:32,,,32.64283,-117.95267,KW,AD,G,6,HZ,10,210,265,SE,300,8,2,5,2,AD,3,240,286,0.9,,,,,,,24,14,40,ND,UD,,,,on,,on,,2,1,,,,,,,,,,,
SB,CalCOFI1402SH,1/29/2014,16:47,1/29/2014 16:47,8:00:00,1/30/2014 0:47,,,32.62267,-117.99450,KW,AD,G,6,HZ,10,210,265,SE,300,8,2,5,3,KW,2,240,140,1,,,,,,,1,1,1,0,ULW,,,,on,,on,,1,,,,,,,,,,,,Most like fin blow.
SE,CalCOFI1402SH,1/29/2014,16:47,1/29/2014 16:47,8:00:00,1/30/2014 0:47,,,32.62267,-117.99450,KW,AD,G,6,HZ,10,210,265,SE,300,8,2,5,3,KW,2,240,140,1,,,,,,,1,1,1,0,ULW,,,,on,,on,,1,,,,,,,,,,,,Most like fin blow.
SB,CalCOFI1402SH,1/29/2014,16:47,1/29/2014 16:47,8:00:00,1/30/2014 0:47,,,32.62267,-117.99450,KW,AD,G,6,HZ,10,210,265,SE,300,8,2,5,4,AD,3,240,279,1.1,,,,,,,23,12,35,ND,Dd,,,,on,,on,,2,8,5,Y,AD,50D,2708,2728,,,,,
SE,CalCOFI1402SH,1/29/2014,16:47,1/29/2014 16:47,8:00:00,1/30/2014 0:47,,,32.62267,-117.99450,KW,AD,G,6,HZ,10,210,265,SE,300,8,2,5,4,AD,3,240,279,1.1,,,,,,,23,12,35,ND,Dd,,,,on,,on,,2,8,5,Y,AD,50D,2708,2728,,,,,
SH,CalCOFI1402SH,1/29/2014,17:08,1/29/2014 17:08,8:00:00,1/30/2014 1:08,,,32.59717,-118.04900,KW,AD,G,6,HZ,15,230,275,SE,300,8,2,3,SH1,,,240,280,0.1,,,,,,,,,,,,,,,on,,on,,,,,,,,,,,,,,4 large military ships.  3 together at a bearing of 270.
SB,CalCOFI1402SH,1/29/2014,17:13,1/29/2014 17:13,8:00:00,1/30/2014 1:13,,,32.58833,-118.06717,KW,AD,G,6,HZ,15,250,260,M,300,8,2,3,5,KW,1,238,190,5,,,,,,,20,14,25,ND,Dsp,,,,on,,on,,1,,,,,,,,,,,,
SE,CalCOFI1402SH,1/29/2014,17:13,1/29/2014 17:13,8:00:00,1/30/2014 1:13,,,32.58833,-118.06717,KW,AD,G,6,HZ,15,250,260,M,300,8,2,3,5,KW,1,238,190,5,,,,,,,20,14,25,ND,Dsp,,,,on,,on,,1,,,,,,,,,,,,
SB,CalCOFI1402SH,1/30/2014,9:32,1/30/2014 9:32,8:00:00,1/30/2014 17:32,,,31.89950,-119.45867,KW,AD,P,2,HF,100,0,0,0,315,14,4,5,6,AD,3,240,260,,20,,,,,,4,4,6,0,Dd,,,,on,,on,,2,5,,N,,,,,,,,,
SE,CalCOFI1402SH,1/30/2014,9:32,1/30/2014 9:32,8:00:00,1/30/2014 17:32,,,31.89950,-119.45867,KW,AD,P,2,HF,100,0,0,0,315,14,4,5,6,AD,3,240,260,,20,,,,,,4,4,6,0,Dd,,,,on,,on,,2,5,,N,,,,,,,,,
SB,CalCOFI1402SH,1/30/2014,14:21,1/30/2014 14:21,8:00:00,1/30/2014 22:21,,,31.67683,-119.94267,KW,AD,F,5,LF,80,180,210,SL,315,12,4,4,7,KW,3,238,235,,10,,,,,,4,3,4,0,Dd,,,,on,,on,,1,5,,,,,,,,,,,
SE,CalCOFI1402SH,1/30/2014,14:21,1/30/2014 14:21,8:00:00,1/30/2014 22:21,,,31.67683,-119.94267,KW,AD,F,5,LF,80,180,210,SL,315,12,4,4,7,KW,3,238,235,,10,,,,,,4,3,4,0,Dd,,,,on,,on,,1,5,,,,,,,,,,,
SB,CalCOFI1402SH,1/30/2014,14:31,1/30/2014 14:31,8:00:00,1/30/2014 22:31,,,31.66200,-119.96850,KW,AD,F,5,LF,70,180,220,SL,315,12,4,4,8,KW,3,240,210,5,,,,,,,35,27,48,1,Dd,,,,on,,on,,1,2,5,,,,,,,,,,
SE,CalCOFI1402SH,1/30/2014,14:31,1/30/2014 14:31,8:00:00,1/30/2014 22:31,,,31.66200,-119.96850,KW,AD,F,5,LF,70,180,220,SL,315,12,4,4,8,KW,3,240,210,5,,,,,,,35,27,48,1,Dd,,,,on,,on,,1,2,5,,,,,,,,,,
SB,CalCOFI1402SH,1/31/2014,7:12,1/31/2014 7:12,8:00:00,1/31/2014 15:12,,,30.79533,-121.72800,KW,AD,G,6,OV,90,0,0,0,340,9,3,4,9,KW,2,240,190,7,,,7,14,,,79,62,90,ND,Dd,,,,on,,on,,2,8,5,,,,,,,,,,Begin day.  Array deployed.  Leaving station 93/90.  Going to station 93/100.  
SE,CalCOFI1402SH,1/31/2014,7:12,1/31/2014 7:12,8:00:00,1/31/2014 15:12,,,30.79533,-121.72800,KW,AD,G,6,OV,90,0,0,0,340,9,3,4,9,KW,2,240,190,7,,,7,14,,,79,62,90,ND,Dd,,,,on,,on,,2,8,5,,,,,,,,,,Begin day.  Array deployed.  Leaving station 93/90.  Going to station 93/100.  
SB,CalCOFI1402SH,1/31/2014,9:55,1/31/2014 9:55,8:00:00,1/31/2014 17:55,,,30.55100,-122.18317,KW,AD,G,7,OV,76,0,0,0,350,12,4,4,10,AD,1,240,291,4,,,4,14,,,90,78,120,7,Dd,,,,on,,on,,2,1,"8, 5",Y,AD,50D,2729,2770,,,,,
SE,CalCOFI1402SH,1/31/2014,10:07,1/31/2014 10:07,8:00:00,1/31/2014 18:07,,,30.53367,-122.21617,KW,AD,G,7,OV,76,0,0,0,350,12,4,4,10,AD,1,240,291,4,,,4,14,,,90,78,120,7,Dd,,,,on,,on,,2,1,"8, 5",Y,AD,50D,2729,2770,,,,,
SB,CalCOFI1402SH,1/31/2014,13:47,1/31/2014 13:47,8:00:00,1/31/2014 21:47,,,30.40250,-122.50100,KW,AD,F,7,OV,76,190,230,M,25,7,2,4,11,KW,3,240,200,1.3,,,1.5,12,,,65,52,90,ND,Dd,,,,on,,on,,1,2,"8, 5",Y,KW,40D,2,7,,,,,
SE,CalCOFI1402SH,1/31/2014,13:47,1/31/2014 13:47,8:00:00,1/31/2014 21:47,,,30.40250,-122.50100,KW,AD,F,7,OV,76,190,230,M,25,7,2,4,11,KW,3,240,200,1.3,,,1.5,12,,,65,52,90,ND,Dd,,,,on,,on,,1,2,"8, 5",Y,KW,40D,2,7,,,,,
SB,CalCOFI1402SH,1/31/2014,14:35,1/31/2014 14:35,8:00:00,1/31/2014 22:35,,,30.33550,-122.62967,KW,AD,F,7,OV,79,200,250,M,360,7,2,4,12,KW,3,240,210,,40,,,,,,35,28,47,ND,Dd,,,,on,,on,,1,2,"8, 5",Y,AD,50D,2771,2777,,,,,
SE,CalCOFI1402SH,1/31/2014,14:35,1/31/2014 14:35,8:00:00,1/31/2014 22:35,,,30.33550,-122.62967,KW,AD,F,7,OV,79,200,250,M,360,7,2,4,12,KW,3,240,210,,40,,,,,,35,28,47,ND,Dd,,,,on,,on,,1,2,"8, 5",Y,AD,50D,2771,2777,,,,,
SB,CalCOFI1402SH,1/31/2014,14:52,1/31/2014 14:52,8:00:00,1/31/2014 22:52,,,30.31133,-122.67333,KW,AD,F,7,PC,57,200,250,SE,360,7,2,4,13,AD,3,239,253,5,,,,,,,22,16,31,1,Dd,,,,on,,on,,1,2,"8, 5",Y,AD,50D,2778,2792,,,,,Poor light.  Aluminum shine on water.
SE,CalCOFI1402SH,1/31/2014,14:52,1/31/2014 14:52,8:00:00,1/31/2014 22:52,,,30.31133,-122.67333,KW,AD,F,7,PC,57,200,250,SE,360,7,2,4,13,AD,3,239,253,5,,,,,,,22,16,31,1,Dd,,,,on,,on,,1,2,"8, 5",Y,AD,50D,2778,2792,,,,,Poor light.  Aluminum shine on water.
SB,CalCOFI1402SH,1/31/2014,15:03,1/31/2014 15:03,8:00:00,1/31/2014 23:03,,,30.29333,-122.70483,KW,AD,F,7,PC,40,200,250,SE,360,7,2,4,14,AD,3,240,250,,350,,,,,,6,4,8,0,Dd,,,,on,,on,,1,2,"8, 5",,,,,,,,,,
SE,CalCOFI1402SH,1/31/2014,15:03,1/31/2014 15:03,8:00:00,1/31/2014 23:03,,,30.29333,-122.70483,KW,AD,F,7,PC,40,200,250,SE,360,7,2,4,14,AD,3,240,250,,350,,,,,,6,4,8,0,Dd,,,,on,,on,,1,2,"8, 5",,,,,,,,,,
SB,CalCOFI1402SH,1/31/2014,15:11,1/31/2014 15:11,8:00:00,1/31/2014 23:11,,,30.28383,-122.72067,KW,AD,F,7,PC,40,200,255,SE,360,7,2,4,15,KW,1,240,205,8,,,,,,,27,18,35,0,Dd,,,,on,,on,,1,2,"8, 5",Y,KW,40D,8,44,AD,50D,2793,2803,
SE,CalCOFI1402SH,1/31/2014,15:11,1/31/2014 15:11,8:00:00,1/31/2014 23:11,,,30.28383,-122.72067,KW,AD,F,7,PC,40,200,255,SE,360,7,2,4,15,KW,1,240,205,8,,,,,,,27,18,35,0,Dd,,,,on,,on,,1,2,"8, 5",Y,KW,40D,8,44,AD,50D,2793,2803,
SB,CalCOFI1402SH,1/31/2014,15:23,1/31/2014 15:23,8:00:00,1/31/2014 23:23,,,30.26467,-122.75333,KW,AD,F,7,PC,40,200,260,SE,350,11,3,4,16,KW,3,240,260,,260,,4,14,,,57,43,70,ND,Dd,,,,on,,on,,2,5,8,,,,,,,,,,
SE,CalCOFI1402SH,1/31/2014,15:23,1/31/2014 15:23,8:00:00,1/31/2014 23:23,,,30.26467,-122.75333,KW,AD,F,7,PC,40,200,260,SE,350,11,3,4,16,KW,3,240,260,,260,,4,14,,,57,43,70,ND,Dd,,,,on,,on,,2,5,8,,,,,,,,,,
SB,CalCOFI1402SH,1/31/2014,15:53,1/31/2014 15:53,8:00:00,1/31/2014 23:53,,,30.22683,-122.83017,KW,AD,F,7,PC,65,180,260,SE,340,11,3,4,17,AD,3,240,245,,10,,5,14,170,310,115,92,128,10,Dd,,,,on,,on,,5,2,8,Y,KW,40D,47,99,,,,,
SE,CalCOFI1402SH,1/31/2014,16:08,1/31/2014 16:08,8:00:00,2/1/2014 0:08,,,30.20650,-122.87117,KW,AD,F,7,PC,65,140,260,SE,240,11,3,4,17,AD,3,240,245,,10,,5,14,170,310,115,92,128,10,Dd,,,,on,,on,,5,2,8,Y,KW,40D,47,99,,,,,Frame 66 is dark-phased Dd.
SB,CalCOFI1402SH,2/1/2014,8:16,2/1/2014 8:16,8:00:00,2/1/2014 16:16,,,30.51917,-123.82383,KW,AD,P,6,HZ,10,110,145,SE,360,20,5,6,18,AD,2,62,75,0.7,,,,,,,1,1,1,0,ULW,,,,on,,on,,1,,,,,,,,,,,,
SE,CalCOFI1402SH,2/1/2014,8:16,2/1/2014 8:16,8:00:00,2/1/2014 16:16,,,30.51917,-123.82383,KW,AD,P,6,HZ,10,110,145,SE,360,20,5,6,18,AD,2,62,75,0.7,,,,,,,1,1,1,0,ULW,,,,on,,on,,1,,,,,,,,,,,,
