SB,CalCOFI0707NH,6/28/07,9:18,6/28/2007 9:18,7:00:00,6/28/2007 16:18,,,32.88233,-117.30933,AH,SY,,,,,,,,,,,,1,UNK,,8,238,,300,,,,,,7,5,10,ND,Gg,,,,OFF,,OFF,,1,,,,,,,,,,,,
SB,CalCOFI0707NH,6/28/07,12:37,6/28/2007 12:37,7:00:00,6/28/2007 19:37,,,32.96783,-117.29117,AH,SY,E,10,CL,10,,,,,,2,2,2,AH,,333,281,0.8,1485,,,,,,25,15,40,ND,Dsp,,,,ON,,ON,,1,,,,,,,,,,,,"**changed May 1 2008 to ""ON EFFORT"" effort --ABD"
SB,CalCOFI0707NH,6/28/07,12:44,6/28/2007 12:44,7:00:00,6/28/2007 19:44,,,32.98383,-117.30050,AH,SY,,,,,,,,,,,,3,AH,,333,273,1,1253,,,,,,10,5,12,ND,Lo,,,,ON,,ON,,1,4?,,,,,,,,,,,"ASSOCIATED WITH BIRDS **changed May 1 2008 to ""ON EFFORT"" effort --ABD"
SB,CalCOFI0707NH,6/28/07,13:01,6/28/2007 13:01,7:00:00,6/28/2007 20:01,,,33.02317,-117.32450,AH,SY,,,,,,,,,,,,4,AH,,333,290,0.9,1359,,,,,,1,,,0,Bm,,,,ON,,ON,,1,,,,SEY,A,1,2,,,,,"**changed May 1 2008 to ""ON EFFORT"" effort --ABD"
SB,CalCOFI0707NH,6/28/07,13:27,6/28/2007 13:27,7:00:00,6/28/2007 20:27,,,33.08533,-117.36250,AH,SY,E,10,CL,10,,,,,,2,2,5,AH,,333,311,1.1,1162,,,,,,1,,,0,Bm,,,,ON,,ON,,1,,,,,,,,,,,,"**changed May 1 2008 to ""ON EFFORT"" effort --ABD"
SB,CalCOFI0707NH,6/28/07,13:45,6/28/2007 13:45,7:00:00,6/28/2007 20:45,,,33.12583,-117.38767,AH,SY,,,,,,,,,,,,6,AH,,333,259,0.6,1827,,,,,,1,,,0,Bm,,,,ON,,ON,,1,,,,,,,,,,,,"**changed May 1 2008 to ""ON EFFORT"" effort --ABD"
SB,CalCOFI0707NH,6/28/07,13:48,6/28/2007 13:48,7:00:00,6/28/2007 20:48,,,33.13250,-117.39200,AH,SY,,,,,,,,,,,,7,AH,,333,291,3.3,451,,,,,,1,,,0,Bm,,,,ON,,ON,,1,,,,SEY,A,19,33,,,,,"**changed May 1 2008 to ""ON EFFORT"" effort --ABD"
SB,CalCOFI0707NH,6/28/07,15:35,6/28/2007 15:35,7:00:00,6/28/2007 22:35,,,33.18067,-117.44850,AH,SY,,,,,,,,,,,,8,SY,,174,244,0.6,1827,,,,,,1,,,0,Bm,,,,ON,,ON,,1,,,,,,,,,,,,"**changed May 1 2008 to ""ON EFFORT"" effort --ABD"
SB,CalCOFI0707NH,6/28/07,16:13,6/28/2007 16:13,7:00:00,6/28/2007 23:13,,,33.07267,-117.42950,AH,SY,,,,,,,,,,,,9,SY,,173,188,0.4,2385,,,,,,300,70,550,ND,UD,,,,ON,,ON,,1,,,,,,,,,,,,"**changed May 1 2008 to ""ON EFFORT"" effort --ABD"
SP,CalCOFI0707NH,6/28/07,16:22,6/28/2007 16:22,7:00:00,6/28/2007 23:22,,,33.04883,-117.42533,AH,SY,,,,,,,,,,,,9,SY,,173,233,0.3,2828,,,,,,0,,,,UD,,,,ON,,ON,,1,,,,,,,,,,,,"**changed May 1 2008 to ""ON EFFORT"" effort --ABD"
SB,CalCOFI0707NH,6/28/07,16:24,6/28/2007 16:24,7:00:00,6/28/2007 23:24,,,33.04267,-117.42417,AH,SY,,,,,,,,,,,,10,SY,,173,183,0.9,1359,,,,,,30,20,45,2,DSP,,,,ON,,ON,,1,,,,,,,,,,,,"**changed May 1 2008 to ""ON EFFORT"" effort --ABD"
SB,CalCOFI0707NH,6/28/07,16:29,6/28/2007 16:29,7:00:00,6/28/2007 23:29,,,33.02800,-117.42133,AH,SY,,,,,,,,,,,,11,UNK,,173,173,,200,,,,,,25,20,30,0,Dd,,,,ON,,ON,,1,5,,,SEY,A,38,38,,,,,"WAKE-RIDING   **changed May 1 2008 to ""ON EFFORT"" effort --ABD"
SB,CalCOFI0707NH,6/28/07,16:31,6/28/2007 16:31,7:00:00,6/28/2007 23:31,,,33.02433,-117.42050,AH,SY,,,,,,,,,,,,12,AH,,173,153,,250,,,,,,20,15,25,0,Dd,,,,ON,,ON,,1,5,,,SEY,A,39,49,AMH,C,1,4,"**changed May 1 2008 to ""ON EFFORT"" effort --ABD"
SB,CalCOFI0707NH,6/29/07,8:24,6/29/2007 8:24,7:00:00,6/29/2007 15:24,,,32.38983,-118.45417,AH,SY,G,8,OV,90,,,,,,2,4,13,AH,,237,202,,300,,,,,,15,10,30,ND,Dsp,,,,ON,,ON,,2,,,,SEY,A,50,54,,,,,"ABOUT 5 ANIMALS APPROACHED BOW, PROBABLY DELPHIS"
SB,CalCOFI0707NH,6/29/07,8:28,6/29/2007 8:28,7:00:00,6/29/2007 15:28,,,32.38267,-118.46683,AH,SY,,,,,,,,,,,,14,AH,,237,219,2.5,580,,,,,,40,30,55,ND,Dd,,,,ON,,ON,,2,,,,,,,,,,,,
SB,CalCOFI0707NH,6/29/07,8:29,6/29/2007 8:29,7:00:00,6/29/2007 15:29,,,32.38117,-118.46950,AH,SY,,,,,,,,,,,,15,SY,,237,247,0.5,2067,,,,,,300,275,450,4,Dd,,,,ON,,ON,,2,5,,,SEY,A,56,65,AMH,C,5,16,
SB,CalCOFI0707NH,6/29/07,17:25,6/29/2007 17:25,7:00:00,6/30/2007 0:25,,,32.01433,-119.18700,SY,SY,,,,,,,,,,,,16,SY,,244,239,,1500,,,,,,1,1,2,0,Bm,,,,OFF,"2a, 6",OFF,,1,,,,,,,,,,,,"SLOWING SPEED **changed May 1 2008 to ""OFF transect"" effort due to Beaufort--ABD"
SB,CalCOFI0707NH,6/30/07,6:18,6/30/2007 6:18,7:00:00,6/30/2007 13:18,,,31.50250,-120.28167,SY,SY,F,10,CL,10,,,,,,5,4,17,SY,,249,279,,50,,,,,,12,8,16,0,Dd,,,,OFF,,ON,,5,2,,,,,,,,,,,
SB,CalCOFI0707NH,6/30/07,6:49,6/30/2007 6:49,7:00:00,6/30/2007 13:49,,,31.45950,-120.35150,AH,SY,,,,,,,,,,,,18,AH,,245,215,,200,,,,,,30,15,45,0,Dd,,,,ON,,ON,,2,5,,,,,,,,,,,
SP,CalCOFI0707NH,6/30/07,6:54,6/30/2007 6:54,7:00:00,6/30/2007 13:54,,,31.45117,-120.36500,AH,SY,,,,,,,,,,,,18,AH,,245,96,,200,,,,,,0,,,,Dd,,,,ON,,ON,,,,,,,,,,,,,,
SB,CalCOFI0707NH,6/30/07,6:58,6/30/2007 6:58,7:00:00,6/30/2007 13:58,,,31.44500,-120.37500,AH,SY,,,,,,,,,,,,19,AH,,244,234,5,307,,,,,,35,20,40,1,Dd,,,,ON,,ON,,2,5,,,,,,,,,,,LOTS OF SCATTERED GROUPS
SB,CalCOFI0707NH,6/30/07,8:27,6/30/2007 8:27,7:00:00,6/30/2007 15:27,,,31.32000,-120.61083,AH,SY,,,,,,,,,,,,20,SY,,250,270,,300,,,,,,8,5,12,0,Dd,,,,ON,,ON,,2,5,,,,,,,,,,,ATTRACTED TO SHIP
SB,CalCOFI0707NH,7/2/07,19:11,7/2/2007 19:11,7:00:00,7/3/2007 2:11,,,31.57000,-121.69300,AH,SY,,,,,,,,,,,,21,AH,,60,18,,200,,,,,,15,5,32,ND,Dd,,,,OFF,,OFF,,1,5,,,,,,,,,,,"**changed May 1 2008 to ""OFF transect"" effort due to Beaufort--ABD"
