SB,CalCOFI1110NH,10/16/2011,13:21,10/16/2011 13:21,8:00:00,10/16/2011 21:21,,,32.64000,-117.25817,KW,TK,F,6,OV,100,0,0,0,300,15,4,4,1,KW,3,295,280,,200,,,,,,4,4,6,0,Dc,,,,ON,,OFF,1,2,5,,,,,,,,,,,
SE,CalCOFI1110NH,10/16/2011,13:21,10/16/2011 13:21,8:00:00,10/16/2011 21:21,,,32.64000,-117.25817,KW,TK,F,6,OV,100,0,0,0,300,15,4,4,1,KW,3,295,280,,200,,,,,,4,4,6,0,Dc,,,,ON,,OFF,1,2,5,,,,,,,,,,,
SB,CalCOFI1110NH,10/16/2011,13:35,10/16/2011 13:35,8:00:00,10/16/2011 21:35,,,32.66167,-117.26000,KW,TK,F,6,OV,100,0,0,0,300,15,4,4,2,TK,1,350,15,,300,,,,,,5,5,7,ND,Dc,,,,ON,,OFF,1,2,,,,,,,,,,,,
SE,CalCOFI1110NH,10/16/2011,13:35,10/16/2011 13:35,8:00:00,10/16/2011 21:35,,,32.66167,-117.26000,KW,TK,F,6,OV,100,0,0,0,300,15,4,4,2,TK,1,350,15,,300,,,,,,5,5,7,ND,Dc,,,,ON,,OFF,1,2,,,,,,,,,,,,
SB,CalCOFI1110NH,10/16/2011,14:24,10/16/2011 14:24,8:00:00,10/16/2011 22:24,,,32.79950,-117.31300,KW,TK,F,6,OV,100,0,0,0,300,15,4,4,3,KW,2,350,348,2,,,2,14,260,360,570,530,750,16,Dc,,,,ON,,OFF,1,2,8,5,Y,KW,20D,1,29,TK,7D,1,12,wide spread dolphin school surrounding ship
SE,CalCOFI1110NH,10/16/2011,14:24,10/16/2011 14:24,8:00:00,10/16/2011 22:24,,,32.79950,-117.31300,KW,TK,F,6,OV,100,0,0,0,300,15,4,4,3,KW,2,350,348,2,,,2,14,260,360,570,530,750,16,Dc,,,,ON,,OFF,1,2,8,5,Y,KW,20D,1,29,TK,7D,1,12,wide spread dolphin school surrounding ship
SH,CalCOFI1110NH,10/17/2011,6:40,10/17/2011 6:40,8:00:00,10/17/2011 14:40,,,32.78098,-117.69114,TK,KW,G,6,OV,95,0,0,0,280,5,2,2,SH1,KW,,240,270,0.2,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,Large cargo ship.
SB,CalCOFI1110NH,10/17/2011,6:49,10/17/2011 6:49,8:00:00,10/17/2011 14:49,,,32.76630,-117.71793,TK,KW,G,6,OV,95,0,0,0,280,5,2,2,4,TK,1,235,200,1,,,,,,,10,6,18,ND,DSP,,,,ON,,ON,,,,,,,,,,,,,,
SE,CalCOFI1110NH,10/17/2011,6:54,10/17/2011 6:54,8:00:00,10/17/2011 14:54,,,32.75799,-117.73267,TK,KW,G,6,OV,95,0,0,0,280,5,2,2,4,TK,1,235,135,1.5,,,,,,,10,6,18,ND,DSP,,,,ON,,ON,,,,,,,,,,,,,,
SH,CalCOFI1110NH,10/17/2011,6:54,10/17/2011 6:54,8:00:00,10/17/2011 14:54,,,32.75799,-117.73267,TK,KW,G,6,OV,95,0,0,0,280,5,2,2,SH2,TK,1,234,258,0.2,,,,,,,9,9,9,,,,,,ON,,OFF,6,,,,,,,,,,,,,9 MEDIUM FISHING VESSELS
SB,CalCOFI1110NH,10/17/2011,11:36,10/17/2011 11:36,8:00:00,10/17/2011 19:36,,,32.54833,-118.14367,TK,KW,F,6,OV,100,0,0,0,260,14,4,4,5,TK,3,233,233,,3,,,,,,2,2,2,0,DSP,,,,ON,,ON,,5,,,,,,,,,,,,
SB,CalCOFI1110NH,10/17/2011,11:36,10/17/2011 11:36,8:00:00,10/17/2011 19:36,,,32.54833,-118.14367,TK,KW,F,6,OV,100,0,0,0,260,14,4,4,6,TK,2,233,120,1,,,,,,,1,1,1,0,ULW,,,,ON,,ON,,1,,,,,,,,,,,,UNID? LG WHALE. POSSIBLE HUMPBACK
SE,CalCOFI1110NH,10/17/2011,11:36,10/17/2011 11:36,8:00:00,10/17/2011 19:36,,,32.54833,-118.14367,TK,KW,F,6,OV,100,0,0,0,260,14,4,4,5,TK,3,233,233,,3,,,,,,2,2,2,0,DSP,,,,ON,,ON,,5,,,,,,,,,,,,
SE,CalCOFI1110NH,10/17/2011,11:36,10/17/2011 11:36,8:00:00,10/17/2011 19:36,,,32.54833,-118.14367,TK,KW,F,6,OV,100,0,0,0,260,14,4,4,6,TK,2,233,120,1,,,,,,,1,1,1,0,ULW,,,,ON,,ON,,1,,,,,,,,,,,,UNID? LG WHALE. POSSIBLE HUMPBACK
SB,CalCOFI1110NH,10/17/2011,11:51,10/17/2011 11:51,8:00:00,10/17/2011 19:51,,,32.52517,-118.18750,KW,KW,F,6,OV,100,0,0,0,260,14,4,4,7,KW,3,235,210,3,,,2,10,120,170,160,120,210,ND,Dd,,,,OFF,6,ON,,2,8,,,,,,,,,,,
SE,CalCOFI1110NH,10/17/2011,11:51,10/17/2011 11:51,8:00:00,10/17/2011 19:51,,,32.52517,-118.18750,KW,KW,F,6,OV,100,0,0,0,260,14,4,4,7,KW,3,235,210,3,,,2,10,120,170,160,120,210,ND,Dd,,,,OFF,6,ON,,2,8,,,,,,,,,,,
