SB,CalCOFI0808NH,8/14/2008,13:41,8/14/2008 13:41,8:00:00,8/14/2008 21:41,,,32.96350,-117.33000,DLC,AMH,,,,,,,,,,,,1,AMH,2,,306,0.7,,,,,,,1,1,1,0,Bp,,,,OFF,,ON,,1,,,,,,,,,,,,
SE,CalCOFI0808NH,8/14/2008,13:44,8/14/2008 13:44,8:00:00,8/14/2008 21:44,,,32.96400,-117.32750,DLC,AMH,,,,,,,,,,,,1,AMH,2,,,,,,,,,,1,1,1,0,Bp,,,,OFF,,ON,,1,,,,,,,,,,,,"SHIP TURNED; LOST SIGHTING WHILE HEADING AWAY FROM STATION, NOT ON EFFORT, SPEED UNDER 5.5 KNOTS"
SB,CalCOFI0808NH,8/14/2008,16:28,8/14/2008 16:28,8:00:00,8/15/2008 0:28,,,33.16167,-117.40767,DLC,AMH,,,,,,,,,,,,2,DLC,4,,231,,250,,,,,,1,1,1,0,Ba,,,,ON,,ON,,1,,,,,,,,,,,,SHALLOW SURFACING; SIGHTED BY DORSAL FIN BREAKING SURFACE; TRAVELING IN OPPOSITE DIRECTION
SE,CalCOFI0808NH,8/14/2008,16:31,8/14/2008 16:31,8:00:00,8/15/2008 0:31,,,33.15833,-117.41450,DLC,AMH,,,,,,,,,,,,2,DLC,4,,,,,,,,,,1,1,1,0,Ba,,,,ON,,ON,,1,,,,,,,,,,,,LOST ANIMAL BEHIND VESSEL
SB,CalCOFI0808NH,8/14/2008,18:03,8/14/2008 18:03,8:00:00,8/15/2008 2:03,,,33.19583,-117.46300,DLC,AMH,,,,,,,,,,,,3,AMH,4,,190,2,,,2.0,1.5,170,210,30,20,40,ND,Dsp,,,,ON,,ON,,1,,,,,,,,,,,,MOVING OPPOSITE DIRECTION OF SHIP
SE,CalCOFI0808NH,8/14/2008,18:06,8/14/2008 18:06,8:00:00,8/15/2008 2:06,,,33.18783,-117.46133,DLC,AMH,,,,,,,,,,,,3,AMH,4,,,,,,1.5,2.1,170,211,30,21,40,ND,Dsp,,,,ON,,ON,,1,,,,,,,,,,,,LOST SIGHTING BEHIND SHIP
SH,CalCOFI0808NH,8/15/2008,6:48,8/15/2008 6:48,8:00:00,8/15/2008 14:48,,,32.61267,-118.01833,AMH,DLC,,,,,,,,,,,,SH1,DLC,,,325,1.3,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,SMALL FISHING BOAT
SH,CalCOFI0808NH,8/15/2008,7:08,8/15/2008 7:08,8:00:00,8/15/2008 15:08,,,32.58617,-118.07033,AMH,DLC,,,,,,,,,,,,SH2,DLC,,,302,0.3,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,PRIVATE VESSEL
SB,CalCOFI0808NH,8/15/2008,8:13,8/15/2008 8:13,8:00:00,8/15/2008 16:13,,,32.51100,-118.21533,AMH,DLC,,,,,,,,,,,,4,DLC,5,,320,1,,,1.0,0.5,0,33,35,28,47,ND,Dsp,,,,OFF,,ON,,2,,,,,,,,,,,,SIGHTED BEFORE VESSEL TURNED
SE,CalCOFI0808NH,8/15/2008,8:16,8/15/2008 8:16,8:00:00,8/15/2008 16:16,,,32.50967,-118.21683,AMH,DLC,,,,,,,,,,,,4,DLC,5,,53,0.4,,,,,,,35,28,47,ND,Dsp,,,,OFF,,ON,,2,,,,,,,,,,,,
SB,CalCOFI0808NH,8/15/2008,9:03,8/15/2008 9:03,8:00:00,8/15/2008 17:03,,,32.52467,-118.20850,AMH,DLC,,,,,,,,,,,,5,AMH,5,,50,0.8,,,,,,,1,1,1,0,Bp,,,,OFF,,ON,,1,,,,,,,,,,,,
SP,CalCOFI0808NH,8/15/2008,9:09,8/15/2008 9:09,8:00:00,8/15/2008 17:09,,,32.52617,-118.20667,AMH,DLC,,,,,,,,,,,,5,AMH,2,,71,1,,,,,,,1,1,1,0,Bp,,,,OFF,,ON,,1,,,,,,,,,,,,
SP,CalCOFI0808NH,8/15/2008,9:12,8/15/2008 9:12,8:00:00,8/15/2008 17:12,,,32.52700,-118.20533,AMH,DLC,,,,,,,,,,,,5,AMH,2,,93,1,,,,,,,1,1,1,0,Bp,,,,OFF,,ON,,1,,,,,,,,,,,,
SE,CalCOFI0808NH,8/15/2008,9:26,8/15/2008 9:26,8:00:00,8/15/2008 17:26,,,32.52850,-118.20117,AMH,DLC,,,,,,,,,,,,5,AMH,,,,,,,,,,,1,1,1,0,Bp,,,,OFF,,ON,,1,,,,,,,,,,,,LOST ANIMAL; HAVEN'T SEEN IT SURFACE SINCE LAST UPDATE
SB,CalCOFI0808NH,8/15/2008,11:11,8/15/2008 11:11,8:00:00,8/15/2008 19:11,,,32.50267,-118.24100,AMH,DLC,,,,,,,,,,,,6,AMH,1,,165,2.3,,,2.1,2.5,160,170,12,12,21,ND,UD,,,,ON,,ON,,0,,,,,,,,,,,,SPLASHES AND SINGLE DORSAL FIN
SE,CalCOFI0808NH,8/15/2008,11:14,8/15/2008 11:14,8:00:00,8/15/2008 19:14,,,32.49833,-118.24967,AMH,DLC,,,,,,,,,,,,6,AMH,,,,,,,,,,,12,12,21,ND,UD,,,,ON,,ON,,0,,,,,,,,,,,,LOST GROUP AFTER INITIAL SIGHTING
SB,CalCOFI0808NH,8/15/2008,15:38,8/15/2008 15:38,8:00:00,8/15/2008 23:38,,,32.35267,-118.58100,AMH,DLC,,,,,,,,,,,,7,AMH,2,,105,1.7,,,,,,,1,1,1,0,ULW,,,,OFF,,ON,,1,,,,,,,,,,,,
SE,CalCOFI0808NH,8/15/2008,15:38,8/15/2008 15:38,8:00:00,8/15/2008 23:38,,,32.35267,-118.58100,AMH,DLC,,,,,,,,,,,,7,AMH,,,,,,,,,,,1,1,1,0,ULW,,,,OFF,,ON,,1,,,,,,,,,,,,LOST SIGHTING; WENT DOWN TO DEPLOY ARRAY
SB,CalCOFI0808NH,8/15/2008,16:03,8/15/2008 16:03,8:00:00,8/16/2008 0:03,,,32.32450,-118.63217,AMH,DLC,,,,,,,,,,,,8,DLC,2,,228,0.2,,,,,,,1,1,1,0,Bp,,,,ON,,ON,,1,,,,,,,,,,,,
SP,CalCOFI0808NH,8/15/2008,16:11,8/15/2008 16:11,8:00:00,8/16/2008 0:11,,,32.31133,-118.65617,AMH,DLC,,,,,,,,,,,,8,DLC,2,,316,3,,,,,,,1,1,1,0,Bp,,,,ON,,ON,,1,,,,,,,,,,,,
SE,CalCOFI0808NH,8/15/2008,16:12,8/15/2008 16:12,8:00:00,8/16/2008 0:12,,,32.30983,-118.65917,AMH,DLC,,,,,,,,,,,,8,DLC,2,,14,3.1,,,,,,,1,1,1,0,Bp,,,,ON,,ON,,1,,,,,,,,,,,,
SB,CalCOFI0808NH,8/15/2008,16:24,8/15/2008 16:24,8:00:00,8/16/2008 0:24,,,32.29200,-118.69150,AMH,DLC,,,,,,,,,,,,9,AMH,2,,170,0.3,,,,,,,1,1,1,0,ULW,,,,ON,,ON,,0,,,,,,,,,,,,
SE,CalCOFI0808NH,8/15/2008,16:32,8/15/2008 16:32,8:00:00,8/16/2008 0:32,,,32.27950,-118.71450,AMH,DLC,,,,,,,,,,,,9,AMH,,,,,,,,,,,1,1,1,0,ULW,,,,ON,,ON,,0,,,,,,,,,,,,DID NOT SEE ANIMAL RESURFACE
SB,CalCOFI0808NH,8/15/2008,16:51,8/15/2008 16:51,8:00:00,8/16/2008 0:51,,,32.24950,-118.76767,AMH,DLC,,,,,,,,,,,,10,DLC,5,,303,1,,,1.0,0.8,298,319,8,5,10,ND,Dsp,,,,ON,,ON,,2,,,,,,,,,,,,ARIEL DISPLAYS; LEAPING OUT OF WATER
SE,CalCOFI0808NH,8/15/2008,16:57,8/15/2008 16:57,8:00:00,8/16/2008 0:57,,,32.24133,-118.78183,AMH,DLC,,,,,,,,,,,,10,DLC,5,,9,1.8,,,,,,,40,36,60,ND,Dsp,,,,ON,,ON,,2,,,,,,,,,,,,
SB,CalCOFI0808NH,8/15/2008,16:59,8/15/2008 16:59,8:00:00,8/16/2008 0:59,,,32.23867,-118.78650,AMH,DLC,,,,,,,,,,,,11,AMH,1,,185,1.3,,,1.2,0.1,140,230,250,210,318,ND,Dsp,,,,ON,,ON,,2,,,,,,,,,,,,
SP,CalCOFI0808NH,8/15/2008,17:05,8/15/2008 17:05,8:00:00,8/16/2008 1:05,,,32.22950,-118.80250,AMH,DLC,,,,,,,,,,,,11,AMH,1,,150,7.2,,,7.2,1.8,59,209,500,483,650,ND,Dd,,,,ON,,ON,,2,5,,,,,,,,,,,COMING TOWARDS VESSEL
SP,CalCOFI0808NH,8/15/2008,17:12,8/15/2008 17:12,8:00:00,8/16/2008 1:12,,,32.21667,-118.82333,AMH,DLC,,,,,,,,,,,,11,AMH,1,,170,12,,,100m,,70,230,800,760,1145,4,Dd,,,,ON,,ON,,2,5,,,,,,,,,,,
SE,CalCOFI0808NH,8/15/2008,17:20,8/15/2008 17:20,8:00:00,8/16/2008 1:20,,,32.20367,-118.84450,AMH,DLC,,,,,,,,,,,,11,AMH,1,,50,2.4,,,,,,,1050,800,1180,4,Dd,,,,ON,,ON,,2,,,,AMH,DIGITAL,1,119,,,,,
SB,CalCOFI0808NH,8/16/2008,6:03,8/16/2008 6:03,8:00:00,8/16/2008 14:03,,,31.67483,-119.91683,DLC,AMH,,,,,,,,,,,,12,AMH,5,,310,,175,,,,,,1,1,1,0,Bp,,,,ON,,ON,,3,,,,,,,,,,,,"RESTING, LOGGING AT SURFACE."
SE,CalCOFI0808NH,8/16/2008,6:07,8/16/2008 6:07,8:00:00,8/16/2008 14:07,,,31.67067,-119.92517,DLC,AMH,,,,,,,,,,,,12,AMH,,,,,,,,,,,1,1,1,0,Bp,,,,ON,,ON,,3,,,,,,,,,,,,SHIP CONTINUED PAST BP. IT SUNK BELOW SURFACE AND POSSIBLY SURFACED BEHIND SHIP.
SB,CalCOFI0808NH,8/16/2008,6:29,8/16/2008 6:29,8:00:00,8/16/2008 14:29,,,31.64017,-119.98600,DLC,AMH,,,,,,,,,,,,13,DLC,4,,224,2,,,2M,,4m,,3,2,7,ND,UD,,,,ON,,ON,,0,,,,,,,,,,,,
SE,CalCOFI0808NH,8/16/2008,6:35,8/16/2008 6:35,8:00:00,8/16/2008 14:35,,,31.63183,-120.00267,DLC,AMH,,,,,,,,,,,,13,DLC,,,,,,,,,,,3,2,7,ND,UD,,,,ON,,ON,,0,,,,,,,,,,,,LOST AFTER INITIAL SIGHTING.
SB,CalCOFI0808NH,8/16/2008,6:42,8/16/2008 6:42,8:00:00,8/16/2008 14:42,,,31.62267,-120.02117,DLC,AMH,,,,,,,,,,,,14,AMH,2,,290,1.8,,,,,,,1,1,1,0,Bp,,,,ON,,ON,,1,,,,,,,,,,,,
SP,CalCOFI0808NH,8/16/2008,6:43,8/16/2008 6:43,8:00:00,8/16/2008 14:43,,,31.62050,-120.02533,DLC,AMH,,,,,,,,,,,,14,AMH,2,,300,0.8,,,,,,,1,1,1,0,Bp,,,,ON,,ON,,1,,,,,,,,,,,,MAY HAVE GONE DOWN ON A DEEP DIVE.
SE,CalCOFI0808NH,8/16/2008,6:47,8/16/2008 6:47,8:00:00,8/16/2008 14:47,,,31.61650,-120.03350,DLC,AMH,,,,,,,,,,,,14,AMH,,,,,,,,,,,1,1,1,0,Bp,,,,ON,,ON,,,,,,,,,,,,,,LOST SIGHTING ANIMAL BEHIND US NOW.
SB,CalCOFI0808NH,8/16/2008,11:37,8/16/2008 11:37,8:00:00,8/16/2008 19:37,,,31.43717,-120.39733,DLC,AMH,,,,,,,,,,,,15,AMH,2,,345,1.7,,,,,,,1,1,1,0,ULW,,,,OFF,,ON,,1,,,,,,,,,,,,
SE,CalCOFI0808NH,8/16/2008,11:40,8/16/2008 11:40,8:00:00,8/16/2008 19:40,,,31.43267,-120.40567,DLC,AMH,,,,,,,,,,,,15,AMH,,,,,,,,,,,1,1,1,0,ULW,,,,OFF,,ON,,,,,,,,,,,,,,"DID NOT RESIGHT ANIMAL, BEHIND SHIP NOW."
SB,CalCOFI0808NH,8/16/2008,13:01,8/16/2008 13:01,8:00:00,8/16/2008 21:01,,,31.33083,-120.61333,DLC,AMH,,,,,,,,,,,,16,AMH,5,,265,2,,,2.0,1.5,240,270,12,8,23,0,Dsp,,,,ON,,ON,,8,9,,,,,,,,,,,LEAPING BODY.
