SB,CalCOFI0711NH,11/3/2007,7:09,11/3/2007 7:09,8:00:00,11/3/2007 15:09,,,32.88017,-117.45700,GC,DC,,,,,,,,,,,,1,DC,,240,322,1.8,773,,,,,,7,5,10,0,Dsp,,,,ON,,ON,,2,,,,,,,,,,,,Moving away from ship
SB,CalCOFI0711NH,11/4/2007,7:05,11/4/2007 7:05,8:00:00,11/4/2007 15:05,,,32.06417,-119.13417,LJM,DC,,,,,,,,,,,,2,LJM,,237,179,0.6,1827,,,,,,1,1,1,0,UNID_CETAC,,,,ON,,ON,,1,,,,,,,,,,,,Possibly Brydes/Sei
SP,CalCOFI0711NH,11/4/2007,7:15,11/4/2007 7:15,8:00:00,11/4/2007 15:15,,,32.05333,-119.15867,LJM,DC,,,,,,,,,,,,2,LJM,,237,79,0.6,1827,,,,,,1,1,1,0,UNID_CETAC,,,,ON,,ON,,1,,,,,,,,,,,,Unconfirmed Bm.
SB,CalCOFI0711NH,11/4/2007,11:35,11/4/2007 11:35,8:00:00,11/4/2007 19:35,,,31.96567,-119.32683,DC,DC,,,,,,,,,,,,3,DC,,240,194,1.2,1084,,,,,,15,12,19,ND,Dsp,,,,OFF,,ON,,2,,,,,,,,,,,,
SP,CalCOFI0711NH,11/4/2007,11:39,11/4/2007 11:39,8:00:00,11/4/2007 19:39,,,31.96117,-119.33583,DC,DC,,,,,,,,,,,,3,DC,,240,152,1.2,1084,,,,,,15,12,19,ND,Dsp,,,,OFF,,ON,,2,,,,,,,,,,,,
SB,CalCOFI0711NH,11/5/2007,8:31,11/5/2007 8:31,8:00:00,11/5/2007 16:31,,,30.88367,-121.50700,DC,LJM,,,,,,,,,,,,4,LJM,,238,266,5.8,266,,,,,,15,10,30,0,Dsp,,,,ON,,ON,,1,,,,,,,,,,,,
SB,CalCOFI0711NH,11/5/2007,8:43,11/5/2007 8:43,8:00:00,11/5/2007 16:43,,,30.87117,-121.53250,,,,,,,,,,,,,,5,DC,,238,95,,20,,,,,,15,7,25,ND,Dd,,,,OFF,,OFF,,1,5,,,,,,,,,,,SUBGROUP OF ANIMALS IN SIGHTING #4. SIGHTED WHILE PULLING IN ARRAY
SB,CalCOFI0711NH,11/6/2007,8:43,11/6/2007 8:43,8:00:00,11/6/2007 16:43,,,30.19900,-123.84700,LJM,DC,,,,,,,,,,,,6,LJM,,329,276,0.6,1827,,,,,,2,2,2,0,Pm,,,,ON,,OFF,,3,,,,,,,,,,,,"SURFACE INTERVAL VISUAL COUNT 2, ACOUSTIC HEARS MORE. 1 LARGE MALE"
SB,CalCOFI0711NH,11/7/2007,11:57,11/7/2007 11:57,8:00:00,11/7/2007 19:57,,,31.52817,-121.77467,LJM,LJM,,,,,,,,,,,,7,LJM,,61,67,,1000,,,,,,12,5,30,ND,Dd,,,,OFF,,ON,,2,5,,,,,,,,,,,"ANIMALS SHIP ATTRACTED, ONE MELLANISTIC INDIV"
SB,CalCOFI0711NH,11/8/2007,8:22,11/8/2007 8:22,8:00:00,11/8/2007 16:22,,,32.52650,-119.75800,LJM,DC,,,,,,,,,,,,8,DC,,64,115,0.2,3500,,,,,,1,1,1,ND,UNID_CETAC,,,,ON,,ON,,0,,,,,,,,,,,,"PROBABLE BLUE, TALL BLOWS, BRIEF SURFACING"
