SB,CalCOFI1311NH,11/9/2013,8:48,11/9/2013 8:48,8:00,11/9/2013 16:48,,,32.63600,-117.26467,KW,AB,G,4,LF,20,,,,310,2,2,2,1,AB,1,338,14,,500,,,,,,12,8,15,ND,Dc,,,,ON,,OFF,1,2,5,,N,,,,,,,,,
SE,CalCOFI1311NH,11/9/2013,8:48,11/9/2013 8:48,8:00,11/9/2013 16:48,,,32.63600,-117.26467,KW,AB,G,4,LF,20,,,,310,2,2,2,1,AB,1,338,14,,500,,,,,,12,8,15,ND,Dc,,,,ON,,OFF,1,2,5,,N,,,,,,,,,
SB,CalCOFI1311NH,11/9/2013,8:53,11/9/2013 8:53,8:00,11/9/2013 16:53,,,32.65050,-117.26917,KW,AB,G,4,LF,20,,,,310,2,2,2,2,AB,1,345,340,,900,,2,14,270,30,252,223,280,ND,Dc,,,,ON,,OFF,1,2,1,"5,8",Y,KW,,4178,4202,,,,,dolphins spread for several miles
SE,CalCOFI1311NH,11/9/2013,9:06,11/9/2013 9:06,8:00,11/9/2013 17:06,,,32.68717,-117.28233,KW,AB,G,4,LF,15,,,,310,2,2,2,2,AB,1,345,340,,900,,2,14,270,30,252,223,280,ND,Dc,,,,ON,,OFF,1,2,1,"5,8",Y,KW,,4178,4202,,,,,
SB,CalCOFI1311NH,11/9/2013,9:31,11/9/2013 9:31,8:00,11/9/2013 17:31,,,32.75950,-117.30217,KW,AB,G,4,LF,15,,,,20,4,2,2,3,AB,1,344,47,2.1,,,,,,,16,13,20,ND,DSP,,,,ON,,OFF,1,4,2,,,,,,,,,,,
SE,CalCOFI1311NH,11/9/2013,9:31,11/9/2013 9:31,8:00,11/9/2013 17:31,,,32.75950,-117.30217,KW,AB,G,4,LF,15,,,,20,4,2,2,3,AB,1,344,47,2.1,,,,,,,16,13,20,ND,DSP,,,,ON,,OFF,1,4,2,,,,,,,,,,,
SB,CalCOFI1311NH,11/9/2013,9:52,11/9/2013 9:52,8:00,11/9/2013 17:52,,,32.80733,-117.31950,KW,AB,G,4,LF,10,,,,20,4,2,2,4,AB,3,348,59,2.9,,,,,,,9,8,13,ND,DSP,,,,ON,,OFF,1,8,2,,,,,,,,,,,
SE,CalCOFI1311NH,11/9/2013,9:52,11/9/2013 9:52,8:00,11/9/2013 17:52,,,32.80733,-117.31950,KW,AB,G,4,LF,10,,,,20,4,2,2,4,AB,3,348,59,2.9,,,,,,,9,8,13,ND,DSP,,,,ON,,OFF,1,8,2,,,,,,,,,,,
SB,CalCOFI1311NH,11/9/2013,9:58,11/9/2013 9:58,8:00,11/9/2013 17:58,,,32.82483,-117.32200,KW,AB,G,4,LF,10,,,,20,4,2,2,5,KW,1,350,320,0.75,,,0.5,14,300,40,1300,1160,1400,34,Dc,,,,ON,,OFF,1,1,8,"2,4,5",,,,,,,,,,very widespread group--over miles for 20 min
SE,CalCOFI1311NH,11/9/2013,10:16,11/9/2013 10:16,8:00,11/9/2013 18:16,,,32.87450,-117.31967,KW,AB,G,4,LF,10,,,,22,5,2,2,5,KW,1,358,350,0.7,,,0.5,14,300,40,1300,1160,1400,34,Dc,,,,ON,,OFF,1,1,8,"2,4,5",,,,,,,,,,very widespread group--over miles for 20 min
SB,CalCOFI1311NH,11/9/2013,10:24,11/9/2013 10:24,8:00,11/9/2013 18:24,,,32.89833,-117.31600,KW,AB,G,4,LF,10,,,,22,5,2,2,6,AB,1,10,20,3,,,1,12,310,35,400,330,430,7,Dc,,,,ON,,OFF,1,2,1,"5,4",,,,,,,,,,
SE,CalCOFI1311NH,11/9/2013,10:36,11/9/2013 10:36,8:00,11/9/2013 18:36,,,32.93167,-117.31283,KW,AB,G,4,LF,10,,,,15,4,2,2,6,AB,1,10,20,3,,,1,12,310,35,400,330,430,7,Dc,,,,ON,,OFF,1,2,1,"5,4",,,,,,,,,,
SB,CalCOFI1311NH,11/9/2013,13:20,11/9/2013 13:20,8:00,11/9/2013 21:20,,,32.96817,-117.29533,KW,AB,E,6,HZ,10,0,0,,325,4,2,2,7,AB,2,327,310,,700,,,,290,10,220,210,240,ND,Dc,,,,ON,,OFF,1,5,2,1,,,,,,,,,,leaving SCCOOS 93-26.4 going to 91.7-26.4.  No array--near shore.
SE,CalCOFI1311NH,11/9/2013,13:20,11/9/2013 13:20,8:00,11/9/2013 21:20,,,32.96817,-117.29533,KW,AB,E,6,HZ,10,0,0,,325,4,2,2,7,AB,2,327,310,,700,,,,290,10,220,210,240,ND,Dc,,,,ON,,OFF,1,5,2,1,,,,,,,,,,leaving SCCOOS 93-26.4 going to 91.7-26.4.  No array--near shore.
