SB,CalCOFI0803JD,3/25/2008,8:53,3/25/2008 8:53,8:00:00,3/25/2008 16:53,,,32.8222,-117.5958,DLC,DLC,,,,,,,,,,,,1,DLC,,239,271,0.8,,,,,,,275,200,350,ND,Dsp,,,,Off,,On,,Milling,,,,,,,,,,,,Head slapping and lunging. Size envelope 300m wide 20m depth.
SP,CalCOFI0803JD,3/25/2008,9:04,3/25/2008 9:04,8:00:00,3/25/2008 17:04,,,32.8067,-117.6253,DLC,DLC,,,,,,,,,,,,1,DLC,,239,356,0.5,,,,,,,275,200,350,ND,Dsp,,,,Off,,On,,Milling,,,,,,,,,,,,
SB,CalCOFI0803JD,3/25/2008,9:14,3/25/2008 9:14,8:00:00,3/25/2008 17:14,,,32.7885,-117.6518,DLC,GC,,,,,,,,,,,,2,GC,,239,329,,,,,,,,1,1,1,0,Ba,,,,On,,On,,Slow Travel,,,,,,,,,,,,
SB,CalCOFI0803JD,3/25/2008,10:00,3/25/2008 10:00,8:00:00,3/25/2008 18:00,,,32.7332,-117.7670,DLC,GC,,,,,,,,,,,,3,GC,,239,329,2.5,,,,,,,1,1,1,0,Ba,,,,On,,On,,Slow Travel,,,,,,,,,,,,"Mike Bentley, birder, sighted whale. **changed May 2 2008 to on effort**"
SB,CalCOFI0803JD,3/25/2008,10:08,3/25/2008 10:08,8:00:00,3/25/2008 18:08,,,32.7232,-117.7857,DLC,GC,,,,,,,,,,,,4,GC,,239,252,0.4,,,,,,,28,21,35,ND,Tt,Dsp,93,7,On,,On,,Slow Travel,,,,,,,,,,,,"Tt Low20/Best26/High32, Dsp Low1/Best2/High3"
SB,CalCOFI0803JD,3/25/2008,10:13,3/25/2008 10:13,8:00:00,3/25/2008 18:13,,,32.7160,-117.7988,DLC,GC,,,,,,,,,,,,5,DLC,,239,260,0.5,,,,,,,48,35,51,ND,Gg,,,,On,,On,,Slow Travel,,,,DC,DLC_20080325,39516,39516,,,,,"Travelling in the wake f the cargo ship, in close proximity to S#4, acoustics may be hard to separate out."
SB,CalCOFI0803JD,3/25/2008,10:22,3/25/2008 10:22,8:00:00,3/25/2008 18:22,,,32.7047,-117.8215,DLC,GC,,,,,,,,,,,,6,DLC,,239,208,4,,,,,,,8,6,9,0,Gg,,,,On,,On,,Slow Travel,,,,,,,,,,,,probable subgroup of S#5
SB,CalCOFI0803JD,3/25/2008,10:44,3/25/2008 10:44,8:00:00,3/25/2008 18:44,,,32.6807,-117.8715,,,,,,,,,,,,,,7,DLC,,239,22,,,,,,,,4,4,5,0,Tt,,,,Off,,On,,Slow Travel,,,,,,,,,,,,Sighted while deploying sonobuoy.
SB,CalCOFI0803JD,3/26/2008,11:00,3/26/2008 11:00,8:00:00,3/26/2008 19:00,,,31.8452,-119.5738,,,,,,,,,,,,,,8,GC,,146,302,,,,,,,,2,2,2,0,Pd,,,,Off,,On,,Slow Travel,Close Approach,,,,,,,,,,,"Sighted while on st.93/60, approached vessel."
SB,CalCOFI0803JD,3/26/2008,15:29,3/26/2008 15:29,8:00:00,3/26/2008 23:29,,,31.6807,-119.9053,DLC,GC,,,,,,,,,,,,9,GC,,229,158,,,,,,,,1,1,1,0,Pd,,,,Off,,On,,Fast Travel,Close Approach,,,,,,,,,,,"Rooster tailing, approached vessel.  **changed May 2 2008 to off transect--ABD**"
SB,CalCOFI0803JD,3/27/2008,7:54,3/27/2008 7:54,8:00:00,3/27/2008 15:54,,,30.8493,-121.5733,DLC,DLC,,,,,,,,,,,,10,GC,,189,358,,,,,,,,11,10,12,0,Lb,,,,Off,,On,,Milling,,,,DC,DLC_20080327,"149-175, 185-189, 194-244, 248-260","149-175, 185-189, 194-244, 248-260",,,,,"Sighted while on st.93/90. Acoustics notified observers of presence.  Lo showng non-directional travel, wave surfing around ship."
SB,CalCOFI0803JD,3/27/2008,10:49,3/27/2008 10:49,8:00:00,3/27/2008 18:49,,,30.8515,-121.5967,DLC,DLC,,,,,,,,,,,,11,DLC,,290,319,,,,,,,,3,3,3,0,Lo,,,,Off,,On,,Milling,Slow Travel,,,DC,DLC_20080327,"150, 245-246, 252-256","150, 245-246, 252-256",,,,,"Associated with Pinn2 anf S#10, joined for a short time and moved off."
SP,CalCOFI0803JD,3/27/2008,12:32,3/27/2008 12:32,8:00:00,3/27/2008 20:32,,,30.7357,-121.8078,DLC,DLC,,,,,,,,,,,,10,DLC,,236,248,,,,,,,,2,2,2,0,Lo,,,,Off,,On,,Bowriding,,,,,,,,,,,,A few animals from earlier sighting seem to be traveling with the ship.  *changed May 2 2008 to off transect--ABD**
SB,CalCOFI0803JD,3/28/2008,8:12,3/28/2008 8:12,8:00:00,3/28/2008 16:12,,,29.8487,-123.5935,DLC,DLC,,,,,,,,,,,,12,DLC,,109,100,,,,,,,,12,8,15,0,Dd,,,,Off,,Off,,Milling,,,,,,,,,,,,Sighted while on st.93/120 milling around ship riding the swell.
SB,CalCOFI0803JD,3/28/2008,11:05,3/28/2008 11:05,8:00:00,3/28/2008 19:05,,,29.9582,-123.6578,DLC,GC,,,,,,,,,,,,13,GC,,325,300,,,,,,,,5,5,5,0,Dd,,,,On,,Off,,Slow Travel,Close Approach,,,DC,DLC_20080328,298,300,,,,,Approached vessel
SP,CalCOFI0803JD,3/28/2008,11:17,3/28/2008 11:17,8:00:00,3/28/2008 19:17,,,29.9777,-123.6730,GC,GC,,,,,,,,,,,,13,GC,,325,72,,,,,,,,5,5,5,0,Dd,,,,Off,,Off,,Slow Travel,,,,,,,,,,,,Heading away from the ship.
SB,CalCOFI0803JD,3/28/2008,12:30,3/28/2008 12:30,8:00:00,3/28/2008 20:30,,,30.0970,-123.7690,DLC,GC,,,,,,,,,,,,14,UNK,,325,9,8,,,,,,,154,122,181,ND,Dd,,,,Off,,Off,,Fast Travel,Close Approach,,,DC,DLC_20080328,301,340,,,,,"Leaping out of  the water, approahing vessel. **changed May 2 2008 to on effort off transect**"
SP,CalCOFI0803JD,3/28/2008,12:51,3/28/2008 12:51,8:00:00,3/28/2008 20:51,,,30.1323,-123.7950,DLC,GC,,,,,,,,,,,,14,UNK,,325,43,,,,,,,,154,122,181,ND,Dd,,,,Off,,Off,,Fast Travel,,,,,,,,,,,,Moving off away from vessel.  **changed May 2 2008 to on effort off transect--ABD**
SB,CalCOFI0803JD,3/28/2008,14:25,3/28/2008 14:25,8:00:00,3/28/2008 22:25,,,30.2942,-123.9102,DLC,GC,,,,,,,,,,,,15,DLC,,325,6,6,,,,,,,275,230,330,0,Dd,,,,On,,Off,,Fast Travel,Bowriding,,,DC,DLC_20080328,341,375,,,,,"Approached vessel, a few nimals bow rode. Leaping, widely spread."
SP,CalCOFI0803JD,3/28/2008,14:50,3/28/2008 14:50,8:00:00,3/28/2008 22:50,,,30.3375,-123.9413,DLC,GC,,,,,,,,,,,,15,DLC,,325,302,,,,,,,,275,230,330,0,Dd,,,,On,,Off,,Fast Travel,,,,,,,,,,,,Last of group moved off after bow riding.
SB,CalCOFI0803JD,3/29/2008,13:29,3/29/2008 13:29,8:00:00,3/29/2008 21:29,,,31.4140,-121.9962,DLC,,,,,,,,,,,,,16,DLC,,57,233,,,,,,,,5,5,5,0,Pd,,,,Off,,On,,Fast Travel,Close Approach,,,,,,,,,,,"Rooster tailing, approached vessel. Sighted while pulling in array."
SB,CalCOFI0803JD,3/29/2008,16:50,3/29/2008 16:50,8:00:00,3/30/2008 0:50,,,31.4480,-121.8835,DLC,GC,,,,,,,,,,,,17,UNK,,58,87,,,,,,,,1,1,1,0,Lo,,,,Off,,On,,Slow Travel,Bowriding,,,,,,,,,,,"Apprached vessel, traveling with ship. ** changed May 2 2008 to on effort--ABD**"
SB,CalCOFI0803JD,3/30/2008,8:21,3/30/2008 8:21,8:00:00,3/30/2008 16:21,,,32.2348,-120.3253,DLC,GC,,,,,,,,,,,,18,DLC,,63,33,,,,,,,,3,3,3,0,Pd,,,,On,,On,,Fast Travel,Close Approach,,,,,,,,,,,"Approached vessel, swimming near bow."
SP,CalCOFI0803JD,3/30/2008,8:40,3/30/2008 8:40,8:00:00,3/30/2008 16:40,,,32.2581,-120.2760,DLC,GC,,,,,,,,,,,,18,DLC,,63,18,,,,,,,,3,3,3,0,Pd,,,,On,,On,,Fast Travel,Bowriding,,,,,,,,,,,
SB,CalCOFI0803JD,3/30/2008,9:45,3/30/2008 9:45,8:00:00,3/30/2008 17:45,,,32.3473,-120.1090,DLC,DLC,,,,,,,,,,,,19,DLC,,63,31,,,,,,,,8,7,9,0,Pd,,,,Off,,On,,Fast Travel,Close Approach,,,,,,,,,,,"Rooster tailing, approached vessel."
SP,CalCOFI0803JD,3/30/2008,9:53,3/30/2008 9:53,8:00:00,3/30/2008 17:53,,,32.3582,-120.0888,DLC,DLC,,,,,,,,,,,,19,DLC,,63,48,,,,,,,,8,7,9,0,Pd,,,,Off,,On,,Fast Travel,Bowriding,,,DC,DLC_20080330,386,395,,,,,
SP,CalCOFI0803JD,3/30/2008,10:10,3/30/2008 10:10,8:00:00,3/30/2008 18:10,,,32.3802,-120.0448,DLC,DLC,,,,,,,,,,,,19,DLC,,63,51,,,,,,,,8,7,9,0,Pd,,,,Off,,On,,Fast Travel,,,,,,,,,,,,
SB,CalCOFI0803JD,3/31/2008,7:59,3/31/2008 7:59,8:00:00,3/31/2008 15:59,,,33.2360,-118.2845,DLC,GC,,,,,,,,,,,,20,GC,,68,103,0.4,,,,,,,580,470,700,ND,Dsp,,,,On,,On,,Fast Travel,,,,DC,DLC_20080331,396,423,,,,,"Animals spread widely, span ~15-20 degrees, leaping.  Birds associated including pelicans and gulls."
SP,CalCOFI0803JD,3/31/2008,8:04,3/31/2008 8:04,8:00:00,3/31/2008 16:04,,,33.2417,-118.2700,DLC,GC,,,,,,,,,,,,20,GC,,68,73,0.9,,,,,,,580,470,700,1,Dc,,,,On,,On,,Fast Travel,,,,,,,,,,,,
SP,CalCOFI0803JD,3/31/2008,8:12,3/31/2008 8:12,8:00:00,3/31/2008 16:12,,,33.2517,-118.2495,DLC,GC,,,,,,,,,,,,20,GC,,68,301,2,,,,,,,580,470,700,1,Dc,,,,On,,On,,Fast Travel,,,,,,,,,,,,"Moving away from ship, close of sighting."
