SB,CalCOFI0602JD,2/3/2006,15:37,2/3/2006 15:37,8:00:00,2/3/2006 23:37,,,32.816,-117.3103333,SMC,SMC,,,HZ,,,,,,,,,1,SMC,,6,40,5,,,,,,,1.00,,22.00,0,Er,,,,Off,,Off,,1,,,,,,,,,,,,Diving
SB,CalCOFI0602JD,2/3/2006,15:56,2/3/2006 15:56,8:00:00,2/3/2006 23:56,,,32.86533333,-117.3065,SMC,SMC,,,HZ,,,,,,,,,2,SMC,,2,29,5,,,,,,,8.00,7.00,10.00,ND,Tt,,,,Off,,Off,,2,,,,,,,,,,,,Birds associated
SB,CalCOFI0602JD,2/4/2006,7:50,2/4/2006 7:50,8:00:00,2/4/2006 15:50,,,32.82783333,-117.5356667,GSC,SMC,,,HZ,,,,,,,,,3,DLC,,175,65,6,,,,,,,220.00,17.00,240.00,ND,Dd,,,,Off,,Off,,2,,,,,,,,,,,,Birds associated. At atation 93.30
SB,CalCOFI0602JD,2/4/2006,15:01,2/4/2006 15:01,8:00:00,2/4/2006 23:01,,,32.5595,-118.1203333,GSC,SMC,,,,,,,,,,,,4,GSC,,238,188,7,,,,,,,10.00,9.00,11.00,0,Lo,,,,On,,On,,2,,,,,,,,,,,,
SB,CalCOFI0602JD,2/6/2006,16:14,2/6/2006 16:14,8:00:00,2/7/2006 0:14,,,30.2805,-122.717,GSC,SMC,,,,,,,,,,,,5,GSC,,240,210,4,,,,,,,45.00,10.00,55.00,2,Dd,,,,On,,On,,2,5,,,,,,,,,,,
SB,CalCOFI0602JD,2/6/2006,16:46,2/6/2006 16:46,8:00:00,2/7/2006 0:46,,,30.23983333,-122.7996667,GSC,SMC,,,,,,,,,,,,6,SMC,,236,301,6.4,,,,,,,44.00,16.00,48.00,3,Dd,,,,On,,On,,2,5,,,,,,,,,,,
SB,CalCOFI0602JD,2/6/2006,17:15,2/6/2006 17:15,8:00:00,2/7/2006 1:15,,,30.1995,-122.886,GSC,SMC,,,,,,,,,,,,7,SMC,,239,244,4,,,,,,,74.00,12.00,76.00,2,Dd,,,,On,,On,,2,5,,,,,,,,,,,
SB,CalCOFI0602JD,2/7/2006,8:05,2/7/2006 8:05,8:00:00,2/7/2006 16:05,,,30.412,-124.0085,GSC,SMC,,,,,,,,,,,,8,GSC,,243,178,0.6,,,,,,,22.00,12.00,24.00,ND,Ud,,,,Off,,On,,2,,,,,,,,,,,,Possibly offshore Tt.
SB,CalCOFI0602JD,2/7/2006,12:09,2/7/2006 12:09,8:00:00,2/7/2006 20:09,,,30.5395,-123.7605,GSC,SMC,,,,,,,,,,,,9,GSC,,61,331,4,,,,,,,1.00,,11.00,0,Pm,,,,On,,On,,3,,,,,,,,,,,,
SB,CalCOFI0602JD,2/8/2006,7:54,2/8/2006 7:54,8:00:00,2/8/2006 15:54,,,31.567,-121.7088333,GSC,SMC,,,,,,,,,,,,10,GSC,,62,332,2.4,,,,,,,1.00,,,ND,Unid_Cetac,,,,On,,On,,1,,,,,,,,,,,,"Blows but no body seen, rough seas. Unid large whale"
SB,CalCOFI0602JD,2/9/2006,7:31,2/9/2006 7:31,8:00:00,2/9/2006 15:31,,,32.73016667,-119.3296667,GSC,SMC,,,,,,,,,,,,11,SMC,,59,91,1.4,,,,,,,14.00,12.00,16.00,ND,Gg,,,,On,,On,,2,,,,,,,,,,,,Birds associated.
SB,CalCOFI0602JD,2/9/2006,7:55,2/9/2006 7:55,8:00:00,2/9/2006 15:55,,,32.76183333,-119.263,GSC,SMC,,,,,,,,,,,,12,SMC,,64,132,0.8,,,,,,,1.00,,,ND,Unid_Cetac,,,,On,,On,,1, ,,,,,,,,,,,"One blow, no resight. Unid large whale"
SB,CalCOFI0602JD,2/9/2006,8:30,2/9/2006 8:30,8:00:00,2/9/2006 16:30,,,32.76183333,-119.163,GSC,SMC,,,,,,,,,,,,13,SMC,,62,87,1,,,,,,,1.00,,20.00,ND,Unid_Cetac,,,,On,,On,,1, ,,,,,,,,,,,"One rise at horizon, no resight. Unid large whale"
SB,CalCOFI0602JD,2/9/2006,10:40,2/9/2006 10:40,8:00:00,2/9/2006 18:40,,,32.91966667,-118.9386667,GSC,SMC,,,,,,,,,,,,14,SMC,,129,167,1.2,,,,,,,3.00,,,0,Er,,,,Off,,Off,,1, ,,,,,,,,,,,Diving.
SB,CalCOFI0602JD,2/9/2006,13:24,2/9/2006 13:24,8:00:00,2/9/2006 21:24,,,33.02716667,-118.7623333,GSC,SMC,,,,,,,,,,,,15,GSC,,61,8,7,,,,,,,4.00,,,1,Tt,,,,On,,On,,2,,,,,,,,,,,,
SB,CalCOFI0602JD,2/9/2006,13:40,2/9/2006 13:40,8:00:00,2/9/2006 21:40,,,33.049,-118.7101667,GSC,SMC,,,,,,,,,,,,16,GSC,,63,333,,200,,,,,,2.00,,,0,Tt,,,,On,,On,,2,,,,,,,,,,,,
SB,CalCOFI0602JD,2/9/2006,13:41,2/9/2006 13:41,8:00:00,2/9/2006 21:41,,,33.049,-118.7101667,GSC,SMC,,,,,,,,,,,,17,GSC,,63,333,,300,,,,,,4.00,,,0,Lo,,,,On,,On,,2,5,,,,,,,,,,,
SB,CalCOFI0602JD,2/9/2006,13:42,2/9/2006 13:42,8:00:00,2/9/2006 21:42,,,33.05266667,-118.705,GSC,SMC,,,,,,,,,,,,18,GSC,,63,3,,300,,,,,,12.00,,,0,Dsp,,,,On,,On,,2,5,,,,,,,,,,,
SB,CalCOFI0602JD,2/9/2006,13:46,2/9/2006 13:46,8:00:00,2/9/2006 21:46,,,33.05816667,-118.6925,GSC,SMC,,,,,,,,,,,,19,SMC,,63,78,7.2,,,,,,,22.00,,,0,Lo,,,,On,,On,,2,5,,,,,,,,,,,
SB,CalCOFI0602JD,2/9/2006,13:53,2/9/2006 13:53,8:00:00,2/9/2006 21:53,,,33.06433333,-118.6765,GSC,SMC,,,,,,,,,,,,20,GSC,,66,351,7,,,,,,,70.00,60.00,80.00,0,Lo,,,,On,,On,,2,3,,,,,,,,,,,"Some miiling/resting, some bow riding, some feeding."
SB,CalCOFI0602JD,2/9/2006,14:04,2/9/2006 14:04,8:00:00,2/9/2006 22:04,,,33.0775,-118.6425,GSC,SMC,,,,,,,,,,,,21,SMC,,66,131,1,,,,,,,3.00,,,0,Er,,,,On,,On,,1,,,,,,,,,,,,Diving.
SB,CalCOFI0602JD,2/9/2006,14:26,2/9/2006 14:26,8:00:00,2/9/2006 22:26,,,33.10333333,-118.5713333,GSC,SMC,,,,,,,,,,,,22,SMC,,66,71,0.4,,,,,,,320.00,300.00,340.00,0,Dd,,,,On,,On,,2,5,,,,,,,,,,,"With Zc, birds associated."
