SH,CalCOFI0907M2,7/15/2009 5:17:00,,7/15/2009 5:17,8:00:00,7/15/2009 13:17,,,32.8699,-117.4794,KPM,AMH,,,,,,,,,,,,SH1,KPM,,,272,0.1,,,,,,,,,,,SHIP,,,,ON,,ON,,,,,,,,,,,,,,
SH,CalCOFI0907M2,7/15/2009 5:22:00,,7/15/2009 5:22,8:00:00,7/15/2009 13:22,,,32.8636,-117.4948,KPM,AMH,,,,,,,,,,,,SH2,AMH,,,259,0.1,,,,,,,,,,,SHIP,,,,ON,,ON,,,,,,,,,,,,,,
SH,CalCOFI0907M2,7/15/2009 9:05:00,,7/15/2009 9:05,8:00:00,7/15/2009 17:05,,,32.74562073,-117.7173843,KPM,AMH,,,,,,,,,,,,SH3,AMH,,,273,3.8,,,,,,,,,,,SHIP,,,,ON,,ON,,,,,,,,,,,,,,PRIVATE FISHING VESSEL
SB,CalCOFI0907M2,7/15/2009 12:45:00,,7/15/2009 12:45,8:00:00,7/15/2009 20:45,,,32.64358902,-117.9071121,AMH,AMH,,,,,,,,,,,,1,AMH,6,,15,3.4,,,3.4,0.6,6,23,62,48,79,ND,Dsp,,,,OFF,3,ON,,2,,,,,,,,,,,,OFF EFFORT BECAUSE BIRDER NOTIFIED OF SIGHTING BEHIND SHIP AT TIME OF ST.
SE,CalCOFI0907M2,7/15/2009 12:45:00,,7/15/2009 12:45,8:00:00,7/15/2009 20:45,,,32.64358902,-117.9071121,AMH,AMH,,,,,,,,,,,,1,AMH,6,,15,3.4,,,3.4,0.6,6,23,62,48,79,ND,Dsp,,,,OFF,3,ON,,2,,,,,,,,,,,,OFF EFFORT BECAUSE BIRDER NOTIFIED OF SIGHTING BEHIND SHIP AT TIME OF ST.
SB,CalCOFI0907M2,7/15/2009 17:58:00,,7/15/2009 17:58,8:00:00,7/16/2009 1:58,,,32.41624451,-118.3826523,KPM,AMH,,,,,,,,,,,,2,KPM,2,,182,0.5,,,,,,,2,2,3,1,Bm,,,,ON,,ON,,1,,,,,,,,,,,,"SMALLER ANIMAL, POSSIBLE CALF"
SE,CalCOFI0907M2,7/15/2009 18:02:00,,7/15/2009 18:02,8:00:00,7/16/2009 2:02,,,32.41143799,-118.3950348,KPM,AMH,,,,,,,,,,,,2,KPM,2,,123,0.8,,,,,,,2,2,3,1,Bm,,,,ON,,ON,,1,,,,,,,,,,,,LAST SIGHTING OF ANIMAL
SB,CalCOFI0907M2,7/15/2009 18:08:00,,7/15/2009 18:08,8:00:00,7/16/2009 2:08,,,32.40425491,-118.4135056,KPM,AMH,,,,,,,,,,,,3,AMH,2,,261,0.6,,,,,,,1,,,0,Bm,,,,ON,,ON,,1,,,,,,,,,,,,RECORDED IN LOGGER AS SIGHTING 53
SB,CalCOFI0907M2,7/15/2009 18:10:00,,7/15/2009 18:10,8:00:00,7/16/2009 2:10,,,32.40185547,-118.4197083,KPM,AMH,,,,,,,,,,,,4,KPM,2,,187,0.7,,,,,,,1,,,0,Bm,,,,ON,,ON,,1,,,,,,,,,,,,RECORDED IN LOGGER AS SIGHTING 53
SE,CalCOFI0907M2,7/15/2009 18:10:00,,7/15/2009 18:10,8:00:00,7/16/2009 2:10,,,32.40185547,-118.4197083,KPM,AMH,,,,,,,,,,,,4,KPM,2,,187,0.7,,,,,,,1,,,0,Bm,,,,ON,,ON,,1,,,,,,,,,,,,RECORDED IN LOGGER AS SIGHTING 53
