SB,CalCOFI0504NH,4/15/2005,13:55,4/15/2005 13:55,8:00:00,4/15/2005 21:55,,,33.09283,-117.38000,DLC,SMC,,,,,,,,,,,,1,SMC,,335,270,2,,,,,,,8,6,10,ND,Dsp,,,,On,,Off,,1,,,,,,,,,,,,orignal estimate was 8
SP,CalCOFI0504NH,4/15/2005,13:57,4/15/2005 13:57,8:00:00,4/15/2005 21:57,,,33.09850,-117.38350,DLC,SMC,,,,,,,,,,,,1,SMC,,335,232,1.6,,,,,,,15,10,20,ND,Dsp,,,,On,,Off,,1,,,,,,,,,,,,Group is spread out.
SB,CalCOFI0504NH,4/15/2005,14:08,4/15/2005 14:08,8:00:00,4/15/2005 22:08,,,33.12550,-117.40100,DLC,SMC,,,,,,,,,,,,2,SMC,,333,317,2.4,,,,,,,10,,,0,Lo,,,,On,,Off,,1,,,,,,,,,,,,
SB,CalCOFI0504NH,4/15/2005,14:56,4/15/2005 14:56,8:00:00,4/15/2005 22:56,,,33.22733,-117.45683,DLC,SMC,,,,,,,,,,,,3,SMC,,340,83,,400,,,,,,5,,,0,Lo,,,,On,,Off,,1,,,,,,,,,,,,"Light haze, starting to lift."
SB,CalCOFI0504NH,4/15/2005,15:47,4/15/2005 15:47,8:00:00,4/15/2005 23:47,,,33.22317,-117.47150,DLC,SMC,,,,,,,,,,,,4,SMC,,168,127,7,,,,,,,5,,,0,Lo,,,,On,,Off,,1,,,,,,,,,,,,
Ship changing course to 270 degrees to avoid navy vessel."
SB,CalCOFI0504NH,4/16/2005,8:12,4/16/2005 8:12,8:00:00,4/16/2005 16:12,,,32.42167,-118.39300,DLC,SMC,,,,,,,,,,,,5,SMC,,242,186,1,,,,,,,5,,,ND,Pm,,,,On,,On,,1,,,,,,,,,,,,
SP,CalCOFI0504NH,4/16/2005,8:15,4/16/2005 8:15,8:00:00,4/16/2005 16:15,,,32.41783,-118.40100,DLC,SMC,,,,,,,,,,,,5,SMC,,242,159,0.8,,,,,,,5,,,ND,Pm,,,,On,,On,,1,,,,,,,,,,,,
SB,CalCOFI0504NH,4/16/2005,9:53,4/16/2005 9:53,8:00:00,4/16/2005 17:53,,,32.34517,-118.55517,DLC,SMC,,,,,,,,,,,,6,SMC,,242,334,2.2,,,,,,,1,,,0,Bp,,,,Off,,On,,6,9,,,,,,,,,,,"Off effort observation while on station.  1 BP sighted and 1 BA was possibly sighted in the area by crew.  However, the latter animal was lost and not confirmed by observers."
SB,CalCOFI0504NH,4/17/2005,14:57,4/17/2005 14:57,8:00:00,4/17/2005 22:57,,,31.02433,-121.28900,DLC,SMC,,,,,,,,,,,,7,SMC,,235,350,,100,,,,,,4,,,0,Dd,,,,On,,On,,2,5,,,,,,,,,,,
