SB,CC1207OS,7/2/2012,19:28,7/2/2012 19:28,7:00:00,7/3/2012 2:28,,,32.60217,-117.36467,KW,AB,G,7,OV,100,0,0,,340,11,2,5,2,KW,1,268,255,2.3,,,,,,,17,13,21,ND,Dc,,,,ON,,OFF,1,2,5,,Y,KW,,,,,,,,
SE,CC1207OS,7/2/2012,19:28,7/2/2012 19:28,7:00:00,7/3/2012 2:28,,,32.60217,-117.36467,KW,AB,G,7,OV,100,0,0,,340,11,2,5,2,KW,1,268,255,2.3,,,,,,,17,13,21,ND,Dc,,,,ON,,OFF,1,2,5,,Y,KW,50d,25,49,,,,,
SB,CC1207OS,7/2/2012,19:28,7/2/2012 19:28,7:00:00,7/3/2012 2:28,,,32.60217,-117.36467,KW,AB,G,7,OV,100,0,0,,340,11,2,5,1,AB,1,268,353,0.8,,,,,,,20,15,30,ND,DSP,,,,ON,,OFF,1,2,8,,,,,,,,,,,
SE,CC1207OS,7/2/2012,19:28,7/2/2012 19:28,7:00:00,7/3/2012 2:28,,,32.60217,-117.36467,KW,AB,G,7,OV,100,0,0,,340,11,2,5,1,AB,1,268,353,0.8,,,,,,,20,15,30,ND,DSP,,,,ON,,OFF,1,2,8,,,,,,,,,,,
SB,CC1207OS,7/2/2012,19:52,7/2/2012 19:52,7:00:00,7/3/2012 2:52,,,32.59333,-117.41767,KW,AB,P,7,OV,100,0,0,,340,11,2,5,3,AB,1,256,270,0.4,,,,,351,12,135,70,170,ND,Tt,,,,ON,,OFF,1,2,5,,,,,,,,,,,large group
SE,CC1207OS,7/2/2012,19:52,7/2/2012 19:52,7:00:00,7/3/2012 2:52,,,32.59333,-117.41767,KW,AB,P,7,OV,100,0,0,,340,11,2,5,3,AB,1,256,270,0.4,,,,,351,12,135,70,170,ND,Tt,,,,ON,,OFF,1,2,5,,,,,,,,,,,large group
SB,CC1207OS,7/3/2012,6:22,7/3/2012 6:22,7:00:00,7/3/2012 13:22,,,32.83650,-117.55183,KW,AB,G,6,OV,100,0,0,,256,1,2,4,4,AB,3,66,66,,400,,,,,,70,50,98,ND,DSP,,,,ON,,ON,,1,5,,,,,,,,,,,retracing line 93 going east
SE,CC1207OS,7/3/2012,6:22,7/3/2012 6:22,7:00:00,7/3/2012 13:22,,,32.83650,-117.55183,KW,AB,G,6,OV,100,0,0,,256,1,2,4,4,AB,3,66,66,,400,,,,,,70,50,98,ND,DSP,,,,ON,,ON,,1,5,,,,,,,,,,,retracing line 93 going east
SB,CC1207OS,7/3/2012,6:47,7/3/2012 6:47,7:00:00,7/3/2012 13:47,,,32.86200,-117.49533,KW,AB,G,6,OV,100,0,0,,256,1,2,4,5,AB,3,59,55,5.7,,,,,,,8,7,10,0,Tt,,,,ON,,ON,,1,,,,,,,,,,,,
SE,CC1207OS,7/3/2012,6:47,7/3/2012 6:47,7:00:00,7/3/2012 13:47,,,32.86200,-117.49533,KW,AB,G,6,OV,100,0,0,,256,1,2,4,5,AB,3,59,55,5.7,,,,,,,8,7,10,0,Tt,,,,ON,,ON,,1,,,,,,,,,,,,
SH,CC1207OS,7/3/2012,7:11,7/3/2012 7:11,7:00:00,7/3/2012 14:11,,,32.89050,-117.44100,KW,AB,G,6,OV,100,0,0,,256,1,2,4,SH1,,,60,144,0.1,,,,,,,,,,,,,,,ON,,ON,,,,,,,,,,,,,,Melville medium ship
SB,CC1207OS,7/3/2012,14:30,7/3/2012 14:30,7:00:00,7/3/2012 21:30,,,32.85800,-117.35583,KW,AB,G,7,OV,76,0,0,,260,5,3,4,6,KW,1,166,182,5.2,,,,,,,5,4,6,0,Tt,,,,OFF,7,OFF,7,2,5,,,,,,,,,,,"1 observer on, transiting to port SD"
SE,CC1207OS,7/3/2012,14:30,7/3/2012 14:30,7:00:00,7/3/2012 21:30,,,32.85800,-117.35583,KW,AB,G,7,OV,76,0,0,,260,5,3,4,6,KW,1,166,182,5.2,,,,,,,5,4,6,0,Tt,,,,OFF,7,OFF,7,2,5,,,,,,,,,,,"1 observer on, transiting to port SD"
SB,CC1207OS,7/3/2012,16:25,7/3/2012 16:25,7:00:00,7/3/2012 23:25,,,32.61967,-117.27383,AB,KW,G,7,OV,100,0,0,,260,4,2,3,7,KW,1,124,67,1,,,,,,,21,16,23,1,Dc,,,,OFF,,OFF,7,8,1,,Y,KW,50D,51,94,,,,,transiting to port SD
SE,CC1207OS,7/3/2012,16:25,7/3/2012 16:25,7:00:00,7/3/2012 23:25,,,32.61967,-117.27383,AB,KW,G,7,OV,100,0,0,,260,4,2,3,7,KW,1,124,67,1,,,,,,,21,16,23,1,Dc,,,,OFF,,OFF,7,8,1,,Y,KW,50D,51,94,,,,,transiting to port SD
SB,CC1207OS,7/10/2012,6:12,7/10/2012 6:12,7:00:00,7/10/2012 13:12,,,33.14000,-117.53833,AB,KW,F,5,MI,100,0,0,,221,4,2,4,8,AB,3,218,193,1.2,,,,,54,288,69,49,87,1,Tt,Gg,97,3,ON,,OFF,7,1,5,,Y,KW,50d,96,115,AB,40D,5,5,"1 Tt calf; 2 grampus mixed in with Tt, not side by side with them.  2 photos in sighting number 8 frames ; Gg originally called sighting #9.  0 Gg calves."
SE,CC1207OS,7/10/2012,6:12,7/10/2012 6:12,7:00:00,7/10/2012 13:12,,,33.14000,-117.53833,AB,KW,F,5,MI,100,0,0,,221,4,2,4,8,AB,3,218,193,1.2,,,,,54,288,69,49,87,1,Tt,Gg,97,3,ON,,OFF,7,1,5,,Y,KW,50d,96,115,AB,40D,5,5,"1 Tt calf; 2 grampus mixed in with Tt, not side by side with them.  2 photos in sighting number 8 frames ; Gg originally called sighting #9.  0 Gg calves."
SB,CC1207OS,7/10/2012,7:46,7/10/2012 7:46,7:00:00,7/10/2012 14:46,,,32.94450,-117.67400,KW,AB,F,6,OV,100,0,0,,226,5,2,5,10,KW,1,218,218,3,,,,,,,10,7,12,1,DSP,,,,ON,,OFF,7,1,5,,,,,,,,,,,
SE,CC1207OS,7/10/2012,7:46,7/10/2012 7:46,7:00:00,7/10/2012 14:46,,,32.94450,-117.67400,KW,AB,F,6,OV,100,0,0,,226,5,2,5,10,KW,1,218,218,3,,,,,,,10,7,12,1,DSP,,,,ON,,OFF,7,1,5,,,,,,,,,,,
SB,CC1207OS,7/10/2012,9:03,7/10/2012 9:03,7:00:00,7/10/2012 16:03,,,32.78150,-117.79900,AB,KW,F,6,PC,70,110,140,SL,296,7,3,5,11,KW,2,221,266,0.6,,,,,,,1,1,1,0,Bm,,,,ON,,OFF,7,1,34,,,,,,,,,,,
