SB,CalCOFI0610RR,10/21/2006,9:49,10/21/2006 9:49,8:00:00,10/21/2006 17:49,,,32.93200,-117.31000,AMH,ABD,,,,,,,,,,,,1,AMH,,10,334,3.2,740,,,,,,1,,,0,Pd,,,,ON,,OFF,,2,,,,,,,,,,,,
SB,CalCOFI0610RR,10/21/2006,16:32,10/21/2006 16:32,8:00:00,10/22/2006 0:32,,,33.13633,-117.44217,AMH,ABD,,,,,,,,,,,,2,ABD,,170,245,0.5,3090,,,,,,50,,,ND,UD,,,,OFF,,OFF,,0,,,,,,,,,,,,"PELICANS FEEDING IN AREA, DOLPHINS SPLASHING"
SB,CalCOFI0610RR,10/22/2006,10:17,10/22/2006 10:17,8:00:00,10/22/2006 18:17,,,32.46100,-118.32133,AMH,ABD,,,,,,,,,,,,3,ABD,,240,322,3.5,683,,,,,,1,,,0,BP,,,,ON,,ON,,1,,,,,,,,,,,,
SB,CalCOFI0610RR,10/22/2006,16:10,10/22/2006 16:10,8:00:00,10/23/2006 0:10,,,32.18017,-118.89317,ABD,ABD,,,,,,,,,,,,4,ABD,,280,290,0.5,3090,,,,,,50,20,100,ND,UD,,,,OFF,,OFF,,,,,,,,,,,,,,ACOUSTICS HEARD ON SONABUOY 
SB,CalCOFI0610RR,10/25/2006,8:50,10/25/2006 8:50,8:00:00,10/25/2006 16:50,,,31.40600,-122.01450,AMH,ABD,,,,,,,,,,,,5,AMH,,60,15,,300,,,,,,67,50,78,ND,DD,,,,ON,,ON,,1,5,,,AMH,A,272,289,,,,,ABOUT HALF OF THE GROUP APPROACHED THE BOAT TO BOW RIDE DOLPHINS INITIALLY SEEN AT ABOUT 2 RETICLES
SP,CalCOFI0610RR,10/25/2006,9:04,10/25/2006 9:04,8:00:00,10/25/2006 17:04,,,31.41833,-121.99050,AMH,ABD,,,,,,,,,,,,5,AMH,,320,320,2,1112,,,,,,78,,,,DD,,,,ON,,OFF,,,,,,,,,,,,,,DOLPHINS MOVING AWAY FROM BOAT
SB,CalCOFI0610RR,10/25/2006,13:49,10/25/2006 13:49,8:00:00,10/25/2006 21:49,,,31.60933,-121.60267,ABD,AMH,G,8,PC,60,,,,,,3,9,6,ABD,,64,354,,100,,,,,,25,20,28,0,DD,,,,ON,,ON,,1,5,,,,,,,,,,,
SB,CalCOFI0610RR,10/26/2006,7:50,10/26/2006 7:50,8:00:00,10/26/2006 15:50,,,32.60583,-119.57317,AMH,ABD,,,,,,,,,,,,7,AMH,,60,50,4,605,,,,,,10,9,12,0,DD,,,,ON,,ON,,1,5,,,,,,,,,,,MOST OF DORSAL FINS HAD LARGE PATCHES OF WHITE
SB,CalCOFI0610RR,10/26/2006,8:00,10/26/2006 8:00,8:00:00,10/26/2006 16:00,,,32.61967,-119.53567,AMH,ABD,,,,,,,,,,,,8,AMH,,60,300,4,605,,,,,,1,,,0,BM,,,,ON,,ON,,1,,,,,,,,,,,,BEHIND SHIP
SB,CalCOFI0610RR,10/26/2006,9:16,10/26/2006 9:16,8:00:00,10/26/2006 17:16,,,32.64717,-119.47233,,,,,,,,,,,,,,9,ABD,,350,100,2.5,919,,,,,,20,18,26,ND,DD,,,,OFF,,OFF,,2,,,,,,,,,,,,"POSSIBLE FEEDING, BIRDS IN AREA"
