SB,CalCOFI1511OC,10/25/2015,10:03,10/25/2015 10:03,8:00:00,10/25/2015 18:03,,,44.41283,-124.18900,KW,JT,UX,0.75,LR,100,0,0,0,210,32,6,8,1,KW,2,196,180,,800,,,,,,1,1,2,0,ULW,,,,On,,Off,7,1,,,,,,,,,,,,Most likely blue whale by blow size.
SE,CalCOFI1511OC,10/25/2015,10:03,10/25/2015 10:03,8:00:00,10/25/2015 18:03,,,44.41283,-124.18900,KW,JT,UX,0.75,LR,100,0,0,0,210,32,6,8,1,KW,2,196,180,,800,,,,,,1,1,2,0,ULW,,,,On,,Off,7,1,,,,,,,,,,,,Most likely blue whale by blow size.
SB,CalCOFI1511OC,10/26/2015,11:19,10/26/2015 11:19,8:00:00,10/26/2015 19:19,,,40.07733,-124.42983,KW,JT,F,5,CL,20,85,120,SE,28,6,2,5,2,KW,2,160,130,0.7,,,,,,,1,1,1,0,ULW,,,,On,,Off,7,1,,,,,,,,,,,,
SE,CalCOFI1511OC,10/26/2015,11:19,10/26/2015 11:19,8:00:00,10/26/2015 19:19,,,40.07733,-124.42983,KW,JT,F,5,CL,20,85,120,SE,28,6,2,5,2,KW,2,160,130,0.7,,,,,,,1,1,1,0,ULW,,,,On,,Off,7,1,,,,,,,,,,,,
SB,CalCOFI1511OC,10/26/2015,11:33,10/26/2015 11:33,8:00:00,10/26/2015 19:33,,,40.04033,-124.41367,KW,JT,F,5,CL,20,85,120,SE,28,6,2,5,3,KW,1,160,125,0.2,,,0.2,3,110,150,285,230,330,8,Lb,Lo,85,15,On,,Off,7,1,5,8,Y,JT,60D,1,1,,,,,Mixed species group. All calves LB.
SE,CalCOFI1511OC,10/26/2015,11:33,10/26/2015 11:33,8:00:00,10/26/2015 19:33,,,40.04033,-124.41367,KW,JT,F,5,CL,20,85,120,SE,28,6,2,5,3,KW,1,160,125,0.2,,,0.2,3,110,150,285,230,330,8,Lb,Lo,85,15,On,,Off,7,1,5,8,Y,JT,60D,1,1,,,,,Mixed species group. All calves LB.
SB,CalCOFI1511OC,10/26/2015,11:33,10/26/2015 11:33,8:00:00,10/26/2015 19:33,,,40.04033,-124.41367,KW,JT,F,5,CL,20,85,120,SE,28,6,2,5,5,JT,2,160,125,0.2,,,,,,,1,1,1,0,ULW,,,,On,,Off,7,1,,,,,,,,,,,,"No sighting #4 (previous mixed species encounter was combined, after originally being designated sightings #3 and #4)."
SE,CalCOFI1511OC,10/26/2015,11:33,10/26/2015 11:33,8:00:00,10/26/2015 19:33,,,40.04033,-124.41367,KW,JT,F,5,CL,20,85,120,SE,28,6,2,5,5,JT,2,160,125,0.2,,,,,,,1,1,1,0,ULW,,,,On,,Off,7,1,,,,,,,,,,,,"No sighting #4 (previous mixed species encounter was combined, after originally being designated sightings #3 and #4)."
SB,CalCOFI1511OC,10/26/2015,12:00,10/26/2015 12:00,8:00:00,10/26/2015 20:00,,,39.95800,-124.37600,KW,JT,F,5,CL,20,85,120,M,28,6,2,4,6,JT,2,160,190,0.6,,,,,,,1,1,1,0,ULW,,,,On,,Off,7,1,,,,,,,,,,,,
SE,CalCOFI1511OC,10/26/2015,12:00,10/26/2015 12:00,8:00:00,10/26/2015 20:00,,,39.95800,-124.37600,KW,JT,F,5,CL,20,85,120,M,28,6,2,4,6,JT,2,160,190,0.6,,,,,,,1,1,1,0,ULW,,,,On,,Off,7,1,,,,,,,,,,,,
