SB,CalCOFI1501NH,1/15/2015,8:54,1/15/2015 8:54,8:00,1/15/2015 16:54,,,32.64750,-117.22900,KW,KR,G,7,CL,0,120,135,SE,200,5,2,2,1,KW,3,210,180,0.6,,,,,,,35,30,50,ND,UD,,,,On,,Off,1,1,,,,,,,,,,,,Two groups
SE,CalCOFI1501NH,1/15/2015,8:54,1/15/2015 8:54,8:00,1/15/2015 16:54,,,32.64750,-117.22900,KW,KR,G,7,CL,0,120,135,SE,200,5,2,2,1,KW,3,210,180,0.6,,,,,,,35,30,50,ND,UD,,,,On,,Off,1,1,,,,,,,,,,,,Two groups
SH,CalCOFI1501NH,1/15/2015,9:48,1/15/2015 9:48,8:00,1/15/2015 17:48,,,32.64833,-117.27783,KW,KR,,,,,,,,,,,,SH1,,,323,340,0.2,,,,,,,,,,,,,,,On,,Off,1,,,,,,,,,,,,,
SB,CalCOFI1501NH,1/15/2015,11:17,1/15/2015 11:17,8:00,1/15/2015 19:17,,,32.96167,-117.30633,KW,KR,G,7,CL,0,0,0,0,345,7,3,2,2,KW,2,20,5,0.2,,,,,,,1,1,2,ND,Er,,,,On,,Off,1,1,34,,,,,,,,,,,
SE,CalCOFI1501NH,1/15/2015,11:17,1/15/2015 11:17,8:00,1/15/2015 19:17,,,32.96167,-117.30633,KW,KR,G,7,CL,0,0,0,0,345,7,3,2,2,KW,2,20,5,0.2,,,,,,,1,1,2,ND,Er,,,,On,,Off,1,1,34,,,,,,,,,,,
SB,CalCOFI1501NH,1/15/2015,13:28,1/15/2015 13:28,8:00,1/15/2015 21:28,,,32.97567,-117.31950,KW,KR,G,7,CL,0,170,225,SE,320,5,3,2,3,KW,3,120,58,,70,,,,,,157,145,170,0,Dc,,,,On,,Off,1,"1, 8","2, 5",,,KW,50D,1,21,,,,,
SE,CalCOFI1501NH,1/15/2015,13:28,1/15/2015 13:28,8:00,1/15/2015 21:28,,,32.97567,-117.31950,KW,KR,G,7,CL,0,170,225,SE,320,5,3,2,3,KW,3,120,58,,70,,,,,,157,145,170,0,Dc,,,,On,,Off,1,"1, 8","2, 5",,,KW,50D,1,21,,,,,
SB,CalCOFI1501NH,1/15/2015,14:24,1/15/2015 14:24,8:00,1/15/2015 22:24,,,32.96667,-117.30717,KW,KR,G,7,CL,0,200,250,SE,320,5,3,2,4,KW,3,10,5,1.2,,,,,,,1,1,1,0,Er,,,,On,,Off,1,1,,,,,,,,,,,,
SE,CalCOFI1501NH,1/15/2015,14:24,1/15/2015 14:24,8:00,1/15/2015 22:24,,,32.96667,-117.30717,KW,KR,G,7,CL,0,200,250,SE,320,5,3,2,4,KW,3,10,5,1.2,,,,,,,1,1,1,0,Er,,,,On,,Off,1,1,,,,,,,,,,,,
SB,CalCOFI1501NH,1/15/2015,14:25,1/15/2015 14:25,8:00,1/15/2015 22:25,,,32.99217,-117.32183,KW,KR,G,7,CL,0,200,250,SE,320,5,3,2,5,KW,2,240,245,1,,,,,,,1,1,1,0,Er,,,,On,,Off,1,1,,,,,,,,,,,,
