SB,CalCOFI1011NH,10/28/2010,,10/28/2010 10:45,8:00:00,10/28/2010 18:45,,,32.95833,-117.30867,KW,KW,,,,,,,,,,,,1,KW,1,326,276,5,,,2.0,12.0,0.0,360.0,350,300,450,17,DSP,,,,OFF,5,ON,,2,8,,Y,KW,DIG,1,17,,,,,ANIMALS SURROUNDING SHIP. PHOTOS MAY REVEAL SPP ID.
SE,CalCOFI1011NH,10/28/2010,,10/28/2010 10:45,8:00:00,10/28/2010 18:45,,,32.95833,-117.30867,KW,KW,,,,,,,,,,,,1,KW,1,326,276,5,,,2.0,12.0,0.0,360.0,350,300,450,17,DSP,,,,OFF,5,ON,,2,8,,Y,KW,DIG,1,17,,,,,ANIMALS SURROUNDING SHIP. PHOTOS MAY REVEAL SPP ID.
SB,CalCOFI1011NH,10/28/2010,,10/28/2010 13:19,8:00:00,10/28/2010 21:19,,,33.02233,-117.37267,KW,DC,,,,,,,,,,,,2,KW,1,310,230,0.3,,,,,,,30,25,60,ND,UD,,,,ON,,ON,,8,2,,,,,,,,,,,SMALL DOLPHIN
SE,CalCOFI1011NH,10/28/2010,,10/28/2010 13:19,8:00:00,10/28/2010 21:19,,,33.02233,-117.37267,KW,DC,,,,,,,,,,,,2,KW,1,310,230,0.3,,,,,,,30,25,60,ND,UD,,,,ON,,ON,,8,2,,,,,,,,,,,SMALL DOLPHIN
SB,CalCOFI1011NH,10/28/2010,,10/28/2010 13:27,8:00:00,10/28/2010 21:27,,,33.07333,-117.38133,KW,DC,,,,,,,,,,,,3,KW,1,337,270,0.2,,,,,,,80,68,100,ND,UD,,,,ON,,ON,,2,8,,,,,,,,,,,PROBABLY DSP.
SE,CalCOFI1011NH,10/28/2010,,10/28/2010 13:27,8:00:00,10/28/2010 21:27,,,33.07333,-117.38133,KW,DC,,,,,,,,,,,,3,KW,1,337,270,0.2,,,,,,,80,68,100,ND,UD,,,,ON,,ON,,2,8,,,,,,,,,,,PROBABLY DSP.
SB,CalCOFI1011NH,10/28/2010,,10/28/2010 13:53,8:00:00,10/28/2010 21:53,,,33.14167,-117.48250,KW,DC,,,,,,,,,,,,4,KW,1,333,265,0.3,,,,,,,25,18,40,ND,UD,,,,ON,,ON,,8,2,,,,,,,,,,,PROBABLY DSP.
SE,CalCOFI1011NH,10/28/2010,,10/28/2010 13:53,8:00:00,10/28/2010 21:53,,,33.14167,-117.48250,KW,DC,,,,,,,,,,,,4,KW,1,333,265,0.3,,,,,,,25,18,40,ND,UD,,,,ON,,ON,,8,2,,,,,,,,,,,PROBABLY DSP.
SB,CalCOFI1011NH,10/28/2010,,10/28/2010 17:00,8:00:00,10/29/2010 1:00,,,32.91862,-117.39399,KW,DC,,,,,,,,,,,,8,KW,3,244,167,1,,,,,,,5,4,5,ND,ZICA,,,,ON,,ON,,1,,,,,,,,,,,,Brief surfacing. Slow roll and down again.
SE,CalCOFI1011NH,10/28/2010,,10/28/2010 17:00,8:00:00,10/29/2010 1:00,,,32.91862,-117.39399,KW,DC,,,,,,,,,,,,8,KW,3,244,167,1,,,,,,,5,4,5,ND,ZICA,,,,ON,,ON,,1,,,,,,,,,,,,Brief surfacing. Slow roll and down again.
