SB,CalCOFI0604NH,4/1/2006,14:44,4/1/2006 14:44,8:00:00,4/1/2006 22:44,,,33.05817,-117.34767,ABD,DLC,,,,,,,,,,,,1,ABD,,323,278,1,,,,,,,1,,,0,Unid_Cetac,,,,On,,Off,,UNK,,,,,,,,,,,,"BLOW SEEN, unid whale"
SB,CalCOFI0604NH,4/1/2006,15:08,4/1/2006 15:08,8:00:00,4/1/2006 23:08,,,33.12167,-117.38417,ABD,DLC,,,,,,,,,,,,2,DLC,,320,19,2,,,,,,,35,30,45,1,Dd,,,,On,,Off,,2,,,,,,,,,,,,GROUPS TRAVELING
SB,CalCOFI0604NH,4/2/2006,6:16,4/2/2006 6:16,8:00:00,4/2/2006 14:16,,,32.65283,-117.97217,DLC,ABD,E,10,PC,35,,,,,,2,3,3,ABD,,60,195,1.4,,,,,,,1,,,0,Unid_Cetac,,,,On,,Off,,1,,,,,,,,,,,,Unid whale
SB,CalCOFI0604NH,4/2/2006,6:37,4/2/2006 6:37,8:00:00,4/2/2006 14:37,,,32.61567,-118.00000,DLC,ABD,,,,,,,,,,,,4,DLC,,225,163,1.6,,,,,,,15,12,17,0,Gg,,,,On,,On,,1,,,,,,,,,,,,
SB,CalCOFI0604NH,4/2/2006,7:07,4/2/2006 7:07,8:00:00,4/2/2006 15:07,,,32.53500,-118.07917,DLC,ABD,,,,,,,,,,,,5,ABD,,225,290,1.2,,,,,,,1,,,0,Bp,,,,On,,On,,2,,,,,,,,,,,,
SB,CalCOFI0604NH,4/2/2006,8:30,4/2/2006 8:30,8:00:00,4/2/2006 16:30,,,32.51217,-118.19883,DLC,DLC,,,,,,,,,,,,6,DLC,,279,359,,400,,,,,,3,2,3,0,Dsp,,,,Off,,On,,1,,,,,,,,,,,,
SB,CalCOFI0604NH,4/2/2006,11:59,4/2/2006 11:59,8:00:00,4/2/2006 19:59,,,32.38067,-118.48683,DLC,DLC,,,,,,,,,,,,7,DLC,,231,281,7,,,,,,,4,,,0,Pd,,,,Off,,On,,1,,,,,,,,,,,,"ANIMALS TRAVELED TOWARD BOAT, AT 200M CHANGED DIRECTION AND TRAVELED DOWN STBD SIDE"
SB,CalCOFI0604NH,4/2/2006,12:44,4/2/2006 12:44,8:00:00,4/2/2006 20:44,,,32.34833,-118.55450,ABD,DLC,,,,,,,,,,,,8,DLC,,286,334,1.4,,,,,,,1,,,0,Bbo/Be,,,,Off,,On,,1,,,,,,,,,,,,VERY LITTLE BLOW VISIBLE. SHARP DORSAL FIN VISIBLE AT SAME TIME AS BACK
SB,CalCOFI0604NH,4/2/2006,13:38,4/2/2006 13:38,8:00:00,4/2/2006 21:38,,,32.34733,-118.55400,ABD,DLC,,,,,,,,,,,,9,DLC,,284,299,0.4,,,,,,,3,,,0,Zica,,,,Off,,On,,1,,,,,,,,,,,,"INITIAL SIGHTING WAS OF 2 UNIDENTIFIED WHALES, LIKELY ZIPHIUS"
SP,CalCOFI0604NH,4/2/2006,14:03,4/2/2006 14:03,8:00:00,4/2/2006 22:03,,,32.35017,-118.56283,ABD,DLC,,,,,,,,,,,,9,DLC,,278,313,1.6,,,,,,,3,,,0,Zica,,,,Off,,On,,1,,,,,,,,,,,,
