SB,CalCOFI0911NH,,,11/6/2009 13:55,8:00:00,11/6/2009 21:55,,,32.99191,-117.30401,JK,KW,G,5,PC,45,,,SL,,,2,2,1,KW,1,310,330,,175,,,,,,3,3,4,0,Tt,,,,ON,,OFF,,4,,,,,,,,,,,,
SE,CalCOFI0911NH,,,11/6/2009 13:55,8:00:00,11/6/2009 21:55,,,32.99191,-117.30401,JK,KW,G,5,PC,45,,,SL,,,2,2,1,KW,1,310,,,175,,,,,,3,3,4,0,Tt,,,,ON,,OFF,,4,,,,,,,,,,,,
SB,CalCOFI0911NH,,,11/6/2009 15:21,8:00:00,11/6/2009 23:21,,,33.19738,-117.43264,JK,KW,G,5,PC,45,,,SL,,,3,3,2,JK,1,320,335,2,,,,,,,13,10,17,ND,Lo,,,,ON,,OFF,,2,4,,,,,,,,,,,
SE,CalCOFI0911NH,,,11/6/2009 15:21,8:00:00,11/6/2009 23:21,,,33.19738,-117.43264,JK,KW,G,5,PC,45,,,SL,,,3,3,2,JK,1,320,,2,,,,,,,13,10,17,ND,Lo,,,,ON,,OFF,,2,4,,,,,,,,,,,
SB,CalCOFI0911NH,,,11/7/2009 9:07,8:00:00,11/7/2009 17:07,,,32.46658,-118.32451,KW,JK,F,5,PC,89,,,SL,,,3,5,3,KW,1,261,240,0.5,,,,,,,35,25,60,ND,Dsp,,,,ON,,ON,,2,,,,,,,,,,,,Most likely to be Dc
SE,CalCOFI0911NH,,,11/7/2009 9:07,8:00:00,11/7/2009 17:07,,,32.46658,-118.32451,KW,JK,F,5,PC,89,,,SL,,,3,5,3,KW,1,261,,0.5,,,,,,,35,25,60,ND,Dsp,,,,ON,,ON,,2,,,,,,,,,,,,Most likely to be Dc
SB,CalCOFI0911NH,,,11/7/2009 13:11,8:00:00,11/7/2009 21:11,,,32.33358,-118.62228,JK,KW,F,5,PC,89,,,SL,,,4,6,4,KW,2,193,235,1.3,,,,,,,1,1,1,ND,ULW,,,,ON,,ON,,1,,,,,,,,,,,,Possibly Bp
SE,CalCOFI0911NH,,,11/7/2009 13:11,8:00:00,11/7/2009 21:11,,,32.33358,-118.62228,JK,KW,F,5,PC,89,,,SL,,,4,6,4,KW,2,193,,1.3,,,,,,,1,1,1,ND,ULW,,,,ON,,ON,,1,,,,,,,,,,,,Possibly Bp
SB,CalCOFI0911NH,,,11/8/2009 13:15,8:00:00,11/8/2009 21:15,,,31.23082,-120.79244,JK,KW,UX,4,PC,15,,,SL,,,6,12,5,JK,2,150,240,2,,,,,,,1,1,1,ND,ULW,,,,OFF,2A,ON,,0,,,,,,,,,,,,ULW off effort yet on watch.  Beaufort 6
SE,CalCOFI0911NH,,,11/8/2009 13:15,8:00:00,11/8/2009 21:15,,,31.23082,-120.79244,JK,KW,UX,4,PC,15,,,SL,,,6,12,5,JK,2,150,,2,,,,,,,1,1,1,ND,ULW,,,,OFF,2A,ON,,0,,,,,,,,,,,,ULW off effort yet on watch.  Beaufort 6
SB,CalCOFI0911NH,,,11/8/2009 13:20,8:00:00,11/8/2009 21:20,,,31.22370,-120.80541,JK,KW,UX,4,PC,15,,,M,,,6,12,6,KW,3,225,240,,10,,,,,,17,7,25,1,Dd,,,,OFF,2A,ON,,5,,,,,,,,,,,,Dd off effort yet on watch Beaufort 6
SE,CalCOFI0911NH,,,11/8/2009 13:20,8:00:00,11/8/2009 21:20,,,31.22370,-120.80541,JK,KW,UX,4,PC,15,,,M,,,6,12,6,KW,3,225,,,10,,,,,,17,7,25,1,Dd,,,,OFF,2A,ON,,5,,,,,,,,,,,,Dd off effort yet on watch Beaufort 6
SB,CalCOFI0911NH,,,11/11/2009 8:02,8:00:00,11/11/2009 16:02,,,32.08444,-120.64007,KW,JK,F,1,OV,100,,,SL,,,2,4,8,KW,6,0,315,,5,,,,,,27,,,0,Dd,,,,OFF,1,ON,,5,1,,,,,,,,,,,On station #70.  Off effort.  Sonobouy deloyed.
SE,CalCOFI0911NH,,,11/11/2009 8:02,8:00:00,11/11/2009 16:02,,,32.08444,-120.64007,KW,JK,F,1,OV,100,,,SL,,,2,4,8,KW,6,0,,,5,,,,,,27,,,0,Dd,,,,OFF,1,ON,,5,1,,,,,,,,,,,On station #70.  Off effort.  Sonobouy deloyed.
SB,CalCOFI0911NH,,,11/11/2009 12:31,8:00:00,11/11/2009 20:31,,,32.29434,-120.22048,KW,JK,F,1,OV,95,,,NG,,,2,4,12,JK,3,10,60,,100,,,,,,5,,,2,Dd,,,,ON,,ON,,2,5,,,,,,,,,,,
