SB,CalCOFI0901NH,1/8/2009,,1/8/2009 8:14,8:00,1/8/2009 16:14,,,32.75820,-117.71310,AMH,DLC,,,,,,,,,,,,1,AMH,2,,245,0.3,,,,,,,1,,,0,Mn,,,,ON,,ON,,0,,,,,,,,,,,,
SE,CalCOFI0901NH,1/8/2009,,1/8/2009 8:24,8:00,1/8/2009 16:24,,,32.74430,-117.74130,AMH,DLC,,,,,,,,,,,,1,AMH,2,,132,3.5,,,,,,,1,,,0,Mn,,,,ON,,ON,,0,,,,,,,,,,,,
SB,CalCOFI0901NH,1/8/2009,,1/8/2009 11:49,8:00,1/8/2009 19:49,,,32.64217,-117.95667,AMH,DLC,,,,,,,,,,,,2,DLC,2,,311,0.4,,,,,,,1,,,0,ULW,,,,ON,,ON,,0,,,,,,,,,,,,NO BODY SEEN
SE,CalCOFI0901NH,1/8/2009,,1/8/2009 11:49,8:00,1/8/2009 19:49,,,32.64217,-117.95667,AMH,DLC,,,,,,,,,,,,2,DLC,,,,,,,,,,,1,,,0,ULW,,,,ON,,ON,,0,,,,,,,,,,,,
SB,CalCOFI0901NH,1/8/2009,,1/8/2009 11:54,8:00,1/8/2009 19:54,,,32.63650,-117.96750,AMH,DLC,,,,,,,,,,,,3,DLC,2,,231,0.4,,,,,,,2,,,0,Mn,,,,ON,,ON,,9,34,,,,,,,,,,,FLUKE UP DIVE
SP,CalCOFI0901NH,1/8/2009,,1/8/2009 11:57,8:00,1/8/2009 19:57,,,32.63200,-117.97567,AMH,DLC,,,,,,,,,,,,3,DLC,2,,236,1.3,,,,,,,2,,,0,Mn,,,,ON,,ON,,9,,,,,,,,,,,,
SB,CalCOFI0901NH,1/8/2009,,1/8/2009 12:01,8:00,1/8/2009 20:01,,,32.62717,-117.98483,AMH,DLC,,,,,,,,,,,,4,AMH,2,,202,0.2,,,,,,,2,,,0,Mn,,,,ON,,ON,,0,,,,,,,,,,,,"USING HIGH POWERS, SAW DORSAL BUT NOT MUCH ELSE"
SE,CalCOFI0901NH,1/8/2009,,1/8/2009 12:05,8:00,1/8/2009 20:05,,,32.62000,-117.99833,AMH,DLC,,,,,,,,,,,,3,AMH,2,,121,4.8,,,,,,,2,,,0,Mn,,,,ON,,ON,,9,34,,,,,,,,,,,FLUKE UP DIVE
SE,CalCOFI0901NH,1/8/2009,,1/8/2009 12:07,8:00,1/8/2009 20:07,,,32.61817,-118.00183,AMH,DLC,,,,,,,,,,,,4,DLC,2,,165,0.3,,,,,,,2,,,0,Mn,,,,ON,,ON,,0,,,,,,,,,,,,
SB,CalCOFI0901NH,1/10/2009,,1/10/2009 10:31,8:00,1/10/2009 18:31,,,30.43267,-122.41917,AMH,DLC,,,,,,,,,,,,5A,AMH,1,,252,1.8,,,,,,,12,10,15,0,Dd,,,,ON,,ON,,2,5,,,,,,,,,,,CHORUS LINE; ALL SIGHTINGS 5A-5F PART OF LARGE SUPERPOD. NUMBERS ARE TOTALED TO REPRESENT ONE SIGHTING.
