SB,CalCOFI1411NH,11/8/2014,10:26,11/8/2014 10:26,8:00:00,11/8/2014 18:26,,,32.81183,-117.33667,KW,RG,G,7,CL,0,0,0,0,25,4,2,2,1,KW,1,352,309,0.4,,,,,,,26,22,30,ND,Dsp,,,,On,,Off,1,8,2,,,,,,,,,,,
SE,CalCOFI1411NH,11/8/2014,10:26,11/8/2014 10:26,8:00:00,11/8/2014 18:26,,,32.81183,-117.33667,KW,RG,G,7,CL,0,0,0,0,25,4,2,2,1,KW,1,352,309,0.4,,,,,,,26,22,30,ND,Dsp,,,,On,,Off,1,8,2,,,,,,,,,,,
SB,CalCOFI1411NH,11/8/2014,11:20,11/8/2014 11:20,8:00:00,11/8/2014 19:20,,,32.94150,-117.28767,KW,RG,G,7,CL,0,0,0,0,25,4,2,2,2,KW,3,30,30,,800,,,,,,4,3,7,1,Lo,,,,On,,Off,1,1,,,,,,,,,,,,
SE,CalCOFI1411NH,11/8/2014,11:20,11/8/2014 11:20,8:00:00,11/8/2014 19:20,,,32.94150,-117.28767,KW,RG,G,7,CL,0,0,0,0,25,4,2,2,2,KW,3,30,30,,800,,,,,,4,3,7,1,Lo,,,,On,,Off,1,1,,,,,,,,,,,,
SB,CalCOFI1411NH,11/8/2014,15:34,11/8/2014 15:34,8:00:00,11/8/2014 23:34,,,33.02200,-117.35750,KW,AS,G,7,CL,0,230,260,SE,260,4,2,3,3,KW,3,340,345,0.2,,,,,,,140,130,164,15,Dc,,,,On,,Off,1,2,8,5,,,,,,,,,,
SE,CalCOFI1411NH,11/8/2014,15:34,11/8/2014 15:34,8:00:00,11/8/2014 23:34,,,33.02200,-117.35750,KW,AS,G,7,CL,0,230,260,SE,260,4,2,3,3,KW,3,340,345,0.2,,,,,,,140,130,164,15,Dc,,,,On,,Off,1,2,8,5,,,,,,,,,,
SB,CalCOFI1411NH,11/8/2014,16:22,11/8/2014 16:22,8:00:00,11/9/2014 0:22,,,33.14067,-117.41750,KW,AS,G,7,CL,0,230,260,SE,260,4,2,3,4,AS,1,340,348,0.4,,,,,,,23,18,30,ND,Dsp,,,,On,,Off,1,2,,,,,,,,,,,,
SE,CalCOFI1411NH,11/8/2014,16:22,11/8/2014 16:22,8:00:00,11/9/2014 0:22,,,33.14067,-117.41750,KW,AS,G,7,CL,0,230,260,SE,260,4,2,3,4,AS,1,340,348,0.4,,,,,,,23,18,30,ND,Dsp,,,,On,,Off,1,2,,,,,,,,,,,,
SB,CalCOFI1411NH,11/8/2014,16:46,11/8/2014 16:46,8:00:00,11/9/2014 0:46,,,33.20133,-117.44800,KW,AS,G,6,LF,0,240,260,SE,260,4,2,2,5,KW,3,333,290,0.2,,,,,,,11,8,30,ND,UD,,,,On,,Off,1,2,8,,,,,,,,,,,
SE,CalCOFI1411NH,11/8/2014,16:46,11/8/2014 16:46,8:00:00,11/9/2014 0:46,,,33.20133,-117.44800,KW,AS,G,6,LF,0,240,260,SE,260,4,2,2,5,KW,3,333,290,0.2,,,,,,,11,8,30,ND,UD,,,,On,,Off,1,2,8,,,,,,,,,,,
SH,CalCOFI1411NH,11/9/2014,6:23,11/9/2014 6:23,8:00:00,11/9/2014 14:23,,,32.54000,-118.16517,KW,AS,G,7,OV,100,0,0,0,270,6,2,3,SH1,,,235,312,,,,,,,,,,,,,,,,On,,On,,,,,,,,,,,,,,1 Large Ship
SB,CalCOFI1411NH,11/9/2014,8:54,11/9/2014 8:54,8:00:00,11/9/2014 16:54,,,32.49017,-118.27000,KW,RG,G,7,OV,78,0,0,0,285,6,2,4,6,KW,3,285,165,3,,,,,,,1,1,1,0,Mn,,,,On,,On,,8,,,,,,,,,,,,
