SB,CC1604SH,4/1/2016,9:54,4/1/2016 9:54,7:00:00,4/1/2016 16:54,32 38.01,117 13.85,32.6335,-117.2308333,KW,AS,G,5,OV,100,0,0,0,210,5,2,2,1,AS,2,240,224,1,,,,,,,1,1,1,ND,ER,,,,on,,off,1,1,,,,,,,,,,,,
SE,CC1604SH,4/1/2016,9:54,4/1/2016 9:54,7:00:00,4/1/2016 16:54,32 38.01,117 13.85,32.6335,-117.2308333,KW,AS,G,5,OV,100,0,0,0,210,5,2,2,1,AS,2,240,224,1,,,,,,,1,1,1,ND,ER,,,,on,,off,1,1,,,,,,,,,,,,
SB,CC1604SH,4/1/2016,9:58,4/1/2016 9:58,7:00:00,4/1/2016 16:58,32 37.79,117 14.30,32.62983333,-117.2383333,KW,AS,G,5,OV,100,0,0,0,210,5,2,2,2,AS,1,213,220,1.5,,,,,,,12,8,15,ND,DSP,,,,on,,off,1,1,,,,,,,,,,,,
SE,CC1604SH,4/1/2016,9:58,4/1/2016 9:58,7:00:00,4/1/2016 16:58,32 37.79,117 14.30,32.62983333,-117.2383333,KW,AS,G,5,OV,100,0,0,0,210,5,2,2,2,AS,1,213,220,1.5,,,,,,,12,8,15,ND,DSP,,,,on,,off,1,1,,,,,,,,,,,,
SB,CC1604SH,4/1/2016,14:12,4/1/2016 14:12,7:00:00,4/1/2016 21:12,32 56.62,117 19.48,32.94366667,-117.3246667,KW,AS ,g,7,CL,10,0,0,0,280,4,2,2,3,KW,1,70,30,,150,,,,,,35,48,30,ND,DSP,,,,OFF,5,OFF,1,4,5,1,,,,,,,,,,Sightings 3 and 4 were observed on station. 
SE,CC1604SH,4/1/2016,14:12,4/1/2016 14:12,7:00:00,4/1/2016 21:12,32 56.62 ,117 19.48,32.11033333,-117.3246667,KW,AS ,g,7,CL,10,0,0,0,280,4,2,2,3,KW,1,70,30,,150,,,,,,35,48,30,ND,DSP,,,,OFF,5,OFF,1,4,5,1,,,,,,,,,,Sightings 3 and 4 were observed on station. 
SB,CC1604SH,4/1/2016,14:12,4/1/2016 14:12,7:00:00,4/1/2016 21:12,32 56.62,117 19.48,32.94366667,-117.3246667,KW,AS ,g,7,CL,10,0,0,0,280,4,2,2,4,KW,1,70,350,2,,,,,,,1,1,1,0,MN,,,,OFF,5,OFF,1,1,,,,,,,,,,,,Sightings 3 and 4 were observed on station. 
SE,CC1604SH,4/1/2016,14:12,4/1/2016 14:12,7:00:00,4/1/2016 21:12,32 56.62,117 19.48,32.94366667,-117.3246667,KW,AS ,g,7,CL,10,0,0,0,280,4,2,2,4,KW,1,70,350,2,,,,,,,1,1,1,0,MN,,,,OFF,5,OFF,1,1,,,,,,,,,,,,Sightings 3 and 4 were observed on station. 
SB,CC1604SH,4/1/2016,15:17,4/1/2016 15:17,7:00:00,4/1/2016 22:17,32 58.03,117 18.19,32.96716667,-117.3031667,KW,as,g,7,cl,0,240,320,SL,275,6,3,3,5,kw,3,330,280,0.3,,,,,,,1,1,1,0,ULW,,,,On,,OFF,1,1,,,,,,,,,,,,
SE,CC1604SH,4/1/2016,15:17,4/1/2016 15:17,7:00:00,4/1/2016 22:17,32 58.03,117 18.19,32.96716667,-117.3031667,KW,as,g,7,cl,0,240,320,SL,275,6,3,3,5,kw,3,330,280,0.3,,,,,,,1,1,1,0,ULW,,,,On,,OFF,1,1,,,,,,,,,,,,
