SB,CalCOFI0704JD,4/1/2007,12:34,4/1/2007 12:34,8:00:00,4/1/2007 20:34,,,32.59317,-117.33917,GSC,SMC,,,,,,,,,,,,6,GSC,,247,207,2,,,,,,,900,800,1000,1,Dsp,,,,On,,Off,,1,4,,,,,,,,,,,"Large group, spread out. Feeding/diving birds associated. ""Y"" for calf originally--ABD "
SB,CalCOFI0704JD,4/1/2007,13:08,4/1/2007 13:08,8:00:00,4/1/2007 21:08,,,32.55633,-117.43867,GSC,SMC,,,,,,,,,,,,7,GSC,,246,218,0.3,,,,,,,3,,,0,Er,,,,On,,Off,,1,,,,,,,,,,,, 
SB,CalCOFI0704JD,4/1/2007,15:06,4/1/2007 15:06,8:00:00,4/1/2007 23:06,,,32.42917,-117.78267,GSC,SMC,,,,,,,,,,,,8,SMC,,248,313,,200,,,,,,1,,,0,Er,,,,On,,Off,,1,,,,,,,,,,,,
SB,CalCOFI0704JD,4/1/2007,15:26,4/1/2007 15:26,8:00:00,4/1/2007 23:26,,,32.40833,-117.84067,GSC,SMC,,,,,,,,,,,,9,SMC,,244,334,6.5,,,,,,,6,4,8,ND,Lo,,,,On,,Off,,4,,,,,,,,,,,,Birds associated.
SB,CalCOFI0704JD,4/3/2007,9:43,4/3/2007 9:43,8:00:00,4/3/2007 17:43,,,30.18067,-122.91933,GSC,SMC,,,,,,,,,,,,10,SMC,,240,60,,200,,,,,,1,,,ND,Unid_Cetac,,,,Off,,Off,,1,,,,,,,,,,,,Lg. whl spotted by oceanographers near port stern as array being pulled in. Two staff saw small falcated dorsal on large whale: fin/sei?Lg balleen.
SB,CalCOFI0704JD,4/3/2007,11:59,4/3/2007 11:59,8:00:00,4/3/2007 19:59,,,30.20133,-122.92667,GSC,SMC,,,,,,,,,,,,11,SMC,,328,20,,4204,,,,,,1,,,0,Pm,,,,Off,,Off,,3,diving,,,,,,,,,,,On station. Sono buoy heard sperm whale clicks.
SB,CalCOFI0704JD,4/3/2007,13:42,4/3/2007 13:42,8:00:00,4/3/2007 21:42,,,30.06300,-123.16683,GSC,SMC,,,,,,,,,,,,12,SMC,,235,265,,100,,,,,,175,165,185,2,Dd,,,,On,,On,,2,5,,,,,,,,,,,Animals approached from stbd. Bow then from all directions.
SB,CalCOFI0704JD,4/4/2007,9:20,4/4/2007 9:20,8:00:00,4/4/2007 17:20,,,30.91967,-122.99283,GSC,SMC,,,,,,,,,,,,13,GSC,,61,41,0.8,,,,,,,1,,,0,Unid_Cetac,,,,On,,On,,1,,,,,,,,,,,,"Sm, low bushy blow. Fairly lg dorsal(2ft),med grey. Med body size. Possibly pseudorca?? Never had good look."
SB,CalCOFI0704JD,4/4/2007,16:50,4/4/2007 16:50,8:00:00,4/5/2007 0:50,,,31.32267,-122.18317,GSC,SMC,,,,,,,,,,,,14,SMC,,60,72,0.5,,,,,,,29,26,32,0,Lb,,,,On,,On,,2,5,,,,,11,13,,,,,"Lots of breaching, socializing in mixed group with Lo's. Came to ship and bowriding."
SB,CalCOFI0704JD,4/4/2007,16:50,4/4/2007 16:50,8:00:00,4/5/2007 0:50,,,31.32267,-122.18317,GSC,SMC,,,,,,,,,,,,14.5,SMC,,60,72,0.5,,,,,,,55,45,65,0,Lo,,,,On,,On,,2,5,,,,,,,,,,,"Lots of breaching, socializing in mixed group with Lb's. Came to ship and bowriding."
