SB    ,CalCOFI1101NH,1/12/2011,,1/12/2011 13:49,8:00:00,1/12/2011 21:49,,,32.6430,-117.2283,KW,DC,G,6,CL,0,185,220,SE,310,7,3,1,1,KW,2,212,250,0.7,,,,,,,2,2,2,0,ER,,,,ON,,OFF,,1,,,,,,,,,,,,Starboard observer sighted whale while on starboard side.
SE    ,CalCOFI1101NH,1/12/2011,,1/12/2011 14:01,8:00:00,1/12/2011 22:01,,,32.6332,-117.2580,KW,DC,G,6,CL,0,185,220,SE,310,7,3,1,1,KW,2,285,160,2,,,,,,,2,2,2,0,ER,,,,ON,,OFF,,1,,,,,,,,,,,,
SB    ,CalCOFI1101NH,1/12/2011,,1/12/2011 15:22,8:00:00,1/12/2011 23:22,,,32.8097,-117.3397,KW,DC,G,6,CL,0,,,,310,13,3,1,2,KW,2,0,283,0.5,,,,,,,2,2,2,0,BM,,,,ON,,OFF,,1,34,,,,,,,,,,,
SE    ,CalCOFI1101NH,1/12/2011,,1/12/2011 15:22,8:00:00,1/12/2011 23:22,,,32.8097,-117.3397,KW,DC,G,6,CL,0,,,,310,13,3,1,2,KW,2,0,283,0.5,,,,,,,2,2,2,0,BM,,,,ON,,OFF,,1,34,,,,,,,,,,,
SB    ,CalCOFI1101NH,1/12/2011,,1/12/2011 16:18,8:00:00,1/13/2011 0:18,,,32.9455,-117.2833,KW,DC,G,6,CL,0,,,,310,13,3,1,3,KW,1,40,330,0.4,,,,,,,140,80,175,ND   ,DSP,,,,ON,,ON,,8,4,,,,,,,,,,,With birds diving.
SE    ,CalCOFI1101NH,1/12/2011,,1/12/2011 16:18,8:00:00,1/13/2011 0:18,,,32.9455,-117.2833,KW,DC,G,6,CL,0,,,,310,13,3,1,3,KW,1,40,330,0.4,,,,,,,140,80,175,ND   ,DSP,,,,ON,,ON,,8,4,,,,,,,,,,,With birds diving.
SB    ,CalCOFI1101NH,1/13/2011,,1/13/2011 7:03,8:00:00,1/13/2011 15:03,,,32.8193,-117.6282,DC,KW,G,6,HZ,15,,,,80,14,2,2,4,DC,2,233,147,1.1,,,,,,,2,2,2,0,ER,,,,ON,,ON,,1,,,,,,,,,,,,
SE    ,CalCOFI1101NH,1/13/2011,,1/13/2011 7:03,8:00:00,1/13/2011 15:03,,,32.8193,-117.6282,DC,KW,G,6,HZ,15,,,,80,14,2,2,4,DC,2,233,147,1.1,,,,,,,2,2,2,0,ER,,,,ON,,ON,,1,,,,,,,,,,,,
SB    ,CalCOFI1101NH,1/13/2011,,1/13/2011 7:07,8:00:00,1/13/2011 15:07,,,32.8132,-117.6373,DC,KW,G,6,HZ,15,,,,80,14,2,2,5,DC,2,232,171,0.5,,,,,,,4,4,5,0,ER,,,,ON,,ON,,1,34,,,,,,,,,,,
SE    ,CalCOFI1101NH,1/13/2011,,1/13/2011 7:07,8:00:00,1/13/2011 15:07,,,32.8132,-117.6373,DC,KW,G,6,HZ,15,,,,80,14,2,2,5,DC,2,232,171,0.5,,,,,,,4,4,5,0,ER,,,,ON,,ON,,1,34,,,,,,,,,,,
SB    ,CalCOFI1101NH,1/13/2011,,1/13/2011 7:16,8:00:00,1/13/2011 15:16,,,32.7997,-117.6592,KW,KW,G,6,HZ,15,,,,80,14,2,2,6,DC,2,233,142,0.3,,,,,,,1,1,1,0,ER,,,,OFF,,ON,,1,34,,,,,,,,,,,
SE    ,CalCOFI1101NH,1/13/2011,,1/13/2011 7:16,8:00:00,1/13/2011 15:16,,,32.7997,-117.6592,KW,KW,G,6,HZ,15,,,,80,14,2,2,6,DC,2,233,142,0.3,,,,,,,1,1,1,0,ER,,,,OFF,,ON,,1,34,,,,,,,,,,,
SH    ,CalCOFI1101NH,1/13/2011,,1/13/2011 7:23,8:00:00,1/13/2011 15:23,,,32.7842,-117.6723,KW,KW,,,,,,,,,,,,SH1,KW,,233,170,0.3,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,Small fishing vessel.
SH    ,CalCOFI1101NH,1/13/2011,,1/13/2011 7:25,8:00:00,1/13/2011 15:25,,,32.7787,-117.6910,DC,DC,,,,,,,,,,,,SH2,KW,,230,280,0.2,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,Small fishing vessel.
SH    ,CalCOFI1101NH,1/13/2011,,1/13/2011 7:37,8:00:00,1/13/2011 15:37,,,32.7627,-117.7175,DC,DC,,,,,,,,,,,,SH3,DC,,235,227,0.2,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,Cruise ship.
SH    ,CalCOFI1101NH,1/13/2011,,1/13/2011 7:37,8:00:00,1/13/2011 15:37,,,32.7627,-117.7175,DC,DC,,,,,,,,,,,,SH4,DC,,235,227,0.2,,,,,,,,,,,,,,,OFF,,ON,,,,,,,,,,,,,,Submarine.
SB    ,CalCOFI1101NH,1/13/2011,,1/13/2011 8:04,8:00:00,1/13/2011 16:04,,,32.7200,-117.7918,DC,KW,G,6,HZ,15,,,,80,14,2,2,7,KW,1,234,193,0.2,,,,,,,50,35,70,ND   ,UD,,,,ON,,ON,,2,,,,,,,,,,,,KW sighted then resighted on port side.
SB    ,CalCOFI1101NH,1/13/2011,,1/13/2011 8:12,8:00:00,1/13/2011 16:12,,,32.7073,-117.8142,DC,KW,G,6,HZ,15,,,,80,14,2,2,8,DC,3,234,182,3,,,,,,,11,9,14,0,TT,,,,ON,,ON,,1,,,,,,,,,,,,
SE    ,CalCOFI1101NH,1/13/2011,,1/13/2011 8:12,8:00:00,1/13/2011 16:12,,,32.7073,-117.8142,DC,KW,G,6,HZ,15,,,,80,14,2,2,8,DC,3,234,182,3,,,,,,,11,9,14,0,TT,,,,ON,,ON,,1,,,,,,,,,,,,
SE    ,CalCOFI1101NH,1/13/2011,,1/13/2011 8:15,8:00:00,1/13/2011 16:15,,,32.7030,-117.8215,DC,KW,G,6,HZ,15,,,,80,14,2,2,7,KW,1,220,150,1.5,,,,,,,95,85,120,ND   ,DSP,,,,ON,,ON,,2,,,,,,,,,,,,Updated numbers and spp code.
SB    ,CalCOFI1101NH,1/13/2011,,1/13/2011 12:02,8:00:00,1/13/2011 20:02,,,32.6432,-117.9610,DC,KW,G,6,HZ,15,,,,80,14,2,2,9,KW,1,238,290,0.7,,,,,,,35,35,50,ND   ,UD,,,,ON,,ON,,2,,,,,,,,,,,,Stopped tracking to document next species.
SE    ,CalCOFI1101NH,1/13/2011,,1/13/2011 12:02,8:00:00,1/13/2011 20:02,,,32.6432,-117.9610,DC,KW,G,6,HZ,15,,,,80,14,2,2,9,KW,1,238,290,0.7,,,,,,,35,35,50,ND   ,UD,,,,ON,,ON,,2,,,,,,,,,,,,Stopped tracking to document next species.
SB    ,CalCOFI1101NH,1/13/2011,,1/13/2011 12:07,8:00:00,1/13/2011 20:07,,,32.6368,-117.9723,DC,KW,G,6,HZ,15,,,,80,14,2,2,10,KW,1,240,275,0.75,,,,,,,7,6,9,0,PD,,,,ON,,ON,,2,,,,,,,,,,,,Rooster tailing.
SE    ,CalCOFI1101NH,1/13/2011,,1/13/2011 12:07,8:00:00,1/13/2011 20:07,,,32.6368,-117.9723,DC,KW,G,6,HZ,15,,,,80,14,2,2,10,KW,1,240,275,0.75,,,,,,,7,6,9,0,PD,,,,ON,,ON,,2,,,,,,,,,,,,Rooster tailing.
SB    ,CalCOFI1101NH,1/13/2011,,1/13/2011 12:33,8:00:00,1/13/2011 20:33,,,32.5973,-118.0462,DC,KW,G,6,HZ,15,,,,80,14,2,2,11,KW,1,240,287,0.2,,,,,305,330,322,280,350,ND   ,UD,,,,ON,,ON,,2,,,,,,,,,,,,
