SB,CalCOFI1307NH,7/6/2013,8:30,7/6/2013 8:30,8:00,7/6/2013 16:30,,,32.76133333,-117.3041667,KW,PH,G,6,F,100,0,0,0,220,4,1,1,1,PH,1,260,75,,800,eye,,,,,300,250,400,ND,DSP,,,,ON,,OFF,1,9,4,,N,,,,,,,,,
SE,CalCOFI1307NH,7/6/2013,8:30,7/6/2013 8:30,8:00,7/6/2013 16:30,,,32.76133333,-117.3041667,KW,PH,G,6,F,100,0,0,0,220,4,1,1,1,PH,1,260,75,,800,,,,,,300,250,400,ND,DSP,,,,ON,,OFF,1,9,4,,N,,,,,,,,,
SB,CalCOFI1307NH,7/6/2013,8:47,7/6/2013 8:47,8:00,7/6/2013 16:47,,,32.8025,-117.3,KW,PH,G,6,F,100,0,0,0,220,4,1,1,2,KW,3,344,320,0.4,,7x,0.3,0.8,270,310,380,310,450,ND,DSP,,,,ON,,OFF,1,8,2,,N,,,,,,,,,
SE,CalCOFI1307NH,7/6/2013,8:59,7/6/2013 8:59,8:00,7/6/2013 16:59,,,32.82216667,-117.3226667,KW,PH,G,6,F,100,0,0,0,220,4,1,1,2,KW,3,348,290,0.6,,,0.3,0.8,270,310,380,310,450,ND,DSP,,,,ON,,OFF,1,8,2,,N,,,,,,,,,
SB,CalCOFI1307NH,7/6/2013,9:07,7/6/2013 9:07,8:00,7/6/2013 17:07,,,32.85766667,-117.3211667,KW,PH,G,6,F,100,0,0,0,220,4,1,1,3,KW,3,0,280,0.3,,7x,,,,,55,30,60,ND,DSP,,,,ON,,OFF,1,8,2,,N,,,,,,,,,
SE,CalCOFI1307NH,7/6/2013,9:07,7/6/2013 9:07,8:00,7/6/2013 17:07,,,32.85766667,-117.3211667,KW,PH,G,6,F,100,0,0,0,220,4,1,1,3,KW,3,0,280,0.3,,,,,,,55,30,60,ND,DSP,,,,ON,,OFF,1,8,2,,N,,,,,,,,,
SB,CalCOFI1307NH,7/6/2013,13:17,7/6/2013 13:17,8:00,7/6/2013 21:17,,,33.0575,-117.3456667,KW,PH,G,7,F,100,0,0,0,283,8,3,2,5,PH,2,330,50,,900,eye,,,,,20,15,40,ND,DSP,,,,ON,,OFF,1,2,8,,,,,,,,,,,
SE,CalCOFI1307NH,7/6/2013,13:17,7/6/2013 13:17,8:00,7/6/2013 21:17,,,33.0575,-117.3456667,KW,PH,G,7,F,100,0,0,0,283,8,3,2,5,PH,2,330,50,,900,,,,,,20,15,40,ND,DSP,,,,ON,,OFF,1,2,8,,,,,,,,,,,
SB,CalCOFI1307NH,7/6/2013,13:26,7/6/2013 13:26,8:00,7/6/2013 21:26,,,33.07933333,-117.3588333,KW,PH,G,7,F,100,0,0,0,293,8,3,2,6,PH,2,330,35,,600,eye,,,,,50,40,70,ND,DSP,,,,ON,,OFF,1,9,,,,,,,,,,,,
SE,CalCOFI1307NH,7/6/2013,13:26,7/6/2013 13:26,8:00,7/6/2013 21:26,,,33.07933333,-117.3588333,KW,PH,G,7,F,100,0,0,0,293,8,3,2,6,PH,2,330,35,,600,,,,,,50,40,70,ND,DSP,,,,ON,,OFF,1,9,,,,,,,,,,,,
