SB,CalCOFI0810NH,10/15/2008,8:26,10/15/2008 8:26,8:00:00,10/15/2008 16:26,,,32.36033,-118.57250,AMH,DLC,,,,,,,,,,,,1,DLC,1,,138,2,,,20m,25m,,,15,13,28,ND,DSP,,,,ON,,ON,,1,,,,,,,,,,,,"ANIMALS IN MODERATE GLARE, SEEN ON STATION 93/45"
SE,CalCOFI0810NH,10/15/2008,8:26,10/15/2008 8:26,8:00:00,10/15/2008 16:26,,,32.36033,-118.57250,AMH,DLC,,,,,,,,,,,,1,DLC,,,,,,,,,,,15,13,28,ND,DSP,,,,ON,,ON,,1,,,,,,,,,,,,
SB,CalCOFI0810NH,10/15/2008,8:56,10/15/2008 8:56,8:00:00,10/15/2008 16:56,,,32.34033,-118.60933,AMH,DLC,,,,,,,,,,,,2,DLC,1,,263,1,,,1.0,0.7,255,277,25,18,32,ND,DSP,,,,ON,,ON,,1,,,,,,,,,,,,PROBABLY SAME GROUP AS SEEN ON STATION
SE,CalCOFI0810NH,10/15/2008,8:58,10/15/2008 8:58,8:00:00,10/15/2008 16:58,,,32.33700,-118.61450,AMH,DLC,,,,,,,,,,,,2,DLC,1,,327,0.9,,,,,,,25,18,32,ND,DSP,,,,ON,,ON,,,,,,,,,,,,,,TWO ANIMALS APPROACHED BOAT TO ABOUT 2 RETICLES AND THEN MOVED BACK TO GROUP
SB,CalCOFI0810NH,10/16/2008,11:59,10/16/2008 11:59,8:00:00,10/16/2008 19:59,,,31.12617,-121.04400,DLC,AMH,,,,,,,,,,,,3,AMH,1,,277,5.3,,,,,,,2,2,2,0,DD,,,,ON,,ON,,2,,,,,,,,,,,,"APPROACHED BOW, NO BOWRIDING, MOVED OFF"
SE,CalCOFI0810NH,10/16/2008,11:59,10/16/2008 11:59,8:00:00,10/16/2008 19:59,,,31.12617,-121.04400,DLC,AMH,,,,,,,,,,,,3,AMH,,,,,,,,,,,2,2,2,0,DD,,,,ON,,ON,,2,,,,,,,,,,,,
SB,CalCOFI0810NH,10/16/2008,13:38,10/16/2008 13:38,8:00:00,10/16/2008 21:38,,,30.98233,-121.29283,DLC,AMH,,,,,,,,,,,,4,DLC,4,,260,10,,,,,,,4,4,4,0,DD,,,,ON,,ON,,2,5,,,,,,,,,,,APPROACHED VESSEL
SE,CalCOFI0810NH,10/16/2008,13:44,10/16/2008 13:44,8:00:00,10/16/2008 21:44,,,30.97400,-121.30817,DLC,AMH,,,,,,,,,,,,4,DLC,,,,,,,,,,,4,4,4,0,DD,,,,ON,,ON,,,,,,,,,,,,,,ANIMALS MOVED TO STERN
SB,CalCOFI0810NH,10/16/2008,13:50,10/16/2008 13:50,8:00:00,10/16/2008 21:50,,,30.96550,-121.32383,DLC,AMH,,,,,,,,,,,,5,DLC,4,,219,2.3,,,,,,,6,4,8,0,DD,,,,ON,,ON,,1,5,,,,,,,,,,,APPROACHED VESSEL
SE,CalCOFI0810NH,10/16/2008,13:56,10/16/2008 13:56,8:00:00,10/16/2008 21:56,,,30.95733,-121.33900,DLC,AMH,,,,,,,,,,,,5,DLC,,,,,,,,,,,6,4,8,0,DD,,,,ON,,ON,,,,,,,,,,,,,,STAYED WITH SHIP AND MOVED TO STERN
