SB,CalCOFI1202NH,1/27/2012,13:46,1/27/2012 13:46,8:00:00,1/27/2012 21:46,,,32.65383,-117.26783,KW,MB,F,7,CL,0,0,0,0,305,18,4,5,1,KW,2,335,270,0.6,,,,,,,1,1,1,0,ULW,,,,on,,off,1,1,,,no,,,,,,,,,humpback or most likely ER
SE,CalCOFI1202NH,1/27/2012,13:46,1/27/2012 13:46,8:00:00,1/27/2012 21:46,,,32.65383,-117.26783,KW,MB,F,7,CL,0,0,0,0,305,18,4,5,1,KW,2,335,270,0.6,,,,,,,1,1,1,0,ULW,,,,on,,off,1,1,,,no,,,,,,,,,humpback or most likely ER
SB,CalCOFI1202NH,1/27/2012,13:49,1/27/2012 13:49,8:00:00,1/27/2012 21:49,,,32.66067,-117.27567,KW,MB,,,,,,,,,,,,2,KW,2,335,285,1,,,,,,,1,1,1,0,ULW,,,,on,,off,1,1,,,no,,,,,,,,,most likely ER
SE,CalCOFI1202NH,1/27/2012,13:49,1/27/2012 13:49,8:00:00,1/27/2012 21:49,,,32.66067,-117.27567,KW,MB,,,,,,,,,,,,2,KW,2,335,285,1,,,,,,,1,1,1,0,ULW,,,,on,,off,1,1,,,no,,,,,,,,,most likely ER
SB,CalCOFI1202NH,1/27/2012,13:52,1/27/2012 13:52,8:00:00,1/27/2012 21:52,,,32.66833,-117.27233,KW,MB,F,7,CL,0,0,0,0,305,18,4,5,3,MB,2,335,280,1,,,,,,,1,1,1,0,ULW,,,,on,,off,1,1,,,no,,,,,,,,,most likely ER
SE,CalCOFI1202NH,1/27/2012,13:52,1/27/2012 13:52,8:00:00,1/27/2012 21:52,,,32.66833,-117.27233,KW,MB,F,7,CL,0,0,0,0,305,18,4,5,3,MB,2,335,280,1,,,,,,,1,1,1,0,ULW,,,,on,,off,1,1,,,no,,,,,,,,,most likely ER
SB,CalCOFI1202NH,1/27/2012,14:00,1/27/2012 14:00,8:00:00,1/27/2012 22:00,,,32.68783,-117.29667,KW,MB,F,7,CL,0,0,0,0,305,12,3,4,4,MB,2,342,25,0.75,,,,,,,1,1,1,0,Er,,,,on,,off,1,1,,,yes,,,,,MB,,7938,7940,
SE,CalCOFI1202NH,1/27/2012,14:00,1/27/2012 14:00,8:00:00,1/27/2012 22:00,,,32.68783,-117.29667,KW,MB,F,7,CL,0,0,0,0,305,12,3,4,4,MB,2,342,25,0.75,,,,,,,1,1,1,0,Er,,,,on,,off,1,1,,,yes,,,,,MB,,7938,7940,
SB,CalCOFI1202NH,1/27/2012,14:12,1/27/2012 14:12,8:00:00,1/27/2012 22:12,,,32.72033,-117.29283,KW,MB,G,7,CL,0,0,0,0,308,12,3,4,5,MB,1,345,0,2.2,,,2.2,14,260,70,210,150,237,nd,Dc,,,,on,,off,1,2,4,5,yes,,,,,MB,,7941,7944,
SE,CalCOFI1202NH,1/27/2012,14:12,1/27/2012 14:12,8:00:00,1/27/2012 22:12,,,32.72033,-117.29283,KW,MB,G,7,CL,0,0,0,0,308,12,3,4,5,MB,1,345,0,2.2,,,2.2,14,260,70,210,150,237,nd,Dc,,,,on,,off,1,2,4,5,yes,,,,,MB,,7941,7944,
SB,CalCOFI1202NH,1/27/2012,14:23,1/27/2012 14:23,8:00:00,1/27/2012 22:23,,,32.74833,-117.30067,KW,MB,F,7,CL,0,0,0,0,305,16,3,4,6,KW,2,345,270,0.7,,,,,,,1,1,1,0,Er,,,,on,,off,1,1,,,no,,,,,,,,,
SE,CalCOFI1202NH,1/27/2012,14:23,1/27/2012 14:23,8:00:00,1/27/2012 22:23,,,32.74833,-117.30067,KW,MB,F,7,CL,0,0,0,0,305,16,3,4,6,KW,2,345,270,0.7,,,,,,,1,1,1,0,Er,,,,on,,off,1,1,,,no,,,,,,,,,
SB,CalCOFI1202NH,1/27/2012,14:25,1/27/2012 14:25,8:00:00,1/27/2012 22:25,,,32.75483,-117.30250,KW,MB,F,7,CL,0,0,0,0,305,16,3,4,7,KW,2,348,280,1,,,,,,,2,2,3,0,Er,,,,on,,off,1,1,34,,yes,,,,,MB,,7945,7954,
SE,CalCOFI1202NH,1/27/2012,14:25,1/27/2012 14:25,8:00:00,1/27/2012 22:25,,,32.75483,-117.30250,KW,MB,F,7,CL,0,0,0,0,305,16,3,4,7,KW,2,348,280,1,,,,,,,2,2,3,0,Er,,,,on,,off,1,1,34,,yes,,,,,MB,,7945,7954,
SB,CalCOFI1202NH,1/27/2012,14:37,1/27/2012 14:37,8:00:00,1/27/2012 22:37,,,32.78817,-117.31300,KW,MB,F,7,CL,0,0,0,0,305,16,3,4,8,KW,2,345,5,0.3,,,,,,,1,1,1,0,Er,,,,on,,off,1,1,34,,no,,,,,,,,,
SE,CalCOFI1202NH,1/27/2012,14:46,1/27/2012 14:46,8:00:00,1/27/2012 22:46,,,32.80967,-117.31483,KW,MB,F,7,CL,0,0,0,0,305,16,3,4,8,KW,2,346,50,,360,,,,,,1,1,1,0,Er,,,,on,,off,1,1,34,,no,,,,,,,,,
SB,CalCOFI1202NH,1/27/2012,15:30,1/27/2012 15:30,8:00:00,1/27/2012 23:30,,,32.91967,-117.31233,KW,MB,G,7,CL,0,0,0,0,305,8,2,4,9,KW,2,7,305,0.75,,,,,,,1,1,2,nd,Bp,,,,on,,off,1,1,,,,,,,,,,,,
