SB,CalCOFI1301SH,1/11/2013,9:54,1/11/2013 9:54,8:00:00,1/11/2013 17:54,,,32.67167,-117.30117,KW,LR,F,7,CL,15,0,0,,250,14,4,8,1,LR,2,340,350,0.5,,,,,,,1,1,1,0,Er,,,,ON,,OFF,7,1,,,Y,KW,40D,1,8,,,,,
SE,CalCOFI1301SH,1/11/2013,9:54,1/11/2013 9:54,8:00:00,1/11/2013 17:54,,,32.67167,-117.30117,KW,LR,F,7,CL,15,0,0,,250,14,4,8,1,LR,2,340,350,0.5,,,,,,,1,1,1,0,Er,,,,ON,,OFF,7,1,,,Y,KW,40D,1,8,,,,,
SB,CalCOFI1301SH,1/11/2013,10:07,1/11/2013 10:07,8:00:00,1/11/2013 18:07,,,32.70883,-117.31600,KW,LR,F,7,CL,15,0,0,,250,14,4,8,2,LR,2,340,3,0.25,,,,,,,1,1,1,0,ULW,,,,ON,,OFF,7,1,,,N,,,,,,,,,
SE,CalCOFI1301SH,1/11/2013,10:07,1/11/2013 10:07,8:00:00,1/11/2013 18:07,,,32.70883,-117.31600,KW,LR,F,7,CL,15,0,0,,250,14,4,8,2,LR,2,340,3,0.25,,,,,,,1,1,1,0,ULW,,,,ON,,OFF,7,1,,,N,,,,,,,,,
SB,CalCOFI1301SH,1/11/2013,10:32,1/11/2013 10:32,8:00:00,1/11/2013 18:32,,,32.78550,-117.34167,KW,LR,F,7,CL,10,0,0,,280,14,4,8,3,KW,3,345,330,,70,,,,,,5,4,7,0,Dsp,,,,ON,,OFF,7,1,5,,Y,KW,40D,9,20,LR,20D,1,6,
SE,CalCOFI1301SH,1/11/2013,10:32,1/11/2013 10:32,8:00:00,1/11/2013 18:32,,,32.78550,-117.34167,KW,LR,F,7,CL,10,0,0,,280,14,4,8,3,KW,3,345,330,,70,,,,,,5,4,7,0,Dsp,,,,ON,,OFF,7,1,5,,Y,KW,40D,9,20,LR,20D,1,6,
SB,CalCOFI1301SH,1/11/2013,10:41,1/11/2013 10:41,8:00:00,1/11/2013 18:41,,,32.81350,-117.35367,KW,LR,F,7,CL,10,0,0,,280,14,4,8,4,LR,1,347,60,2.5,,,,,,,18,10,25,ND,Dsp,,,,ON,,OFF,7,1,8,,N,,,,,,,,,
SE,CalCOFI1301SH,1/11/2013,10:41,1/11/2013 10:41,8:00:00,1/11/2013 18:41,,,32.81350,-117.35367,KW,LR,F,7,CL,10,0,0,,280,14,4,8,4,LR,1,347,60,2.5,,,,,,,18,10,25,ND,Dsp,,,,ON,,OFF,7,1,8,,N,,,,,,,,,
SB,CalCOFI1301SH,1/11/2013,10:48,1/11/2013 10:48,8:00:00,1/11/2013 18:48,,,32.83450,-117.36150,KW,LR,F,7,CL,10,0,0,,280,14,4,8,5,KW,2,346,335,0.5,,,,,,,1,1,1,0,Er,,,,ON,,OFF,7,1,,,N,,,,,,,,,
SE,CalCOFI1301SH,1/11/2013,10:48,1/11/2013 10:48,8:00:00,1/11/2013 18:48,,,32.83450,-117.36150,KW,LR,F,7,CL,10,0,0,,280,14,4,8,5,KW,2,346,335,0.5,,,,,,,1,1,1,0,Er,,,,ON,,OFF,7,1,,,N,,,,,,,,,
