SB,CalCOFI0701JD,1/12/2007,15:12,1/12/2007 15:12,8:00:00,1/12/2007 23:12,,,32.63267,-117.26500,GSC,ABD,,,,,,,,,,,,1,ABD,,285,340,0.5,2660,,,,,,2,,,0,Er,,,,On,,Off,,1,,,,,,,,,,,,
SB,CalCOFI0701JD,1/12/2007,15:17,1/12/2007 15:17,8:00:00,1/12/2007 23:17,,,32.63283,-117.27350,GSC,ABD,,,,,,,,,,,,2,ABD,,295,330,1,1642,,,,,,2,,,ND,Er,,,,On,,Off,,0,,,,,,,,,,,,
SB,CalCOFI0701JD,1/12/2007,16:25,1/12/2007 16:25,8:00:00,1/13/2007 0:25,,,32.78583,-117.31467,GSC,ABD,,,,,,,,,,,,3,ABD,,352,32,,600,,,,,,1,,,0,Er,,,,On,,Off,,1,,,,,,,,,,,,
SB,CalCOFI0701JD,1/12/2007,16:33,1/12/2007 16:33,8:00:00,1/13/2007 0:33,,,32.80667,-117.31850,GSC,ABD,,,,,,,,,,,,4,GSC,,354,264,0.75,2027,,,,,,1,,,ND,UNID_CETAC,,,,On,,Off,,0,,,,,,,,,,,,Likely ER
SB,CalCOFI0701JD,1/12/2007,16:36,1/12/2007 16:36,8:00:00,1/13/2007 0:36,,,32.81367,-117.31967,GSC,ABD,,,,,,,,,,,,5,ABD,,354,84,,800,,,,,,1,,,0,UNID_CETAC,,,,On,,Off,,0,,,,,,,,,,,,Unid whale
SB,CalCOFI0701JD,1/13/2007,8:51,1/13/2007 8:51,8:00:00,1/13/2007 16:51,,,32.75467,-117.71633,ABD,GSC,,,,,,,,,,,,6,GSC,,245,270,0.2,4385,,,,,,1,,,0,UNID_CETAC,,,,On,,On,,0,,,,,,,,,,,,Unid whale
SB,CalCOFI0701JD,1/13/2007,9:09,1/13/2007 9:09,8:00:00,1/13/2007 17:09,,,32.73067,-117.76467,ABD,GSC,,,,,,,,,,,,7,GSC,,240,255,1.5,1193,,,,,,1,,,0,UNID_CETAC,,,,On,,On,,0,,,,,,,,,,,,Unid whale
SB,CalCOFI0701JD,1/13/2007,12:22,1/13/2007 12:22,8:00:00,1/13/2007 20:22,,,32.67867,-117.88000,ABD,ABD,,,,,,,,,,,,8,ABD,,36,19,0.1,5784,,,,,,2,,,0,UNID_CETAC,,,,Off,,On,,0,,,,,,,,,,,,"BLOWS ON HORIZON, Unid whale"
SB,CalCOFI0701JD,1/14/2007,10:04,1/14/2007 10:04,8:00:00,1/14/2007 18:04,,,31.86450,-119.57017,ABD,ABD,,,,,,,,,,,,9,ABD,,332,74,0.2,4385,,,,,,20,20,30,ND,UD,,,,Off,,On,,2,,,,,,,,,,,,ACOUSTICS HAS HEARD DOLPHINS SINCE SONOBUOY WENT IN  DARK BODIES WITH DORSAL FINS
SB,CalCOFI0701JD,1/14/2007,11:14,1/14/2007 11:14,8:00:00,1/14/2007 19:14,,,31.83933,-119.61483,ABD,GSC,,,,,,,,,,,,10,ABD,,241,207,0.5,2660,,,,,,2,,,0,Pm,,,,On,,On,,1,,,,,,,,,,,,
