SB,CalCOFI1001NH,1/13/10 7:00,,1/13/2010 7:00,8:00:00,1/13/2010 15:00,,,32.84685,-117.54360,KW,JK,E,2,LR,100,,,NG,,,,,1,KW,1,279.018,,,10,,,,,,30,25,35,0,Dsp,,,,OFF,1,ON,,,,,,,,,,,,,,all around ship
SE,CalCOFI1001NH,1/13/10 7:00,,1/13/2010 7:00,8:00:00,1/13/2010 15:00,,,32.84685,-117.54360,KW,JK,E,2,LR,100,,,NG,,,,,1,KW,1,279.018,,,10,,,,,,30,25,35,0,Dsp,,,,OFF,1,ON,,,,,,,,,,,,,,all around ship
SB,CalCOFI1001NH,1/13/10 9:57,,1/13/2010 9:57,8:00:00,1/13/2010 17:57,,,32.79616,-117.64670,JK,KW,G,1,LR,100,,,NG,,,2,4,2,KW,1,240.0484,260,,5,,,,,,57,45,67,1,Dc,,,,ON,,ON,,,,,,,,,,,,,,all around ship
SE,CalCOFI1001NH,1/13/10 9:57,,1/13/2010 9:57,8:00:00,1/13/2010 17:57,,,32.79616,-117.64670,JK,KW,G,1,LR,100,,,NG,,,2,4,2,KW,1,240.0484,260,,5,,,,,,57,45,67,1,Dc,,,,ON,,ON,,,,,,,,,,,,,,all around ship
SB,CalCOFI1001NH,1/14/10 10:20,,1/14/2010 10:20,8:00:00,1/14/2010 18:20,,,31.84086,-119.58590,KW,KW,,,,,,,,,,,,4,KW,1,254.0108,92,,30,,,,,,2,2,2,0,Bp,,,,OFF,1,ON,,,,,,,,,,,,,,comingtoward ship astern. both animals on station
SE,CalCOFI1001NH,1/14/10 10:20,,1/14/2010 10:20,8:00:00,1/14/2010 18:20,,,31.84086,-119.58590,KW,KW,,,,,,,,,,,,4,KW,1,254.0108,92,,30,,,,,,2,2,2,0,Bp,,,,OFF,1,ON,,,,,,,,,,,,,,comingtoward ship astern. both animals on station
SB,CalCOFI1001NH,1/14/10 13:19,,1/14/2010 13:19,8:00:00,1/14/2010 21:19,,,31.68663,-119.88790,JK,KW,,,,,,,,,,,,6,KW,4,233.5557,239,1.60,,,,,,,4,4,6,ND,ULW,,,,ON,,ON,,,,,,,,,,,,,,Pm? 4 swimming close together. medium sized whales with triangular fins
SE,CalCOFI1001NH,1/14/10 13:19,,1/14/2010 13:19,8:00:00,1/14/2010 21:19,,,31.68663,-119.88790,JK,KW,,,,,,,,,,,,6,KW,4,233.5557,239,1.60,,,,,,,4,4,6,ND,ULW,,,,ON,,ON,,,,,,,,,,,,,,Pm? 4 swimming close together. medium sized whales with triangular fins
SB,CalCOFI1001NH,1/15/10 10:31,,1/15/2010 10:31,8:00:00,1/15/2010 18:31,,,30.58833,-122.13000,JK,KW,,,,,,,,,,,,7,KW,3,234.2238,236,,100,,,,,,27,8,39,0,Dsp,,,,ON,,ON,,,,,,,,,,,,,,
SE,CalCOFI1001NH,1/15/10 10:31,,1/15/2010 10:31,8:00:00,1/15/2010 18:31,,,30.58833,-122.13000,JK,KW,,,,,,,,,,,,7,KW,3,234.2238,236,,100,,,,,,27,8,39,0,Dsp,,,,ON,,ON,,,,,,,,,,,,,,
SB,CalCOFI1001NH,1/15/10 11:22,,1/15/2010 11:22,8:00:00,1/15/2010 19:22,,,30.51312,-122.25750,KW,KW,,,,,,,,,,,,8,KW,3,270.9975,250,,400,,,,,,1,1,1,0,ULW,,,,OFF,,ON,,,,,,,,,,,,,,very large fluke prints
SE,CalCOFI1001NH,1/15/10 11:22,,1/15/2010 11:22,8:00:00,1/15/2010 19:22,,,30.51312,-122.25750,KW,KW,,,,,,,,,,,,8,KW,3,270.9975,250,,400,,,,,,1,1,1,0,ULW,,,,OFF,,ON,,,,,,,,,,,,,,very large fluke prints
SB,CalCOFI1001NH,1/15/10 15:02,,1/15/2010 15:02,8:00:00,1/15/2010 23:02,,,30.40038,-122.51020,JK,KW,,,,,,,,,,,,9,JK,2,236.5351,172,,110,,,,,,13,11,17,0,Dsp,,,,ON,,ON,,,,,,,,,,,,,,
SP,CalCOFI1001NH,1/15/10 15:02,,1/15/2010 15:02,8:00:00,1/15/2010 23:02,,,30.40038,-122.51020,JK,KW,,,,,,,,,,,,9,JK,2,236.5351,172,,110,,,,,,13,11,17,0,Dsp,,,,ON,,ON,,,,,,,,,,,,,,
SE,CalCOFI1001NH,1/15/10 16:00,,1/15/2010 16:00,8:00:00,1/16/2010 0:00,,,30.31596,-122.66670,JK,KW,,,,,,,,,,,,9,JK,2,236.1519,270,1.50,,,,,,,375,360,420,5,Dd,,,,ON,,ON,,,,,,,,,,,,,,We observed this group forone hour on transtect.
SP,CalCOFI1001NH,1/15/10 16:00,,1/15/2010 16:00,8:00:00,1/16/2010 0:00,,,30.31596,-122.66670,JK,KW,,,,,,,,,,,,9,JK,2,236.1519,270,1.50,,,,,,,375,360,420,5,Dd,,,,ON,,ON,,,,,,,,,,,,,,We observed this group forone hour on transtect.
SB,CalCOFI1001NH,1/15/10 16:30,,1/15/2010 16:30,8:00:00,1/16/2010 0:30,,,30.27341,-122.74720,JK,KW,,,,,,,,,,,,10,KW,2,238.3122,254,1.80,,,,,,,53,50,65,0,Dd,,,,ON,,ON,,,,,,,,,,,,,,
SE,CalCOFI1001NH,1/15/10 16:30,,1/15/2010 16:30,8:00:00,1/16/2010 0:30,,,30.27341,-122.74720,JK,KW,,,,,,,,,,,,10,KW,2,238.3122,254,1.80,,,,,,,53,50,65,0,Dd,,,,ON,,ON,,,,,,,,,,,,,,
SB,CalCOFI1001NH,1/15/10 16:54,,1/15/2010 16:54,8:00:00,1/16/2010 0:54,,,30.23892,-122.81110,JK,KW,,,,,,,,,,,,11,KW,2,236.7385,242,1.30,,,,,,,44,38,54,0,Dd,,,,ON,,ON,,,,,,,,,,,,,,
SE,CalCOFI1001NH,1/15/10 16:54,,1/15/2010 16:54,8:00:00,1/16/2010 0:54,,,30.23892,-122.81110,JK,KW,,,,,,,,,,,,11,KW,2,236.7385,242,1.30,,,,,,,44,38,54,0,Dd,,,,ON,,ON,,,,,,,,,,,,,,
SB,CalCOFI1001NH,1/16/10 13:14,,1/16/2010 13:14,8:00:00,1/16/2010 21:14,,,30.65895,-123.52170,KW,JK,,,,,,,,,,,,12,JK,3,62.572,100,,200,,,,,,970,600,1200,0,Dd,,,,ON,,ON,,,,,,,,,,,,,,"Striped dolphin in this group.  30 mins of effort, observing longer than a mile"
SP,CalCOFI1001NH,1/16/10 13:14,,1/16/2010 13:14,8:00:00,1/16/2010 21:14,,,30.65895,-123.52170,KW,JK,,,,,,,,,,,,12,JK,3,62.572,100,,200,,,,,,970,600,1200,0,Dd,,,,ON,,ON,,,,,,,,,,,,,,"Striped dolphin in this group.  30 mins of effort, observing longer than a mile"
SE,CalCOFI1001NH,1/16/10 13:47,,1/16/2010 13:47,8:00:00,1/16/2010 21:47,,,30.69949,-123.42920,KW,JK,,,,,,,,,,,,12,JK,3,63.44782,,,,,,,,,970,880,1200,0,Dd,,,,ON,,ON,,,,,,,,,,,,,,
